,DR,TM,accuracy_local,accuracy_global,perception
6027,mds,bert,0.52,0.32,0.33
6028,mds,bert,0.52,0.32,0.33
6029,mds,bert,0.52,0.32,0.33
6030,mds,bert,0.53,0.32,0.33
6031,mds,bert,0.52,0.32,0.33
6254,mds,bert,0.53,0.33,0.3
6255,mds,bert,0.53,0.33,0.3
6256,mds,bert,0.53,0.33,0.3
6257,mds,bert,0.53,0.33,0.3
6258,mds,bert,0.53,0.33,0.3
6481,mds,bert,0.53,0.3,0.32
6482,mds,bert,0.53,0.3,0.32
6483,mds,bert,0.53,0.3,0.32
6484,mds,bert,0.53,0.3,0.32
6485,mds,bert,0.53,0.3,0.32
6708,mds,bert,0.52,0.35,0.33
6709,mds,bert,0.52,0.35,0.33
6710,mds,bert,0.52,0.35,0.33
6711,mds,bert,0.52,0.35,0.33
6712,mds,bert,0.52,0.35,0.33
6935,mds,bert,0.51,0.35,0.35
6936,mds,bert,0.51,0.35,0.35
6937,mds,bert,0.51,0.35,0.35
6938,mds,bert,0.51,0.35,0.3
6939,mds,bert,0.51,0.35,0.35
9645,mds,bert,0.49,0.38,0.25
9646,mds,bert,0.49,0.38,0.25
9647,mds,bert,0.49,0.38,0.25
9648,mds,bert,0.49,0.38,0.25
9871,mds,bert,0.5,0.35,0.26
9872,mds,bert,0.5,0.35,0.26
9873,mds,bert,0.5,0.35,0.26
9874,mds,bert,0.5,0.35,0.26
10097,mds,bert,0.49,0.34,0.26
10098,mds,bert,0.49,0.34,0.25
10099,mds,bert,0.49,0.34,0.25
10100,mds,bert,0.49,0.34,0.25
10323,mds,bert,0.48,0.39,0.25
10324,mds,bert,0.48,0.39,0.25
10325,mds,bert,0.48,0.39,0.25
10326,mds,bert,0.48,0.39,0.25
10544,mds,bert,0.48,0.38,0.27
10545,mds,bert,0.48,0.38,0.27
10546,mds,bert,0.48,0.38,0.27
10547,mds,bert,0.48,0.38,0.27
13483,mds,bert,0.48,0.33,0.32
13484,mds,bert,0.48,0.33,0.32
13485,mds,bert,0.48,0.33,0.32
13486,mds,bert,0.48,0.33,0.32
13487,mds,bert,0.48,0.33,0.32
13710,mds,bert,0.48,0.32,0.31
13711,mds,bert,0.48,0.32,0.31
13712,mds,bert,0.48,0.32,0.31
13713,mds,bert,0.48,0.32,0.31
13714,mds,bert,0.48,0.32,0.31
13937,mds,bert,0.49,0.33,0.34
13938,mds,bert,0.49,0.33,0.34
13939,mds,bert,0.49,0.33,0.34
13940,mds,bert,0.49,0.33,0.34
13941,mds,bert,0.49,0.33,0.34
14164,mds,bert,0.48,0.34,0.31
14165,mds,bert,0.48,0.34,0.31
14166,mds,bert,0.48,0.34,0.31
14167,mds,bert,0.48,0.34,0.31
14168,mds,bert,0.48,0.34,0.31
14391,mds,bert,0.47,0.34,0.31
14392,mds,bert,0.47,0.34,0.31
14393,mds,bert,0.47,0.34,0.31
14394,mds,bert,0.47,0.34,0.31
14395,mds,bert,0.47,0.34,0.31
17332,mds,bert,0.52,0.36,0.23
17333,mds,bert,0.52,0.36,0.24
17334,mds,bert,0.52,0.36,0.24
17335,mds,bert,0.52,0.36,0.23
17336,mds,bert,0.52,0.36,0.23
17559,mds,bert,0.51,0.33,0.23
17560,mds,bert,0.51,0.33,0.23
17561,mds,bert,0.51,0.33,0.23
17562,mds,bert,0.51,0.33,0.23
17563,mds,bert,0.51,0.33,0.23
17786,mds,bert,0.52,0.34,0.24
17787,mds,bert,0.52,0.34,0.23
17788,mds,bert,0.52,0.34,0.23
17789,mds,bert,0.52,0.34,0.23
17790,mds,bert,0.52,0.34,0.23
18013,mds,bert,0.52,0.38,0.23
18014,mds,bert,0.52,0.38,0.22
18015,mds,bert,0.52,0.38,0.23
18016,mds,bert,0.52,0.38,0.23
18017,mds,bert,0.52,0.38,0.23
18240,mds,bert,0.51,0.36,0.26
18241,mds,bert,0.51,0.36,0.23
18242,mds,bert,0.51,0.36,0.22
18243,mds,bert,0.51,0.36,0.23
18244,mds,bert,0.51,0.36,0.22
