,DR,TM,accuracy_local,accuracy_global,perception
3767,mds,lda_linear_combined,0.55,0.35,0.37
3768,mds,lda_linear_combined,0.55,0.35,0.37
3769,mds,lda_linear_combined,0.55,0.35,0.37
3770,mds,lda_linear_combined,0.55,0.35,0.37
3771,mds,lda_linear_combined,0.55,0.35,0.37
7389,mds,lda_linear_combined,0.56,0.35,0.28
7390,mds,lda_linear_combined,0.56,0.35,0.28
7391,mds,lda_linear_combined,0.56,0.35,0.28
7392,mds,lda_linear_combined,0.56,0.35,0.28
11223,mds,lda_linear_combined,0.55,0.38,0.31
11224,mds,lda_linear_combined,0.55,0.38,0.31
11225,mds,lda_linear_combined,0.55,0.38,0.31
11226,mds,lda_linear_combined,0.55,0.38,0.31
11227,mds,lda_linear_combined,0.55,0.38,0.31
15072,mds,lda_linear_combined,0.53,0.43,0.22
15073,mds,lda_linear_combined,0.53,0.43,0.22
15074,mds,lda_linear_combined,0.53,0.43,0.22
15075,mds,lda_linear_combined,0.53,0.43,0.23
15076,mds,lda_linear_combined,0.53,0.43,0.23
