,DR,TM,accuracy_local,accuracy_global,perception
4674,mds,lsi,0.55,0.36,0.32
4675,mds,lsi,0.55,0.36,0.32
4676,mds,lsi,0.55,0.36,0.32
4677,mds,lsi,0.55,0.36,0.32
4678,mds,lsi,0.55,0.36,0.32
8291,mds,lsi,0.54,0.36,0.25
8292,mds,lsi,0.54,0.36,0.25
8293,mds,lsi,0.54,0.36,0.25
8294,mds,lsi,0.54,0.36,0.25
12127,mds,lsi,0.55,0.37,0.31
12128,mds,lsi,0.55,0.37,0.31
12129,mds,lsi,0.55,0.37,0.31
12130,mds,lsi,0.55,0.37,0.31
12131,mds,lsi,0.55,0.37,0.31
15979,mds,lsi,0.56,0.41,0.25
15980,mds,lsi,0.56,0.41,0.23
15981,mds,lsi,0.56,0.41,0.23
15982,mds,lsi,0.56,0.41,0.23
15983,mds,lsi,0.56,0.41,0.22
