,DR,TM,accuracy_local,accuracy_global,perception
5578,mds,nmf,0.57,0.36,0.33
5579,mds,nmf,0.57,0.36,0.33
5580,mds,nmf,0.57,0.36,0.33
5581,mds,nmf,0.57,0.36,0.33
5582,mds,nmf,0.57,0.36,0.33
9195,mds,nmf,0.53,0.38,0.25
9196,mds,nmf,0.53,0.38,0.25
9197,mds,nmf,0.53,0.38,0.25
9198,mds,nmf,0.53,0.38,0.25
13030,mds,nmf,0.55,0.37,0.31
13031,mds,nmf,0.55,0.37,0.31
13032,mds,nmf,0.55,0.37,0.31
13033,mds,nmf,0.55,0.37,0.31
13034,mds,nmf,0.55,0.37,0.31
16881,mds,nmf,0.56,0.39,0.23
16882,mds,nmf,0.56,0.39,0.23
16883,mds,nmf,0.56,0.39,0.24
16884,mds,nmf,0.56,0.39,0.23
16885,mds,nmf,0.56,0.39,0.24
