,DR,TM,accuracy_local,accuracy_global,perception
5126,mds,nmf_linear_combined,0.56,0.37,0.36
5127,mds,nmf_linear_combined,0.56,0.37,0.36
5128,mds,nmf_linear_combined,0.56,0.37,0.36
5129,mds,nmf_linear_combined,0.56,0.37,0.36
5130,mds,nmf_linear_combined,0.56,0.37,0.36
8743,mds,nmf_linear_combined,0.54,0.38,0.26
8744,mds,nmf_linear_combined,0.54,0.38,0.26
8745,mds,nmf_linear_combined,0.54,0.38,0.26
8746,mds,nmf_linear_combined,0.54,0.38,0.26
12577,mds,nmf_linear_combined,0.54,0.38,0.3
12578,mds,nmf_linear_combined,0.54,0.38,0.3
12579,mds,nmf_linear_combined,0.54,0.38,0.3
12580,mds,nmf_linear_combined,0.54,0.38,0.3
12581,mds,nmf_linear_combined,0.54,0.38,0.3
16428,mds,nmf_linear_combined,0.56,0.41,0.22
16429,mds,nmf_linear_combined,0.56,0.41,0.23
16430,mds,nmf_linear_combined,0.56,0.41,0.23
16431,mds,nmf_linear_combined,0.56,0.41,0.23
16432,mds,nmf_linear_combined,0.56,0.41,0.23
