,DR,TM,accuracy_local,accuracy_global,perception
5803,mds,nmf_tfidf,0.55,0.36,0.35
5804,mds,nmf_tfidf,0.55,0.36,0.35
5805,mds,nmf_tfidf,0.55,0.36,0.35
5806,mds,nmf_tfidf,0.55,0.36,0.35
5807,mds,nmf_tfidf,0.55,0.36,0.35
9421,mds,nmf_tfidf,0.53,0.37,0.25
9422,mds,nmf_tfidf,0.53,0.37,0.25
9423,mds,nmf_tfidf,0.53,0.37,0.25
9424,mds,nmf_tfidf,0.53,0.37,0.25
13257,mds,nmf_tfidf,0.57,0.36,0.31
13258,mds,nmf_tfidf,0.57,0.36,0.31
13259,mds,nmf_tfidf,0.57,0.36,0.31
13260,mds,nmf_tfidf,0.57,0.36,0.31
13261,mds,nmf_tfidf,0.57,0.36,0.31
17105,mds,nmf_tfidf,0.58,0.36,0.23
17106,mds,nmf_tfidf,0.58,0.36,0.23
17107,mds,nmf_tfidf,0.58,0.36,0.22
17108,mds,nmf_tfidf,0.58,0.36,0.23
17109,mds,nmf_tfidf,0.58,0.36,0.23
