,DR,TM,accuracy_local,accuracy_global,perception
7162,mds,tfidf,0.5,0.28,0.31
7163,mds,tfidf,0.51,0.28,0.31
7164,mds,tfidf,0.5,0.28,0.31
7165,mds,tfidf,0.5,0.28,0.31
7166,mds,tfidf,0.5,0.28,0.31
10996,mds,tfidf,0.45,0.34,0.24
10997,mds,tfidf,0.45,0.34,0.24
10998,mds,tfidf,0.45,0.34,0.25
10999,mds,tfidf,0.45,0.34,0.24
11000,mds,tfidf,0.45,0.34,0.24
14845,mds,tfidf,0.51,0.27,0.32
14846,mds,tfidf,0.51,0.27,0.32
14847,mds,tfidf,0.51,0.27,0.32
14848,mds,tfidf,0.51,0.27,0.31
14849,mds,tfidf,0.51,0.27,0.31
18694,mds,tfidf,0.52,0.42,0.26
18695,mds,tfidf,0.52,0.42,0.23
18696,mds,tfidf,0.52,0.42,0.23
18697,mds,tfidf,0.52,0.42,0.24
18698,mds,tfidf,0.52,0.42,0.24
