,DR,TM,accuracy_local,accuracy_global,perception
222,som,lda,0.66,0.57,0.19
223,som,lda,0.96,0.63,0.24
224,som,lda,0.69,0.58,0.26
225,som,lda,0.7,0.58,0.25
226,som,lda,0.96,0.64,0.27
227,som,lda,0.64,0.54,0.19
228,som,lda,0.69,0.6,0.25
229,som,lda,0.97,0.66,0.26
230,som,lda,0.97,0.67,0.24
231,som,lda,0.96,0.68,0.28
232,som,lda,0.95,0.63,0.21
233,som,lda,0.95,0.6,0.19
234,som,lda,0.95,0.56,0.15
235,som,lda,0.95,0.65,0.18
236,som,lda,0.96,0.63,0.23
237,som,lda,0.97,0.65,0.26
238,som,lda,0.97,0.67,0.23
239,som,lda,0.94,0.61,0.19
240,som,lda,0.96,0.67,0.26
241,som,lda,0.95,0.66,0.2
242,som,lda,0.96,0.65,0.25
243,som,lda,0.94,0.58,0.15
244,som,lda,0.96,0.66,0.21
245,som,lda,0.96,0.63,0.23
246,som,lda,0.96,0.67,0.21
247,som,lda,0.68,0.58,0.25
248,som,lda,0.96,0.66,0.25
249,som,lda,0.67,0.6,0.24
250,som,lda,0.97,0.68,0.25
251,som,lda,0.95,0.62,0.16
252,som,lda,0.96,0.65,0.27
253,som,lda,0.92,0.64,0.13
254,som,lda,0.69,0.55,0.27
255,som,lda,0.66,0.57,0.2
256,som,lda,0.7,0.59,0.27
257,som,lda,0.97,0.65,0.26
3999,som,lda,0.98,0.75,0.4
4000,som,lda,0.63,0.57,0.34
4001,som,lda,0.98,0.73,0.4
4002,som,lda,0.97,0.69,0.35
4003,som,lda,0.96,0.64,0.33
4004,som,lda,0.96,0.65,0.41
4005,som,lda,0.97,0.72,0.37
4006,som,lda,0.98,0.68,0.39
4007,som,lda,0.98,0.73,0.4
4008,som,lda,0.97,0.76,0.41
4009,som,lda,0.97,0.58,0.37
4010,som,lda,0.98,0.75,0.4
4011,som,lda,0.98,0.75,0.43
4012,som,lda,0.98,0.74,0.37
4013,som,lda,0.98,0.7,0.41
4014,som,lda,0.98,0.76,0.42
4015,som,lda,0.99,0.76,0.44
4016,som,lda,0.61,0.56,0.33
4017,som,lda,0.63,0.58,0.4
4018,som,lda,0.94,0.67,0.32
4019,som,lda,0.97,0.7,0.4
4020,som,lda,0.98,0.75,0.36
4021,som,lda,0.63,0.57,0.36
4022,som,lda,0.62,0.56,0.4
4023,som,lda,0.98,0.71,0.37
4024,som,lda,0.98,0.7,0.43
4025,som,lda,0.98,0.74,0.39
4026,som,lda,0.97,0.7,0.35
4027,som,lda,0.98,0.74,0.43
4028,som,lda,0.98,0.75,0.42
4029,som,lda,0.98,0.76,0.38
4030,som,lda,0.98,0.72,0.43
4031,som,lda,0.98,0.7,0.41
4032,som,lda,0.97,0.66,0.4
4033,som,lda,0.98,0.75,0.37
4034,som,lda,0.97,0.64,0.33
7617,som,lda,0.97,0.71,0.47
7618,som,lda,0.98,0.77,0.49
7619,som,lda,0.98,0.78,0.47
7620,som,lda,0.98,0.76,0.49
7621,som,lda,0.98,0.76,0.51
7622,som,lda,0.97,0.71,0.41
7623,som,lda,0.97,0.77,0.47
7624,som,lda,0.58,0.54,0.39
7625,som,lda,0.96,0.66,0.42
7626,som,lda,0.97,0.76,0.42
7627,som,lda,0.97,0.66,0.46
7628,som,lda,0.97,0.74,0.45
7629,som,lda,0.97,0.74,0.46
7630,som,lda,0.96,0.66,0.37
7631,som,lda,0.98,0.78,0.47
7632,som,lda,0.96,0.66,0.34
7633,som,lda,0.59,0.51,0.51
7634,som,lda,0.98,0.75,0.46
7635,som,lda,0.96,0.71,0.31
7636,som,lda,0.97,0.68,0.47
7637,som,lda,0.98,0.72,0.49
7638,som,lda,0.98,0.77,0.49
7639,som,lda,0.97,0.74,0.42
7640,som,lda,0.97,0.73,0.44
7641,som,lda,0.58,0.53,0.35
7642,som,lda,0.98,0.71,0.44
7643,som,lda,0.57,0.54,0.31
7644,som,lda,0.97,0.76,0.45
7645,som,lda,0.98,0.78,0.49
7646,som,lda,0.97,0.67,0.41
7647,som,lda,0.6,0.55,0.44
7648,som,lda,0.97,0.74,0.41
7649,som,lda,0.98,0.74,0.47
7650,som,lda,0.6,0.53,0.4
7651,som,lda,0.97,0.76,0.4
7652,som,lda,0.98,0.75,0.43
11455,som,lda,0.98,0.78,0.45
11456,som,lda,0.96,0.77,0.33
11457,som,lda,0.98,0.83,0.4
11458,som,lda,0.98,0.74,0.33
11459,som,lda,0.96,0.82,0.38
11460,som,lda,0.97,0.72,0.31
11461,som,lda,0.97,0.7,0.35
11462,som,lda,0.97,0.72,0.41
11463,som,lda,0.97,0.71,0.3
11464,som,lda,0.98,0.7,0.39
11465,som,lda,0.97,0.67,0.34
11466,som,lda,0.98,0.83,0.42
11467,som,lda,0.98,0.75,0.39
11468,som,lda,0.98,0.73,0.45
11469,som,lda,0.95,0.61,0.34
11470,som,lda,0.98,0.81,0.39
11471,som,lda,0.98,0.77,0.44
11472,som,lda,0.94,0.71,0.33
11473,som,lda,0.96,0.78,0.36
11474,som,lda,0.98,0.74,0.41
11475,som,lda,0.98,0.76,0.43
11476,som,lda,0.98,0.78,0.4
11477,som,lda,0.98,0.82,0.4
11478,som,lda,0.98,0.79,0.45
11479,som,lda,0.98,0.83,0.44
11480,som,lda,0.97,0.81,0.41
11481,som,lda,0.97,0.72,0.34
11482,som,lda,0.96,0.79,0.37
11483,som,lda,0.98,0.85,0.44
11484,som,lda,0.96,0.74,0.33
11485,som,lda,0.98,0.69,0.37
11486,som,lda,0.98,0.72,0.41
11487,som,lda,0.95,0.73,0.33
11488,som,lda,0.98,0.79,0.46
11489,som,lda,0.98,0.81,0.4
