,DR,TM,accuracy_local,accuracy_global,perception
443,som,lsi_linear_combined,0.88,0.71,0.24
444,som,lsi_linear_combined,0.82,0.68,0.18
445,som,lsi_linear_combined,0.89,0.73,0.24
446,som,lsi_linear_combined,0.88,0.73,0.24
447,som,lsi_linear_combined,0.85,0.69,0.2
448,som,lsi_linear_combined,0.88,0.72,0.23
449,som,lsi_linear_combined,0.79,0.66,0.18
450,som,lsi_linear_combined,0.89,0.67,0.22
451,som,lsi_linear_combined,0.89,0.71,0.24
452,som,lsi_linear_combined,0.87,0.72,0.21
453,som,lsi_linear_combined,0.71,0.59,0.12
454,som,lsi_linear_combined,0.64,0.61,0.08
455,som,lsi_linear_combined,0.85,0.72,0.2
456,som,lsi_linear_combined,0.86,0.69,0.21
457,som,lsi_linear_combined,0.82,0.71,0.19
458,som,lsi_linear_combined,0.88,0.74,0.23
459,som,lsi_linear_combined,0.83,0.66,0.19
460,som,lsi_linear_combined,0.75,0.68,0.15
461,som,lsi_linear_combined,0.7,0.61,0.13
462,som,lsi_linear_combined,0.84,0.69,0.2
463,som,lsi_linear_combined,0.84,0.69,0.2
464,som,lsi_linear_combined,0.86,0.68,0.22
465,som,lsi_linear_combined,0.7,0.62,0.11
466,som,lsi_linear_combined,0.77,0.67,0.16
467,som,lsi_linear_combined,0.85,0.64,0.2
468,som,lsi_linear_combined,0.89,0.71,0.25
469,som,lsi_linear_combined,0.76,0.68,0.14
470,som,lsi_linear_combined,0.83,0.69,0.19
471,som,lsi_linear_combined,0.87,0.68,0.23
472,som,lsi_linear_combined,0.8,0.69,0.16
473,som,lsi_linear_combined,0.77,0.65,0.16
474,som,lsi_linear_combined,0.87,0.7,0.22
475,som,lsi_linear_combined,0.85,0.68,0.2
476,som,lsi_linear_combined,0.84,0.66,0.2
477,som,lsi_linear_combined,0.79,0.66,0.17
478,som,lsi_linear_combined,0.75,0.64,0.14
4226,som,lsi_linear_combined,0.84,0.62,0.4
4227,som,lsi_linear_combined,0.73,0.54,0.38
4228,som,lsi_linear_combined,0.77,0.59,0.37
4229,som,lsi_linear_combined,0.83,0.66,0.41
4230,som,lsi_linear_combined,0.71,0.55,0.38
4231,som,lsi_linear_combined,0.82,0.59,0.38
4232,som,lsi_linear_combined,0.79,0.6,0.35
4233,som,lsi_linear_combined,0.74,0.55,0.39
4234,som,lsi_linear_combined,0.73,0.61,0.35
4235,som,lsi_linear_combined,0.84,0.65,0.4
4236,som,lsi_linear_combined,0.81,0.64,0.36
4237,som,lsi_linear_combined,0.83,0.65,0.41
4238,som,lsi_linear_combined,0.63,0.63,0.32
4239,som,lsi_linear_combined,0.79,0.61,0.36
4240,som,lsi_linear_combined,0.85,0.66,0.4
4241,som,lsi_linear_combined,0.84,0.64,0.39
4242,som,lsi_linear_combined,0.85,0.64,0.42
4243,som,lsi_linear_combined,0.86,0.66,0.4
4244,som,lsi_linear_combined,0.85,0.64,0.37
4245,som,lsi_linear_combined,0.76,0.61,0.28
4246,som,lsi_linear_combined,0.81,0.64,0.37
4247,som,lsi_linear_combined,0.83,0.65,0.39
4248,som,lsi_linear_combined,0.83,0.62,0.39
4249,som,lsi_linear_combined,0.81,0.64,0.36
4250,som,lsi_linear_combined,0.82,0.65,0.37
4251,som,lsi_linear_combined,0.8,0.62,0.38
4252,som,lsi_linear_combined,0.76,0.58,0.34
4253,som,lsi_linear_combined,0.68,0.61,0.33
4254,som,lsi_linear_combined,0.7,0.58,0.33
4255,som,lsi_linear_combined,0.69,0.56,0.34
4256,som,lsi_linear_combined,0.77,0.63,0.35
4257,som,lsi_linear_combined,0.84,0.63,0.41
4258,som,lsi_linear_combined,0.75,0.5,0.25
4259,som,lsi_linear_combined,0.82,0.62,0.39
4260,som,lsi_linear_combined,0.82,0.63,0.39
4261,som,lsi_linear_combined,0.81,0.63,0.39
7843,som,lsi_linear_combined,0.92,0.73,0.81
7844,som,lsi_linear_combined,0.92,0.76,0.82
7845,som,lsi_linear_combined,0.9,0.65,0.75
