,DR,TM,accuracy_local,accuracy_global,perception
1774,som,nmf,0.95,0.69,0.19
1775,som,nmf,0.94,0.62,0.18
1776,som,nmf,0.91,0.63,0.12
1777,som,nmf,0.94,0.66,0.19
1778,som,nmf,0.91,0.61,0.12
1779,som,nmf,0.94,0.67,0.16
1780,som,nmf,0.95,0.67,0.21
1781,som,nmf,0.93,0.67,0.16
1782,som,nmf,0.94,0.64,0.19
1783,som,nmf,0.92,0.57,0.15
1784,som,nmf,0.94,0.67,0.17
1785,som,nmf,0.92,0.63,0.14
1786,som,nmf,0.94,0.61,0.18
1787,som,nmf,0.94,0.63,0.18
1788,som,nmf,0.94,0.69,0.18
1789,som,nmf,0.94,0.63,0.18
1790,som,nmf,0.92,0.62,0.14
1791,som,nmf,0.94,0.64,0.16
1792,som,nmf,0.91,0.63,0.14
1793,som,nmf,0.95,0.65,0.19
1794,som,nmf,0.92,0.62,0.13
1795,som,nmf,0.93,0.63,0.16
1796,som,nmf,0.69,0.54,0.11
1797,som,nmf,0.95,0.65,0.19
1798,som,nmf,0.94,0.61,0.19
1799,som,nmf,0.93,0.65,0.17
1800,som,nmf,0.72,0.53,0.14
1801,som,nmf,0.95,0.64,0.2
1802,som,nmf,0.93,0.62,0.16
1803,som,nmf,0.93,0.6,0.16
1804,som,nmf,0.7,0.56,0.13
1805,som,nmf,0.95,0.67,0.2
1806,som,nmf,0.93,0.66,0.15
1807,som,nmf,0.94,0.67,0.18
1808,som,nmf,0.94,0.64,0.19
1809,som,nmf,0.9,0.6,0.13
5583,som,nmf,0.97,0.81,0.43
5584,som,nmf,0.77,0.62,0.37
5585,som,nmf,0.97,0.78,0.36
5586,som,nmf,0.74,0.61,0.38
5587,som,nmf,0.97,0.82,0.47
5588,som,nmf,0.78,0.67,0.42
5589,som,nmf,0.97,0.74,0.43
5590,som,nmf,0.97,0.78,0.37
5591,som,nmf,0.94,0.65,0.35
5592,som,nmf,0.76,0.66,0.37
5593,som,nmf,0.76,0.67,0.37
5594,som,nmf,0.73,0.6,0.35
5595,som,nmf,0.94,0.7,0.35
5596,som,nmf,0.96,0.78,0.33
5597,som,nmf,0.71,0.61,0.31
5598,som,nmf,0.73,0.6,0.34
5599,som,nmf,0.97,0.77,0.42
5600,som,nmf,0.96,0.79,0.34
5601,som,nmf,0.97,0.8,0.41
