,DR,TM,accuracy_local,accuracy_global,perception
1330,som,nmf_linear_combined,0.94,0.75,0.16
1331,som,nmf_linear_combined,0.95,0.77,0.19
1332,som,nmf_linear_combined,0.95,0.73,0.18
1333,som,nmf_linear_combined,0.95,0.72,0.19
1334,som,nmf_linear_combined,0.94,0.65,0.17
1335,som,nmf_linear_combined,0.93,0.73,0.16
1336,som,nmf_linear_combined,0.95,0.75,0.19
1337,som,nmf_linear_combined,0.93,0.76,0.16
1338,som,nmf_linear_combined,0.94,0.64,0.16
1339,som,nmf_linear_combined,0.95,0.79,0.17
1340,som,nmf_linear_combined,0.65,0.53,0.33
1341,som,nmf_linear_combined,0.95,0.71,0.18
1342,som,nmf_linear_combined,0.91,0.66,0.13
1343,som,nmf_linear_combined,0.91,0.65,0.12
1344,som,nmf_linear_combined,0.94,0.72,0.16
1345,som,nmf_linear_combined,0.91,0.67,0.13
1346,som,nmf_linear_combined,0.95,0.75,0.17
1347,som,nmf_linear_combined,0.94,0.71,0.16
1348,som,nmf_linear_combined,0.95,0.73,0.15
1349,som,nmf_linear_combined,0.94,0.71,0.15
1350,som,nmf_linear_combined,0.92,0.63,0.13
1351,som,nmf_linear_combined,0.65,0.57,0.3
1352,som,nmf_linear_combined,0.95,0.73,0.18
1353,som,nmf_linear_combined,0.91,0.66,0.12
1354,som,nmf_linear_combined,0.94,0.66,0.15
1355,som,nmf_linear_combined,0.94,0.74,0.15
1356,som,nmf_linear_combined,0.95,0.73,0.18
1357,som,nmf_linear_combined,0.95,0.67,0.17
1358,som,nmf_linear_combined,0.9,0.63,0.12
1359,som,nmf_linear_combined,0.95,0.75,0.2
1360,som,nmf_linear_combined,0.94,0.71,0.16
1361,som,nmf_linear_combined,0.96,0.77,0.21
1362,som,nmf_linear_combined,0.91,0.59,0.12
1363,som,nmf_linear_combined,0.64,0.57,0.29
1364,som,nmf_linear_combined,0.95,0.76,0.15
1365,som,nmf_linear_combined,0.65,0.57,0.33
5131,som,nmf_linear_combined,0.96,0.76,0.38
5132,som,nmf_linear_combined,0.97,0.8,0.38
5133,som,nmf_linear_combined,0.94,0.67,0.4
5134,som,nmf_linear_combined,0.97,0.81,0.43
5135,som,nmf_linear_combined,0.97,0.84,0.46
5136,som,nmf_linear_combined,0.97,0.79,0.38
5137,som,nmf_linear_combined,0.69,0.6,0.34
