,DR,TM,accuracy_local,accuracy_global,perception
1993,som,nmf_tfidf,0.94,0.58,0.26
1994,som,nmf_tfidf,0.96,0.64,0.39
1995,som,nmf_tfidf,0.96,0.65,0.36
1996,som,nmf_tfidf,0.97,0.66,0.42
1997,som,nmf_tfidf,0.97,0.67,0.42
1998,som,nmf_tfidf,0.95,0.58,0.29
1999,som,nmf_tfidf,0.96,0.62,0.37
2000,som,nmf_tfidf,0.94,0.61,0.31
2001,som,nmf_tfidf,0.97,0.64,0.39
2002,som,nmf_tfidf,0.96,0.61,0.34
2003,som,nmf_tfidf,0.96,0.62,0.35
2004,som,nmf_tfidf,0.97,0.65,0.39
2005,som,nmf_tfidf,0.94,0.59,0.31
2006,som,nmf_tfidf,0.95,0.63,0.36
2007,som,nmf_tfidf,0.94,0.6,0.3
2008,som,nmf_tfidf,0.96,0.66,0.36
2009,som,nmf_tfidf,0.91,0.66,0.3
2010,som,nmf_tfidf,0.96,0.64,0.36
2011,som,nmf_tfidf,0.96,0.63,0.37
2012,som,nmf_tfidf,0.95,0.6,0.28
2013,som,nmf_tfidf,0.96,0.64,0.37
2014,som,nmf_tfidf,0.95,0.65,0.34
2015,som,nmf_tfidf,0.96,0.62,0.36
2016,som,nmf_tfidf,0.96,0.65,0.39
2017,som,nmf_tfidf,0.93,0.61,0.31
2018,som,nmf_tfidf,0.95,0.6,0.28
2019,som,nmf_tfidf,0.97,0.64,0.41
2020,som,nmf_tfidf,0.96,0.61,0.35
2021,som,nmf_tfidf,0.97,0.65,0.4
2022,som,nmf_tfidf,0.95,0.64,0.35
2023,som,nmf_tfidf,0.96,0.62,0.36
2024,som,nmf_tfidf,0.94,0.57,0.28
2025,som,nmf_tfidf,0.96,0.66,0.38
2026,som,nmf_tfidf,0.97,0.65,0.4
2027,som,nmf_tfidf,0.94,0.62,0.34
2028,som,nmf_tfidf,0.96,0.64,0.38
5808,som,nmf_tfidf,0.97,0.74,0.42
5809,som,nmf_tfidf,0.96,0.69,0.34
5810,som,nmf_tfidf,0.97,0.66,0.37
5811,som,nmf_tfidf,0.97,0.77,0.42
5812,som,nmf_tfidf,0.97,0.77,0.42
5813,som,nmf_tfidf,0.97,0.74,0.37
5814,som,nmf_tfidf,0.93,0.65,0.34
5815,som,nmf_tfidf,0.95,0.67,0.29
5816,som,nmf_tfidf,0.97,0.77,0.43
5817,som,nmf_tfidf,0.95,0.55,0.29
5818,som,nmf_tfidf,0.95,0.64,0.34
5819,som,nmf_tfidf,0.97,0.73,0.43
5820,som,nmf_tfidf,0.96,0.74,0.35
5821,som,nmf_tfidf,0.97,0.73,0.39
5822,som,nmf_tfidf,0.96,0.71,0.39
5823,som,nmf_tfidf,0.96,0.73,0.35
5824,som,nmf_tfidf,0.97,0.74,0.45
5825,som,nmf_tfidf,0.93,0.7,0.36
5826,som,nmf_tfidf,0.97,0.78,0.42
5827,som,nmf_tfidf,0.96,0.74,0.34
5828,som,nmf_tfidf,0.96,0.74,0.38
5829,som,nmf_tfidf,0.94,0.61,0.27
5830,som,nmf_tfidf,0.97,0.71,0.44
5831,som,nmf_tfidf,0.97,0.72,0.4
5832,som,nmf_tfidf,0.97,0.75,0.39
5833,som,nmf_tfidf,0.96,0.7,0.35
5834,som,nmf_tfidf,0.94,0.64,0.32
5835,som,nmf_tfidf,0.96,0.75,0.39
5836,som,nmf_tfidf,0.96,0.74,0.33
5837,som,nmf_tfidf,0.96,0.69,0.38
5838,som,nmf_tfidf,0.97,0.7,0.43
5839,som,nmf_tfidf,0.95,0.66,0.33
5840,som,nmf_tfidf,0.95,0.64,0.34
5841,som,nmf_tfidf,0.97,0.75,0.43
5842,som,nmf_tfidf,0.96,0.72,0.32
5843,som,nmf_tfidf,0.94,0.67,0.33
9425,som,nmf_tfidf,0.96,0.67,0.56
9426,som,nmf_tfidf,0.96,0.69,0.62
9427,som,nmf_tfidf,0.96,0.73,0.65
9428,som,nmf_tfidf,0.94,0.57,0.49
9429,som,nmf_tfidf,0.96,0.72,0.67
9430,som,nmf_tfidf,0.96,0.71,0.64
9431,som,nmf_tfidf,0.96,0.69,0.64
9432,som,nmf_tfidf,0.96,0.7,0.61
9433,som,nmf_tfidf,0.96,0.71,0.64
9434,som,nmf_tfidf,0.96,0.73,0.57
9435,som,nmf_tfidf,0.95,0.67,0.56
9436,som,nmf_tfidf,0.95,0.63,0.62
9437,som,nmf_tfidf,0.97,0.74,0.67
9438,som,nmf_tfidf,0.95,0.65,0.54
9439,som,nmf_tfidf,0.96,0.73,0.66
9440,som,nmf_tfidf,0.96,0.73,0.64
9441,som,nmf_tfidf,0.92,0.68,0.52
9442,som,nmf_tfidf,0.96,0.72,0.61
9443,som,nmf_tfidf,0.96,0.72,0.62
9444,som,nmf_tfidf,0.94,0.63,0.5
9445,som,nmf_tfidf,0.96,0.69,0.61
9446,som,nmf_tfidf,0.96,0.71,0.64
9447,som,nmf_tfidf,0.95,0.67,0.56
9448,som,nmf_tfidf,0.94,0.67,0.53
9449,som,nmf_tfidf,0.97,0.75,0.68
9450,som,nmf_tfidf,0.96,0.75,0.64
9451,som,nmf_tfidf,0.96,0.72,0.64
9452,som,nmf_tfidf,0.97,0.75,0.69
9453,som,nmf_tfidf,0.96,0.7,0.64
9454,som,nmf_tfidf,0.96,0.7,0.6
9455,som,nmf_tfidf,0.96,0.71,0.64
9456,som,nmf_tfidf,0.95,0.65,0.53
9457,som,nmf_tfidf,0.96,0.71,0.61
9458,som,nmf_tfidf,0.95,0.64,0.57
9459,som,nmf_tfidf,0.93,0.63,0.45
9460,som,nmf_tfidf,0.97,0.76,0.68
13262,som,nmf_tfidf,0.97,0.76,0.44
13263,som,nmf_tfidf,0.97,0.78,0.45
13264,som,nmf_tfidf,0.97,0.8,0.49
13265,som,nmf_tfidf,0.97,0.79,0.46
13266,som,nmf_tfidf,0.95,0.7,0.37
13267,som,nmf_tfidf,0.97,0.78,0.47
13268,som,nmf_tfidf,0.96,0.72,0.4
13269,som,nmf_tfidf,0.94,0.68,0.32
13270,som,nmf_tfidf,0.95,0.68,0.37
13271,som,nmf_tfidf,0.96,0.76,0.4
13272,som,nmf_tfidf,0.95,0.71,0.36
13273,som,nmf_tfidf,0.96,0.77,0.42
13274,som,nmf_tfidf,0.95,0.73,0.39
13275,som,nmf_tfidf,0.97,0.79,0.48
13276,som,nmf_tfidf,0.97,0.71,0.45
13277,som,nmf_tfidf,0.97,0.79,0.49
13278,som,nmf_tfidf,0.96,0.65,0.41
13279,som,nmf_tfidf,0.97,0.79,0.46
13280,som,nmf_tfidf,0.97,0.77,0.48
13281,som,nmf_tfidf,0.95,0.74,0.36
