,DR,TM,accuracy_local,accuracy_global,perception
3359,tsne,bow,0.92,0.61,0.52
3360,tsne,bow,0.93,0.6,0.55
3361,tsne,bow,0.92,0.6,0.54
3362,tsne,bow,0.92,0.59,0.56
3363,tsne,bow,0.92,0.59,0.56
3364,tsne,bow,0.92,0.62,0.49
3365,tsne,bow,0.92,0.59,0.56
3366,tsne,bow,0.91,0.61,0.48
3367,tsne,bow,0.93,0.62,0.54
3368,tsne,bow,0.92,0.6,0.51
3369,tsne,bow,0.91,0.6,0.46
3370,tsne,bow,0.93,0.61,0.55
3371,tsne,bow,0.93,0.62,0.54
3372,tsne,bow,0.93,0.62,0.53
3373,tsne,bow,0.92,0.59,0.55
3374,tsne,bow,0.93,0.6,0.55
3375,tsne,bow,0.93,0.61,0.54
3376,tsne,bow,0.91,0.61,0.47
3377,tsne,bow,0.91,0.6,0.46
3378,tsne,bow,0.92,0.61,0.54
3379,tsne,bow,0.92,0.59,0.53
3380,tsne,bow,0.93,0.6,0.56
3381,tsne,bow,0.93,0.61,0.54
3382,tsne,bow,0.92,0.59,0.53
3383,tsne,bow,0.92,0.61,0.54
3384,tsne,bow,0.93,0.6,0.56
3385,tsne,bow,0.93,0.62,0.54
3386,tsne,bow,0.93,0.6,0.54
3387,tsne,bow,0.93,0.6,0.56
3388,tsne,bow,0.93,0.6,0.57
3389,tsne,bow,0.93,0.61,0.53
3390,tsne,bow,0.92,0.61,0.49
3391,tsne,bow,0.93,0.61,0.56
3392,tsne,bow,0.93,0.61,0.55
3393,tsne,bow,0.92,0.59,0.57
3394,tsne,bow,0.92,0.59,0.57
3395,tsne,bow,0.93,0.62,0.54
3396,tsne,bow,0.93,0.61,0.55
3397,tsne,bow,0.92,0.59,0.56
3398,tsne,bow,0.93,0.61,0.54
3399,tsne,bow,0.93,0.61,0.56
3400,tsne,bow,0.92,0.59,0.57
3401,tsne,bow,0.92,0.61,0.51
3402,tsne,bow,0.92,0.58,0.55
3403,tsne,bow,0.93,0.61,0.54
3404,tsne,bow,0.92,0.59,0.53
3405,tsne,bow,0.92,0.6,0.51
3406,tsne,bow,0.93,0.6,0.54
3407,tsne,bow,0.92,0.61,0.54
3408,tsne,bow,0.93,0.62,0.53
