,DR,TM,accuracy_local,accuracy_global,perception
258,tsne,lda,0.98,0.73,0.33
259,tsne,lda,0.97,0.72,0.32
260,tsne,lda,0.98,0.72,0.33
261,tsne,lda,0.96,0.72,0.34
262,tsne,lda,0.97,0.73,0.34
263,tsne,lda,0.97,0.72,0.34
264,tsne,lda,0.97,0.72,0.34
265,tsne,lda,0.97,0.73,0.33
266,tsne,lda,0.96,0.71,0.34
267,tsne,lda,0.97,0.72,0.34
268,tsne,lda,0.97,0.73,0.33
269,tsne,lda,0.96,0.72,0.34
270,tsne,lda,0.97,0.71,0.32
271,tsne,lda,0.98,0.72,0.33
272,tsne,lda,0.97,0.72,0.33
273,tsne,lda,0.97,0.72,0.32
274,tsne,lda,0.97,0.71,0.34
275,tsne,lda,0.97,0.72,0.34
276,tsne,lda,0.97,0.71,0.32
277,tsne,lda,0.97,0.71,0.32
278,tsne,lda,0.96,0.72,0.34
279,tsne,lda,0.97,0.71,0.32
280,tsne,lda,0.97,0.72,0.33
281,tsne,lda,0.97,0.72,0.34
282,tsne,lda,0.97,0.73,0.34
283,tsne,lda,0.97,0.72,0.34
284,tsne,lda,0.97,0.72,0.34
285,tsne,lda,0.97,0.73,0.33
286,tsne,lda,0.97,0.71,0.32
287,tsne,lda,0.97,0.71,0.33
288,tsne,lda,0.97,0.73,0.33
289,tsne,lda,0.97,0.72,0.34
290,tsne,lda,0.96,0.72,0.34
291,tsne,lda,0.97,0.72,0.34
292,tsne,lda,0.97,0.72,0.33
293,tsne,lda,0.97,0.73,0.33
294,tsne,lda,0.97,0.72,0.32
295,tsne,lda,0.97,0.72,0.33
296,tsne,lda,0.97,0.71,0.32
297,tsne,lda,0.97,0.72,0.33
298,tsne,lda,0.97,0.72,0.32
299,tsne,lda,0.97,0.73,0.33
300,tsne,lda,0.97,0.72,0.33
301,tsne,lda,0.96,0.71,0.34
302,tsne,lda,0.97,0.72,0.34
303,tsne,lda,0.97,0.72,0.34
304,tsne,lda,0.98,0.72,0.33
305,tsne,lda,0.97,0.72,0.34
306,tsne,lda,0.98,0.73,0.33
307,tsne,lda,0.97,0.73,0.33
308,tsne,lda,0.97,0.73,0.33
309,tsne,lda,0.97,0.72,0.33
310,tsne,lda,0.97,0.72,0.33
311,tsne,lda,0.97,0.72,0.34
312,tsne,lda,0.97,0.72,0.34
313,tsne,lda,0.97,0.72,0.34
314,tsne,lda,0.98,0.73,0.33
315,tsne,lda,0.97,0.71,0.32
316,tsne,lda,0.97,0.72,0.33
317,tsne,lda,0.97,0.72,0.33
318,tsne,lda,0.97,0.73,0.34
319,tsne,lda,0.97,0.72,0.34
320,tsne,lda,0.97,0.72,0.34
321,tsne,lda,0.97,0.72,0.34
322,tsne,lda,0.97,0.72,0.34
323,tsne,lda,0.97,0.72,0.33
324,tsne,lda,0.97,0.73,0.33
325,tsne,lda,0.97,0.72,0.34
326,tsne,lda,0.97,0.72,0.34
327,tsne,lda,0.97,0.71,0.33
328,tsne,lda,0.97,0.72,0.33
329,tsne,lda,0.97,0.72,0.32
330,tsne,lda,0.97,0.72,0.33
331,tsne,lda,0.97,0.72,0.33
332,tsne,lda,0.97,0.72,0.33
333,tsne,lda,0.97,0.72,0.33
334,tsne,lda,0.97,0.72,0.33
335,tsne,lda,0.97,0.72,0.33
336,tsne,lda,0.97,0.72,0.34
337,tsne,lda,0.98,0.71,0.32
338,tsne,lda,0.97,0.72,0.34
339,tsne,lda,0.97,0.72,0.34
340,tsne,lda,0.97,0.72,0.34
341,tsne,lda,0.97,0.72,0.34
342,tsne,lda,0.97,0.72,0.34
343,tsne,lda,0.97,0.72,0.34
344,tsne,lda,0.97,0.72,0.34
345,tsne,lda,0.97,0.72,0.33
346,tsne,lda,0.97,0.72,0.34
347,tsne,lda,0.97,0.72,0.34
348,tsne,lda,0.97,0.71,0.32
349,tsne,lda,0.98,0.73,0.33
350,tsne,lda,0.97,0.72,0.33
351,tsne,lda,0.97,0.72,0.33
352,tsne,lda,0.97,0.72,0.34
353,tsne,lda,0.97,0.72,0.34
354,tsne,lda,0.97,0.71,0.32
355,tsne,lda,0.97,0.72,0.34
356,tsne,lda,0.97,0.73,0.33
357,tsne,lda,0.97,0.71,0.33
358,tsne,lda,0.97,0.72,0.33
359,tsne,lda,0.96,0.71,0.34
360,tsne,lda,0.97,0.72,0.33
361,tsne,lda,0.97,0.72,0.34
