,DR,TM,accuracy_local,accuracy_global,perception
2029,tsne,nmf_tfidf,0.98,0.7,0.5
2030,tsne,nmf_tfidf,0.98,0.7,0.5
2031,tsne,nmf_tfidf,0.98,0.69,0.49
2032,tsne,nmf_tfidf,0.98,0.7,0.5
2033,tsne,nmf_tfidf,0.98,0.69,0.49
2034,tsne,nmf_tfidf,0.98,0.7,0.5
2035,tsne,nmf_tfidf,0.98,0.7,0.5
2036,tsne,nmf_tfidf,0.98,0.69,0.48
2037,tsne,nmf_tfidf,0.99,0.7,0.5
2038,tsne,nmf_tfidf,0.98,0.68,0.49
2039,tsne,nmf_tfidf,0.98,0.69,0.5
2040,tsne,nmf_tfidf,0.98,0.69,0.48
2041,tsne,nmf_tfidf,0.98,0.7,0.49
2042,tsne,nmf_tfidf,0.98,0.7,0.5
2043,tsne,nmf_tfidf,0.98,0.68,0.49
2044,tsne,nmf_tfidf,0.98,0.69,0.49
2045,tsne,nmf_tfidf,0.98,0.7,0.51
2046,tsne,nmf_tfidf,0.98,0.7,0.5
2047,tsne,nmf_tfidf,0.98,0.7,0.5
2048,tsne,nmf_tfidf,0.98,0.69,0.49
2049,tsne,nmf_tfidf,0.98,0.7,0.5
2050,tsne,nmf_tfidf,0.98,0.7,0.5
2051,tsne,nmf_tfidf,0.98,0.68,0.48
2052,tsne,nmf_tfidf,0.98,0.69,0.49
2053,tsne,nmf_tfidf,0.98,0.7,0.51
2054,tsne,nmf_tfidf,0.98,0.69,0.49
2055,tsne,nmf_tfidf,0.98,0.69,0.47
2056,tsne,nmf_tfidf,0.98,0.7,0.5
2057,tsne,nmf_tfidf,0.98,0.7,0.5
2058,tsne,nmf_tfidf,0.98,0.7,0.5
2059,tsne,nmf_tfidf,0.98,0.7,0.51
2060,tsne,nmf_tfidf,0.98,0.69,0.5
2061,tsne,nmf_tfidf,0.98,0.69,0.47
2062,tsne,nmf_tfidf,0.98,0.7,0.51
2063,tsne,nmf_tfidf,0.98,0.7,0.51
2064,tsne,nmf_tfidf,0.98,0.7,0.5
2065,tsne,nmf_tfidf,0.98,0.69,0.5
2066,tsne,nmf_tfidf,0.98,0.69,0.5
2067,tsne,nmf_tfidf,0.98,0.7,0.5
2068,tsne,nmf_tfidf,0.98,0.7,0.5
2069,tsne,nmf_tfidf,0.98,0.7,0.5
2070,tsne,nmf_tfidf,0.98,0.7,0.51
2071,tsne,nmf_tfidf,0.98,0.69,0.47
2072,tsne,nmf_tfidf,0.98,0.7,0.5
2073,tsne,nmf_tfidf,0.98,0.7,0.51
2074,tsne,nmf_tfidf,0.99,0.7,0.49
2075,tsne,nmf_tfidf,0.98,0.7,0.5
2076,tsne,nmf_tfidf,0.98,0.69,0.47
2077,tsne,nmf_tfidf,0.98,0.7,0.51
2078,tsne,nmf_tfidf,0.98,0.69,0.5
2079,tsne,nmf_tfidf,0.98,0.7,0.51
2080,tsne,nmf_tfidf,0.98,0.69,0.5
2081,tsne,nmf_tfidf,0.98,0.7,0.5
2082,tsne,nmf_tfidf,0.98,0.69,0.51
2083,tsne,nmf_tfidf,0.98,0.7,0.5
2084,tsne,nmf_tfidf,0.98,0.69,0.48
2085,tsne,nmf_tfidf,0.98,0.7,0.51
2086,tsne,nmf_tfidf,0.98,0.7,0.5
2087,tsne,nmf_tfidf,0.98,0.7,0.5
2088,tsne,nmf_tfidf,0.98,0.7,0.5
2089,tsne,nmf_tfidf,0.98,0.7,0.49
2090,tsne,nmf_tfidf,0.98,0.7,0.5
2091,tsne,nmf_tfidf,0.98,0.7,0.5
2092,tsne,nmf_tfidf,0.98,0.7,0.5
2093,tsne,nmf_tfidf,0.98,0.7,0.5
2094,tsne,nmf_tfidf,0.98,0.7,0.49
2095,tsne,nmf_tfidf,0.98,0.7,0.5
2096,tsne,nmf_tfidf,0.98,0.69,0.5
2097,tsne,nmf_tfidf,0.98,0.7,0.5
2098,tsne,nmf_tfidf,0.98,0.7,0.5
2099,tsne,nmf_tfidf,0.98,0.69,0.48
2100,tsne,nmf_tfidf,0.98,0.68,0.5
2101,tsne,nmf_tfidf,0.98,0.69,0.5
2102,tsne,nmf_tfidf,0.98,0.69,0.5
2103,tsne,nmf_tfidf,0.98,0.7,0.5
2104,tsne,nmf_tfidf,0.98,0.69,0.49
2105,tsne,nmf_tfidf,0.98,0.69,0.5
2106,tsne,nmf_tfidf,0.98,0.69,0.49
2107,tsne,nmf_tfidf,0.99,0.7,0.5
2108,tsne,nmf_tfidf,0.98,0.69,0.5
2109,tsne,nmf_tfidf,0.98,0.7,0.51
2110,tsne,nmf_tfidf,0.98,0.7,0.5
2111,tsne,nmf_tfidf,0.98,0.7,0.51
2112,tsne,nmf_tfidf,0.98,0.7,0.5
2113,tsne,nmf_tfidf,0.98,0.7,0.5
2114,tsne,nmf_tfidf,0.98,0.68,0.5
2115,tsne,nmf_tfidf,0.98,0.7,0.51
2116,tsne,nmf_tfidf,0.98,0.7,0.5
2117,tsne,nmf_tfidf,0.98,0.7,0.51
2118,tsne,nmf_tfidf,0.98,0.7,0.51
2119,tsne,nmf_tfidf,0.98,0.7,0.5
2120,tsne,nmf_tfidf,0.98,0.69,0.49
2121,tsne,nmf_tfidf,0.98,0.7,0.5
2122,tsne,nmf_tfidf,0.98,0.7,0.5
2123,tsne,nmf_tfidf,0.98,0.69,0.5
2124,tsne,nmf_tfidf,0.98,0.7,0.5
2125,tsne,nmf_tfidf,0.98,0.7,0.5
2126,tsne,nmf_tfidf,0.98,0.7,0.5
2127,tsne,nmf_tfidf,0.98,0.7,0.5
2128,tsne,nmf_tfidf,0.98,0.7,0.51
2129,tsne,nmf_tfidf,0.98,0.7,0.5
2130,tsne,nmf_tfidf,0.98,0.69,0.47
2131,tsne,nmf_tfidf,0.98,0.69,0.49
2132,tsne,nmf_tfidf,0.98,0.7,0.5
2133,tsne,nmf_tfidf,0.98,0.68,0.48
2134,tsne,nmf_tfidf,0.98,0.7,0.5
2135,tsne,nmf_tfidf,0.98,0.7,0.49
2136,tsne,nmf_tfidf,0.98,0.69,0.5
2137,tsne,nmf_tfidf,0.98,0.69,0.47
2138,tsne,nmf_tfidf,0.98,0.69,0.48
2139,tsne,nmf_tfidf,0.98,0.7,0.5
2140,tsne,nmf_tfidf,0.98,0.7,0.5
2141,tsne,nmf_tfidf,0.98,0.7,0.5
2142,tsne,nmf_tfidf,0.98,0.7,0.5
2143,tsne,nmf_tfidf,0.98,0.7,0.5
2144,tsne,nmf_tfidf,0.98,0.7,0.49
2145,tsne,nmf_tfidf,0.98,0.7,0.5
2146,tsne,nmf_tfidf,0.98,0.7,0.5
2147,tsne,nmf_tfidf,0.98,0.7,0.5
2148,tsne,nmf_tfidf,0.98,0.7,0.5
2149,tsne,nmf_tfidf,0.98,0.69,0.5
2150,tsne,nmf_tfidf,0.98,0.7,0.49
2151,tsne,nmf_tfidf,0.98,0.7,0.5
2152,tsne,nmf_tfidf,0.98,0.69,0.49
2153,tsne,nmf_tfidf,0.98,0.7,0.5
2154,tsne,nmf_tfidf,0.98,0.68,0.48
2155,tsne,nmf_tfidf,0.98,0.69,0.5
2156,tsne,nmf_tfidf,0.98,0.69,0.5
2157,tsne,nmf_tfidf,0.98,0.7,0.5
2158,tsne,nmf_tfidf,0.98,0.7,0.5
2159,tsne,nmf_tfidf,0.98,0.7,0.5
2160,tsne,nmf_tfidf,0.98,0.69,0.5
2161,tsne,nmf_tfidf,0.98,0.69,0.5
2162,tsne,nmf_tfidf,0.98,0.69,0.49
2163,tsne,nmf_tfidf,0.98,0.69,0.5
2164,tsne,nmf_tfidf,0.98,0.7,0.5
2165,tsne,nmf_tfidf,0.98,0.7,0.51
2166,tsne,nmf_tfidf,0.98,0.7,0.51
2167,tsne,nmf_tfidf,0.98,0.68,0.48
2168,tsne,nmf_tfidf,0.98,0.69,0.47
2169,tsne,nmf_tfidf,0.98,0.7,0.51
2170,tsne,nmf_tfidf,0.98,0.7,0.51
2171,tsne,nmf_tfidf,0.98,0.7,0.5
5844,tsne,nmf_tfidf,0.99,0.78,0.46
5845,tsne,nmf_tfidf,0.99,0.81,0.47
5846,tsne,nmf_tfidf,0.99,0.8,0.47
5847,tsne,nmf_tfidf,0.99,0.8,0.47
5848,tsne,nmf_tfidf,0.99,0.8,0.48
