,DR,TM,accuracy_local,accuracy_global,perception
3581,tsne,tfidf,0.92,0.54,0.58
3582,tsne,tfidf,0.93,0.55,0.63
3583,tsne,tfidf,0.92,0.55,0.58
3584,tsne,tfidf,0.92,0.53,0.56
3585,tsne,tfidf,0.92,0.56,0.63
3586,tsne,tfidf,0.92,0.53,0.56
3587,tsne,tfidf,0.92,0.55,0.57
3588,tsne,tfidf,0.92,0.54,0.56
3589,tsne,tfidf,0.92,0.54,0.58
3590,tsne,tfidf,0.92,0.57,0.63
3591,tsne,tfidf,0.92,0.55,0.58
3592,tsne,tfidf,0.92,0.56,0.63
3593,tsne,tfidf,0.92,0.56,0.65
3594,tsne,tfidf,0.92,0.55,0.58
3595,tsne,tfidf,0.92,0.54,0.57
3596,tsne,tfidf,0.92,0.53,0.56
3597,tsne,tfidf,0.92,0.55,0.58
3598,tsne,tfidf,0.93,0.55,0.63
3599,tsne,tfidf,0.92,0.55,0.56
3600,tsne,tfidf,0.92,0.54,0.57
3601,tsne,tfidf,0.92,0.53,0.58
3602,tsne,tfidf,0.93,0.56,0.63
3603,tsne,tfidf,0.92,0.57,0.63
3604,tsne,tfidf,0.92,0.53,0.56
3605,tsne,tfidf,0.93,0.56,0.64
3606,tsne,tfidf,0.92,0.55,0.55
3607,tsne,tfidf,0.93,0.55,0.61
3608,tsne,tfidf,0.93,0.55,0.63
3609,tsne,tfidf,0.77,0.53,0.34
3610,tsne,tfidf,0.92,0.56,0.56
3611,tsne,tfidf,0.93,0.55,0.62
3612,tsne,tfidf,0.93,0.56,0.65
3613,tsne,tfidf,0.92,0.55,0.55
3614,tsne,tfidf,0.92,0.53,0.56
3615,tsne,tfidf,0.92,0.55,0.58
3616,tsne,tfidf,0.93,0.55,0.63
3617,tsne,tfidf,0.92,0.55,0.57
3618,tsne,tfidf,0.93,0.55,0.61
3619,tsne,tfidf,0.92,0.53,0.56
3620,tsne,tfidf,0.93,0.55,0.63
3621,tsne,tfidf,0.92,0.56,0.63
3622,tsne,tfidf,0.93,0.56,0.63
3623,tsne,tfidf,0.92,0.54,0.57
3624,tsne,tfidf,0.92,0.56,0.64
3625,tsne,tfidf,0.92,0.53,0.56
3626,tsne,tfidf,0.93,0.55,0.62
3627,tsne,tfidf,0.93,0.55,0.62
3628,tsne,tfidf,0.92,0.54,0.56
3629,tsne,tfidf,0.93,0.55,0.62
3630,tsne,tfidf,0.92,0.53,0.56
3631,tsne,tfidf,0.93,0.55,0.63
3632,tsne,tfidf,0.92,0.57,0.63
3633,tsne,tfidf,0.92,0.54,0.57
3634,tsne,tfidf,0.92,0.55,0.55
3635,tsne,tfidf,0.92,0.53,0.56
3636,tsne,tfidf,0.92,0.56,0.63
3637,tsne,tfidf,0.92,0.54,0.58
3638,tsne,tfidf,0.93,0.55,0.61
3639,tsne,tfidf,0.93,0.55,0.61
3640,tsne,tfidf,0.92,0.54,0.55
3641,tsne,tfidf,0.93,0.56,0.63
3642,tsne,tfidf,0.92,0.53,0.56
3643,tsne,tfidf,0.93,0.55,0.63
3644,tsne,tfidf,0.77,0.53,0.34
3645,tsne,tfidf,0.93,0.54,0.61
3646,tsne,tfidf,0.93,0.56,0.63
3647,tsne,tfidf,0.92,0.53,0.57
3648,tsne,tfidf,0.92,0.53,0.56
3649,tsne,tfidf,0.93,0.55,0.62
3650,tsne,tfidf,0.92,0.55,0.58
3651,tsne,tfidf,0.93,0.54,0.61
3652,tsne,tfidf,0.92,0.53,0.57
3653,tsne,tfidf,0.92,0.55,0.57
3654,tsne,tfidf,0.92,0.53,0.56
3655,tsne,tfidf,0.93,0.55,0.62
3656,tsne,tfidf,0.93,0.55,0.61
3657,tsne,tfidf,0.92,0.53,0.57
3658,tsne,tfidf,0.93,0.55,0.63
3659,tsne,tfidf,0.93,0.55,0.62
3660,tsne,tfidf,0.93,0.55,0.64
3661,tsne,tfidf,0.92,0.56,0.61
3662,tsne,tfidf,0.77,0.53,0.34
3663,tsne,tfidf,0.92,0.55,0.57
3664,tsne,tfidf,0.93,0.55,0.63
3665,tsne,tfidf,0.93,0.55,0.64
3666,tsne,tfidf,0.92,0.54,0.56
3667,tsne,tfidf,0.92,0.55,0.56
3668,tsne,tfidf,0.92,0.53,0.56
3669,tsne,tfidf,0.93,0.55,0.63
3670,tsne,tfidf,0.92,0.55,0.62
3671,tsne,tfidf,0.92,0.56,0.63
3672,tsne,tfidf,0.92,0.55,0.55
3673,tsne,tfidf,0.92,0.55,0.55
3674,tsne,tfidf,0.93,0.55,0.63
3675,tsne,tfidf,0.92,0.55,0.64
3676,tsne,tfidf,0.92,0.53,0.58
3677,tsne,tfidf,0.93,0.55,0.63
3678,tsne,tfidf,0.93,0.55,0.63
3679,tsne,tfidf,0.92,0.53,0.56
3680,tsne,tfidf,0.93,0.56,0.64
3681,tsne,tfidf,0.92,0.56,0.62
3682,tsne,tfidf,0.92,0.56,0.61
3683,tsne,tfidf,0.93,0.55,0.62
3684,tsne,tfidf,0.92,0.55,0.56
3685,tsne,tfidf,0.93,0.55,0.62
3686,tsne,tfidf,0.92,0.56,0.62
3687,tsne,tfidf,0.77,0.53,0.34
3688,tsne,tfidf,0.93,0.55,0.63
3689,tsne,tfidf,0.92,0.57,0.63
3690,tsne,tfidf,0.93,0.56,0.64
3691,tsne,tfidf,0.92,0.53,0.56
3692,tsne,tfidf,0.93,0.56,0.63
3693,tsne,tfidf,0.93,0.55,0.62
3694,tsne,tfidf,0.92,0.55,0.55
3695,tsne,tfidf,0.92,0.55,0.58
3696,tsne,tfidf,0.93,0.55,0.62
3697,tsne,tfidf,0.93,0.55,0.62
3698,tsne,tfidf,0.93,0.56,0.64
3699,tsne,tfidf,0.92,0.54,0.57
3700,tsne,tfidf,0.93,0.55,0.62
3701,tsne,tfidf,0.92,0.56,0.65
3702,tsne,tfidf,0.92,0.54,0.61
3703,tsne,tfidf,0.92,0.54,0.56
3704,tsne,tfidf,0.93,0.55,0.63
3705,tsne,tfidf,0.93,0.54,0.61
3706,tsne,tfidf,0.92,0.54,0.56
3707,tsne,tfidf,0.93,0.55,0.62
3708,tsne,tfidf,0.93,0.55,0.63
3709,tsne,tfidf,0.93,0.56,0.64
3710,tsne,tfidf,0.93,0.55,0.62
3711,tsne,tfidf,0.92,0.53,0.57
3712,tsne,tfidf,0.93,0.56,0.64
3713,tsne,tfidf,0.92,0.55,0.56
3714,tsne,tfidf,0.92,0.55,0.56
3715,tsne,tfidf,0.92,0.55,0.57
3716,tsne,tfidf,0.93,0.56,0.64
3717,tsne,tfidf,0.92,0.56,0.63
3718,tsne,tfidf,0.93,0.55,0.64
3719,tsne,tfidf,0.93,0.56,0.65
3720,tsne,tfidf,0.92,0.55,0.55
3721,tsne,tfidf,0.93,0.55,0.62
3722,tsne,tfidf,0.93,0.56,0.63
3723,tsne,tfidf,0.93,0.55,0.64
3724,tsne,tfidf,0.93,0.56,0.63
7203,tsne,tfidf,0.95,0.56,0.6
7204,tsne,tfidf,0.93,0.56,0.55
7205,tsne,tfidf,0.95,0.55,0.6
7206,tsne,tfidf,0.94,0.56,0.59
7207,tsne,tfidf,0.94,0.56,0.6
7208,tsne,tfidf,0.95,0.57,0.59
7209,tsne,tfidf,0.94,0.58,0.6
7210,tsne,tfidf,0.95,0.55,0.6
7211,tsne,tfidf,0.94,0.58,0.6
7212,tsne,tfidf,0.94,0.56,0.6
7213,tsne,tfidf,0.94,0.58,0.59
7214,tsne,tfidf,0.94,0.58,0.6
7215,tsne,tfidf,0.94,0.57,0.6
7216,tsne,tfidf,0.94,0.54,0.52
7217,tsne,tfidf,0.94,0.57,0.6
7218,tsne,tfidf,0.95,0.55,0.6
7219,tsne,tfidf,0.95,0.56,0.59
7220,tsne,tfidf,0.95,0.55,0.6
7221,tsne,tfidf,0.95,0.55,0.6
7222,tsne,tfidf,0.95,0.57,0.6
7223,tsne,tfidf,0.94,0.58,0.59
7224,tsne,tfidf,0.94,0.57,0.59
7225,tsne,tfidf,0.94,0.58,0.58
7226,tsne,tfidf,0.94,0.49,0.57
7227,tsne,tfidf,0.94,0.57,0.59
7228,tsne,tfidf,0.94,0.58,0.6
7229,tsne,tfidf,0.94,0.49,0.57
7230,tsne,tfidf,0.94,0.58,0.58
7231,tsne,tfidf,0.95,0.56,0.6
