,DR,TM,accuracy_local,accuracy_global,perception
3503,umap,bow,0.58,0.54,0.15
3504,umap,bow,0.65,0.56,0.2
3505,umap,bow,0.71,0.56,0.26
3506,umap,bow,0.68,0.55,0.21
3507,umap,bow,0.61,0.5,0.18
3508,umap,bow,0.66,0.5,0.22
3509,umap,bow,0.66,0.56,0.21
3510,umap,bow,0.6,0.54,0.17
3511,umap,bow,0.62,0.56,0.18
3512,umap,bow,0.61,0.55,0.17
3513,umap,bow,0.7,0.56,0.24
3514,umap,bow,0.72,0.55,0.29
3515,umap,bow,0.73,0.55,0.27
3516,umap,bow,0.74,0.56,0.28
3517,umap,bow,0.73,0.55,0.24
3518,umap,bow,0.65,0.56,0.21
3519,umap,bow,0.72,0.56,0.26
3520,umap,bow,0.67,0.55,0.21
3521,umap,bow,0.69,0.57,0.22
3522,umap,bow,0.67,0.56,0.22
3523,umap,bow,0.65,0.56,0.2
3524,umap,bow,0.61,0.5,0.18
3525,umap,bow,0.63,0.5,0.2
3526,umap,bow,0.7,0.57,0.25
3527,umap,bow,0.71,0.55,0.26
3528,umap,bow,0.62,0.55,0.17
3529,umap,bow,0.63,0.55,0.19
3530,umap,bow,0.69,0.56,0.22
3531,umap,bow,0.59,0.54,0.16
3532,umap,bow,0.59,0.55,0.15
3533,umap,bow,0.65,0.5,0.21
3534,umap,bow,0.69,0.56,0.24
3535,umap,bow,0.59,0.54,0.17
3536,umap,bow,0.6,0.54,0.16
3537,umap,bow,0.72,0.54,0.27
3538,umap,bow,0.69,0.56,0.25
3539,umap,bow,0.66,0.56,0.21
3540,umap,bow,0.67,0.5,0.23
3541,umap,bow,0.71,0.56,0.28
3542,umap,bow,0.71,0.56,0.27
3543,umap,bow,0.62,0.55,0.18
3544,umap,bow,0.63,0.55,0.19
10954,umap,bow,0.68,0.49,0.47
10955,umap,bow,0.77,0.62,0.63
10956,umap,bow,0.66,0.49,0.45
10957,umap,bow,0.8,0.6,0.7
10958,umap,bow,0.83,0.56,0.67
10959,umap,bow,0.79,0.6,0.64
10960,umap,bow,0.78,0.57,0.65
10961,umap,bow,0.83,0.59,0.71
10962,umap,bow,0.8,0.57,0.69
10963,umap,bow,0.78,0.56,0.57
10964,umap,bow,0.69,0.49,0.47
10965,umap,bow,0.83,0.54,0.67
10966,umap,bow,0.78,0.6,0.64
10967,umap,bow,0.78,0.56,0.65
10968,umap,bow,0.77,0.6,0.63
10969,umap,bow,0.68,0.48,0.46
10970,umap,bow,0.67,0.5,0.42
10971,umap,bow,0.77,0.56,0.56
10972,umap,bow,0.82,0.55,0.65
10973,umap,bow,0.82,0.56,0.69
10974,umap,bow,0.82,0.6,0.7
10975,umap,bow,0.82,0.55,0.64
10976,umap,bow,0.81,0.6,0.69
10977,umap,bow,0.78,0.59,0.64
10978,umap,bow,0.82,0.59,0.7
10979,umap,bow,0.68,0.5,0.46
10980,umap,bow,0.81,0.58,0.64
10981,umap,bow,0.8,0.56,0.67
10982,umap,bow,0.84,0.58,0.7
10983,umap,bow,0.79,0.6,0.64
10984,umap,bow,0.79,0.57,0.68
10985,umap,bow,0.78,0.6,0.65
10986,umap,bow,0.83,0.57,0.67
10987,umap,bow,0.8,0.56,0.6
10988,umap,bow,0.8,0.59,0.65
10989,umap,bow,0.83,0.6,0.77
10990,umap,bow,0.79,0.6,0.65
10991,umap,bow,0.82,0.56,0.68
10992,umap,bow,0.83,0.58,0.7
10993,umap,bow,0.82,0.6,0.67
10994,umap,bow,0.8,0.6,0.66
10995,umap,bow,0.84,0.56,0.65
14803,umap,bow,0.7,0.57,0.51
14804,umap,bow,0.75,0.56,0.48
14805,umap,bow,0.68,0.59,0.48
14806,umap,bow,0.69,0.57,0.46
14807,umap,bow,0.74,0.56,0.49
14808,umap,bow,0.73,0.55,0.52
14809,umap,bow,0.62,0.54,0.4
14810,umap,bow,0.73,0.57,0.48
14811,umap,bow,0.7,0.57,0.51
14812,umap,bow,0.71,0.56,0.51
14813,umap,bow,0.7,0.56,0.5
14814,umap,bow,0.66,0.54,0.45
