,DR,TM,accuracy_local,accuracy_global,perception
401,umap,lda,0.97,0.72,0.31
402,umap,lda,0.93,0.74,0.28
403,umap,lda,0.94,0.74,0.29
404,umap,lda,0.84,0.64,0.25
405,umap,lda,0.98,0.72,0.32
406,umap,lda,0.74,0.61,0.2
407,umap,lda,0.96,0.74,0.31
408,umap,lda,0.97,0.74,0.32
409,umap,lda,0.97,0.73,0.31
410,umap,lda,0.93,0.74,0.3
411,umap,lda,0.97,0.73,0.31
412,umap,lda,0.98,0.74,0.32
413,umap,lda,0.93,0.74,0.29
414,umap,lda,0.85,0.65,0.25
415,umap,lda,0.96,0.73,0.31
416,umap,lda,0.83,0.63,0.25
417,umap,lda,0.93,0.73,0.3
418,umap,lda,0.76,0.61,0.21
419,umap,lda,0.93,0.74,0.3
420,umap,lda,0.95,0.72,0.31
421,umap,lda,0.97,0.74,0.31
422,umap,lda,0.92,0.72,0.28
423,umap,lda,0.96,0.74,0.29
424,umap,lda,0.96,0.74,0.3
425,umap,lda,0.95,0.74,0.3
426,umap,lda,0.93,0.74,0.29
427,umap,lda,0.93,0.74,0.29
428,umap,lda,0.97,0.73,0.31
429,umap,lda,0.9,0.73,0.28
430,umap,lda,0.94,0.75,0.31
431,umap,lda,0.93,0.71,0.29
432,umap,lda,0.96,0.74,0.31
433,umap,lda,0.95,0.74,0.3
434,umap,lda,0.98,0.74,0.31
435,umap,lda,0.91,0.72,0.27
436,umap,lda,0.98,0.72,0.31
437,umap,lda,0.95,0.67,0.28
438,umap,lda,0.95,0.74,0.31
439,umap,lda,0.96,0.72,0.28
440,umap,lda,0.93,0.74,0.3
441,umap,lda,0.95,0.75,0.3
442,umap,lda,0.8,0.61,0.23
4179,umap,lda,0.96,0.66,0.39
4180,umap,lda,0.99,0.8,0.46
4181,umap,lda,0.97,0.73,0.45
4182,umap,lda,0.97,0.77,0.45
4183,umap,lda,0.96,0.67,0.39
4184,umap,lda,0.82,0.67,0.41
4185,umap,lda,0.95,0.75,0.45
4186,umap,lda,0.97,0.75,0.45
4187,umap,lda,0.98,0.77,0.5
4188,umap,lda,0.81,0.66,0.42
4189,umap,lda,0.95,0.78,0.48
4190,umap,lda,0.98,0.78,0.49
4191,umap,lda,0.98,0.69,0.42
4192,umap,lda,0.97,0.79,0.47
4193,umap,lda,0.98,0.81,0.45
4194,umap,lda,0.8,0.65,0.41
4195,umap,lda,0.75,0.61,0.38
4196,umap,lda,0.97,0.73,0.43
4197,umap,lda,0.98,0.75,0.42
4198,umap,lda,0.93,0.71,0.41
4199,umap,lda,0.95,0.81,0.49
4200,umap,lda,0.99,0.81,0.46
4201,umap,lda,0.96,0.8,0.45
4202,umap,lda,0.93,0.66,0.43
4203,umap,lda,0.96,0.67,0.44
4204,umap,lda,0.97,0.69,0.42
4205,umap,lda,0.97,0.8,0.44
4206,umap,lda,0.78,0.62,0.41
4207,umap,lda,0.94,0.74,0.43
