,DR,TM,accuracy_local,accuracy_global,perception
1288,umap,lsi_tfidf,0.96,0.76,0.54
1289,umap,lsi_tfidf,0.78,0.61,0.33
1290,umap,lsi_tfidf,0.93,0.78,0.48
1291,umap,lsi_tfidf,0.73,0.59,0.28
1292,umap,lsi_tfidf,0.95,0.76,0.52
1293,umap,lsi_tfidf,0.93,0.78,0.47
1294,umap,lsi_tfidf,0.92,0.78,0.48
1295,umap,lsi_tfidf,0.94,0.78,0.52
1296,umap,lsi_tfidf,0.96,0.77,0.55
1297,umap,lsi_tfidf,0.96,0.76,0.54
1298,umap,lsi_tfidf,0.95,0.74,0.54
1299,umap,lsi_tfidf,0.93,0.75,0.48
1300,umap,lsi_tfidf,0.93,0.7,0.47
1301,umap,lsi_tfidf,0.81,0.62,0.36
1302,umap,lsi_tfidf,0.92,0.78,0.48
1303,umap,lsi_tfidf,0.95,0.76,0.53
1304,umap,lsi_tfidf,0.96,0.75,0.55
1305,umap,lsi_tfidf,0.93,0.78,0.47
1306,umap,lsi_tfidf,0.93,0.78,0.48
1307,umap,lsi_tfidf,0.95,0.77,0.54
1308,umap,lsi_tfidf,0.81,0.63,0.36
1309,umap,lsi_tfidf,0.94,0.75,0.49
1310,umap,lsi_tfidf,0.95,0.77,0.52
1311,umap,lsi_tfidf,0.96,0.75,0.55
1312,umap,lsi_tfidf,0.93,0.78,0.47
1313,umap,lsi_tfidf,0.95,0.78,0.53
1314,umap,lsi_tfidf,0.94,0.78,0.51
1315,umap,lsi_tfidf,0.93,0.78,0.48
1316,umap,lsi_tfidf,0.71,0.6,0.25
1317,umap,lsi_tfidf,0.95,0.77,0.53
1318,umap,lsi_tfidf,0.94,0.73,0.49
1319,umap,lsi_tfidf,0.96,0.77,0.54
1320,umap,lsi_tfidf,0.94,0.78,0.52
1321,umap,lsi_tfidf,0.94,0.78,0.5
1322,umap,lsi_tfidf,0.94,0.78,0.49
1323,umap,lsi_tfidf,0.81,0.62,0.35
1324,umap,lsi_tfidf,0.96,0.76,0.55
1325,umap,lsi_tfidf,0.93,0.78,0.46
1326,umap,lsi_tfidf,0.93,0.78,0.49
1327,umap,lsi_tfidf,0.93,0.78,0.47
1328,umap,lsi_tfidf,0.95,0.75,0.53
1329,umap,lsi_tfidf,0.96,0.76,0.54
5084,umap,lsi_tfidf,0.92,0.8,0.55
5085,umap,lsi_tfidf,0.94,0.84,0.58
5086,umap,lsi_tfidf,0.92,0.79,0.56
5087,umap,lsi_tfidf,0.91,0.84,0.57
5088,umap,lsi_tfidf,0.89,0.78,0.56
5089,umap,lsi_tfidf,0.89,0.8,0.53
5090,umap,lsi_tfidf,0.91,0.79,0.55
5091,umap,lsi_tfidf,0.93,0.84,0.58
5092,umap,lsi_tfidf,0.93,0.86,0.58
5093,umap,lsi_tfidf,0.92,0.8,0.56
5094,umap,lsi_tfidf,0.91,0.85,0.57
5095,umap,lsi_tfidf,0.76,0.62,0.48
5096,umap,lsi_tfidf,0.9,0.85,0.57
5097,umap,lsi_tfidf,0.9,0.84,0.57
5098,umap,lsi_tfidf,0.92,0.85,0.58
5099,umap,lsi_tfidf,0.92,0.81,0.53
5100,umap,lsi_tfidf,0.92,0.8,0.54
5101,umap,lsi_tfidf,0.71,0.58,0.44
5102,umap,lsi_tfidf,0.72,0.58,0.44
5103,umap,lsi_tfidf,0.93,0.86,0.58
5104,umap,lsi_tfidf,0.94,0.84,0.58
5105,umap,lsi_tfidf,0.74,0.6,0.45
5106,umap,lsi_tfidf,0.89,0.8,0.55
5107,umap,lsi_tfidf,0.91,0.81,0.51
5108,umap,lsi_tfidf,0.93,0.85,0.58
5109,umap,lsi_tfidf,0.93,0.85,0.58
5110,umap,lsi_tfidf,0.92,0.85,0.57
5111,umap,lsi_tfidf,0.93,0.86,0.58
5112,umap,lsi_tfidf,0.93,0.85,0.58
5113,umap,lsi_tfidf,0.92,0.78,0.52
5114,umap,lsi_tfidf,0.93,0.79,0.54
5115,umap,lsi_tfidf,0.9,0.8,0.55
5116,umap,lsi_tfidf,0.91,0.85,0.57
5117,umap,lsi_tfidf,0.9,0.85,0.57
5118,umap,lsi_tfidf,0.9,0.81,0.52
5119,umap,lsi_tfidf,0.92,0.81,0.56
5120,umap,lsi_tfidf,0.76,0.62,0.45
5121,umap,lsi_tfidf,0.9,0.8,0.53
5122,umap,lsi_tfidf,0.75,0.6,0.45
5123,umap,lsi_tfidf,0.9,0.85,0.57
5124,umap,lsi_tfidf,0.9,0.79,0.54
5125,umap,lsi_tfidf,0.91,0.8,0.55
8701,umap,lsi_tfidf,0.97,0.85,0.93
8702,umap,lsi_tfidf,0.98,0.82,0.94
8703,umap,lsi_tfidf,0.97,0.83,0.93
8704,umap,lsi_tfidf,0.74,0.58,0.58
8705,umap,lsi_tfidf,0.97,0.8,0.93
8706,umap,lsi_tfidf,0.97,0.85,0.92
8707,umap,lsi_tfidf,0.98,0.79,0.93
8708,umap,lsi_tfidf,0.97,0.85,0.91
8709,umap,lsi_tfidf,0.97,0.85,0.91
8710,umap,lsi_tfidf,0.97,0.84,0.91
8711,umap,lsi_tfidf,0.97,0.83,0.93
8712,umap,lsi_tfidf,0.97,0.83,0.89
8713,umap,lsi_tfidf,0.98,0.79,0.93
8714,umap,lsi_tfidf,0.97,0.83,0.93
8715,umap,lsi_tfidf,0.98,0.79,0.93
8716,umap,lsi_tfidf,0.98,0.82,0.93
8717,umap,lsi_tfidf,0.97,0.85,0.92
8718,umap,lsi_tfidf,0.96,0.82,0.86
8719,umap,lsi_tfidf,0.98,0.84,0.93
8720,umap,lsi_tfidf,0.78,0.64,0.62
8721,umap,lsi_tfidf,0.96,0.84,0.91
8722,umap,lsi_tfidf,0.98,0.79,0.94
8723,umap,lsi_tfidf,0.97,0.84,0.93
8724,umap,lsi_tfidf,0.97,0.84,0.93
8725,umap,lsi_tfidf,0.97,0.82,0.9
8726,umap,lsi_tfidf,0.98,0.79,0.93
8727,umap,lsi_tfidf,0.97,0.81,0.93
8728,umap,lsi_tfidf,0.79,0.64,0.64
8729,umap,lsi_tfidf,0.97,0.85,0.92
8730,umap,lsi_tfidf,0.98,0.82,0.92
8731,umap,lsi_tfidf,0.73,0.58,0.56
8732,umap,lsi_tfidf,0.75,0.59,0.55
8733,umap,lsi_tfidf,0.98,0.81,0.93
8734,umap,lsi_tfidf,0.98,0.81,0.92
8735,umap,lsi_tfidf,0.97,0.85,0.91
8736,umap,lsi_tfidf,0.97,0.85,0.93
8737,umap,lsi_tfidf,0.98,0.79,0.94
8738,umap,lsi_tfidf,0.97,0.79,0.93
8739,umap,lsi_tfidf,0.76,0.6,0.59
8740,umap,lsi_tfidf,0.98,0.84,0.93
8741,umap,lsi_tfidf,0.97,0.85,0.92
8742,umap,lsi_tfidf,0.97,0.83,0.91
12535,umap,lsi_tfidf,0.89,0.79,0.58
12536,umap,lsi_tfidf,0.71,0.6,0.47
12537,umap,lsi_tfidf,0.88,0.8,0.58
12538,umap,lsi_tfidf,0.83,0.8,0.58
12539,umap,lsi_tfidf,0.85,0.81,0.58
12540,umap,lsi_tfidf,0.86,0.81,0.57
12541,umap,lsi_tfidf,0.88,0.8,0.58
12542,umap,lsi_tfidf,0.88,0.79,0.58
12543,umap,lsi_tfidf,0.87,0.79,0.58
12544,umap,lsi_tfidf,0.87,0.81,0.58
12545,umap,lsi_tfidf,0.77,0.63,0.5
12546,umap,lsi_tfidf,0.86,0.81,0.58
12547,umap,lsi_tfidf,0.83,0.8,0.57
12548,umap,lsi_tfidf,0.87,0.81,0.58
12549,umap,lsi_tfidf,0.88,0.8,0.58
12550,umap,lsi_tfidf,0.85,0.8,0.57
12551,umap,lsi_tfidf,0.88,0.8,0.58
12552,umap,lsi_tfidf,0.85,0.81,0.58
12553,umap,lsi_tfidf,0.87,0.81,0.58
12554,umap,lsi_tfidf,0.85,0.81,0.57
12555,umap,lsi_tfidf,0.75,0.62,0.49
12556,umap,lsi_tfidf,0.83,0.8,0.57
12557,umap,lsi_tfidf,0.86,0.8,0.57
12558,umap,lsi_tfidf,0.88,0.81,0.58
12559,umap,lsi_tfidf,0.86,0.8,0.58
12560,umap,lsi_tfidf,0.83,0.8,0.58
12561,umap,lsi_tfidf,0.84,0.8,0.57
12562,umap,lsi_tfidf,0.84,0.8,0.58
12563,umap,lsi_tfidf,0.83,0.8,0.58
12564,umap,lsi_tfidf,0.83,0.8,0.58
12565,umap,lsi_tfidf,0.87,0.81,0.58
12566,umap,lsi_tfidf,0.79,0.65,0.51
12567,umap,lsi_tfidf,0.83,0.8,0.58
12568,umap,lsi_tfidf,0.84,0.8,0.57
12569,umap,lsi_tfidf,0.89,0.8,0.58
12570,umap,lsi_tfidf,0.87,0.8,0.58
12571,umap,lsi_tfidf,0.79,0.64,0.5
12572,umap,lsi_tfidf,0.86,0.81,0.58
12573,umap,lsi_tfidf,0.83,0.8,0.57
12574,umap,lsi_tfidf,0.84,0.8,0.58
12575,umap,lsi_tfidf,0.69,0.6,0.46
12576,umap,lsi_tfidf,0.84,0.81,0.58
16388,umap,lsi_tfidf,0.95,0.84,0.22
16389,umap,lsi_tfidf,0.96,0.86,0.26
16390,umap,lsi_tfidf,0.96,0.86,0.22
16391,umap,lsi_tfidf,0.95,0.85,0.23
16392,umap,lsi_tfidf,0.95,0.84,0.22
16393,umap,lsi_tfidf,0.95,0.85,0.24
16394,umap,lsi_tfidf,0.95,0.84,0.22
16395,umap,lsi_tfidf,0.96,0.85,0.23
16396,umap,lsi_tfidf,0.78,0.61,0.23
16397,umap,lsi_tfidf,0.96,0.86,0.23
16398,umap,lsi_tfidf,0.78,0.63,0.29
16399,umap,lsi_tfidf,0.95,0.84,0.23
16400,umap,lsi_tfidf,0.95,0.85,0.23
16401,umap,lsi_tfidf,0.76,0.59,0.22
16402,umap,lsi_tfidf,0.95,0.84,0.24
16403,umap,lsi_tfidf,0.77,0.6,0.23
16404,umap,lsi_tfidf,0.95,0.84,0.22
16405,umap,lsi_tfidf,0.96,0.85,0.25
16406,umap,lsi_tfidf,0.96,0.85,0.23
16407,umap,lsi_tfidf,0.96,0.85,0.23
16408,umap,lsi_tfidf,0.96,0.85,0.23
16409,umap,lsi_tfidf,0.96,0.85,0.23
16410,umap,lsi_tfidf,0.95,0.84,0.22
16411,umap,lsi_tfidf,0.96,0.85,0.29
16412,umap,lsi_tfidf,0.95,0.84,0.23
16413,umap,lsi_tfidf,0.93,0.75,0.22
16414,umap,lsi_tfidf,0.94,0.82,0.22
16415,umap,lsi_tfidf,0.96,0.86,0.22
16416,umap,lsi_tfidf,0.95,0.85,0.23
16417,umap,lsi_tfidf,0.95,0.84,0.22
16418,umap,lsi_tfidf,0.96,0.86,0.23
16419,umap,lsi_tfidf,0.96,0.85,0.23
16420,umap,lsi_tfidf,0.96,0.84,0.23
16421,umap,lsi_tfidf,0.74,0.6,0.24
16422,umap,lsi_tfidf,0.96,0.86,0.23
16423,umap,lsi_tfidf,0.96,0.85,0.23
16424,umap,lsi_tfidf,0.96,0.86,0.22
16425,umap,lsi_tfidf,0.73,0.59,0.22
16426,umap,lsi_tfidf,0.96,0.86,0.22
16427,umap,lsi_tfidf,0.94,0.83,0.23
20200,umap,lsi_tfidf,0.97,0.81,0.66
20201,umap,lsi_tfidf,0.76,0.58,0.43
20202,umap,lsi_tfidf,0.96,0.79,0.65
20203,umap,lsi_tfidf,0.96,0.81,0.64
20204,umap,lsi_tfidf,0.97,0.82,0.66
20205,umap,lsi_tfidf,0.97,0.79,0.68
20206,umap,lsi_tfidf,0.74,0.55,0.41
20207,umap,lsi_tfidf,0.97,0.81,0.69
20208,umap,lsi_tfidf,0.97,0.77,0.65
20209,umap,lsi_tfidf,0.97,0.82,0.64
20210,umap,lsi_tfidf,0.97,0.81,0.65
20211,umap,lsi_tfidf,0.97,0.81,0.64
20212,umap,lsi_tfidf,0.97,0.79,0.61
20213,umap,lsi_tfidf,0.77,0.6,0.44
20214,umap,lsi_tfidf,0.97,0.82,0.65
20215,umap,lsi_tfidf,0.96,0.8,0.63
20216,umap,lsi_tfidf,0.97,0.82,0.64
20217,umap,lsi_tfidf,0.97,0.81,0.66
20218,umap,lsi_tfidf,0.97,0.81,0.64
20219,umap,lsi_tfidf,0.97,0.81,0.67
20220,umap,lsi_tfidf,0.97,0.83,0.64
20221,umap,lsi_tfidf,0.97,0.82,0.62
20222,umap,lsi_tfidf,0.75,0.58,0.43
20223,umap,lsi_tfidf,0.96,0.77,0.63
20224,umap,lsi_tfidf,0.96,0.8,0.65
20225,umap,lsi_tfidf,0.96,0.81,0.63
20226,umap,lsi_tfidf,0.96,0.82,0.63
20227,umap,lsi_tfidf,0.97,0.83,0.64
20228,umap,lsi_tfidf,0.97,0.83,0.63
20229,umap,lsi_tfidf,0.97,0.81,0.64
20230,umap,lsi_tfidf,0.97,0.8,0.63
20231,umap,lsi_tfidf,0.96,0.78,0.63
20232,umap,lsi_tfidf,0.96,0.8,0.63
20233,umap,lsi_tfidf,0.96,0.77,0.63
20234,umap,lsi_tfidf,0.97,0.8,0.64
20235,umap,lsi_tfidf,0.73,0.57,0.4
20236,umap,lsi_tfidf,0.97,0.83,0.64
20237,umap,lsi_tfidf,0.97,0.78,0.68
20238,umap,lsi_tfidf,0.97,0.8,0.68
20239,umap,lsi_tfidf,0.74,0.57,0.42
