,DR,TM,accuracy_local,accuracy_global,perception
1952,umap,nmf,0.93,0.8,0.24
1953,umap,nmf,0.96,0.73,0.24
1954,umap,nmf,0.91,0.81,0.23
1955,umap,nmf,0.91,0.81,0.23
1956,umap,nmf,0.92,0.81,0.23
1957,umap,nmf,0.91,0.81,0.23
1958,umap,nmf,0.91,0.79,0.24
1959,umap,nmf,0.83,0.64,0.2
1960,umap,nmf,0.91,0.81,0.23
1961,umap,nmf,0.92,0.81,0.24
1962,umap,nmf,0.94,0.79,0.25
1963,umap,nmf,0.95,0.78,0.25
1964,umap,nmf,0.74,0.61,0.17
1965,umap,nmf,0.93,0.8,0.24
1966,umap,nmf,0.95,0.78,0.25
1967,umap,nmf,0.79,0.62,0.19
1968,umap,nmf,0.93,0.81,0.25
1969,umap,nmf,0.92,0.81,0.24
1970,umap,nmf,0.94,0.79,0.24
1971,umap,nmf,0.93,0.79,0.24
1972,umap,nmf,0.91,0.81,0.23
1973,umap,nmf,0.91,0.81,0.23
1974,umap,nmf,0.94,0.79,0.25
1975,umap,nmf,0.9,0.81,0.23
1976,umap,nmf,0.95,0.78,0.25
1977,umap,nmf,0.75,0.61,0.17
1978,umap,nmf,0.93,0.8,0.24
1979,umap,nmf,0.96,0.78,0.26
1980,umap,nmf,0.92,0.81,0.24
1981,umap,nmf,0.84,0.66,0.2
1982,umap,nmf,0.91,0.81,0.23
1983,umap,nmf,0.84,0.65,0.2
1984,umap,nmf,0.91,0.81,0.23
1985,umap,nmf,0.94,0.78,0.25
1986,umap,nmf,0.95,0.76,0.25
1987,umap,nmf,0.93,0.75,0.23
1988,umap,nmf,0.9,0.8,0.23
1989,umap,nmf,0.95,0.78,0.25
1990,umap,nmf,0.92,0.8,0.23
1991,umap,nmf,0.95,0.78,0.25
1992,umap,nmf,0.91,0.81,0.23
5762,umap,nmf,0.98,0.82,0.48
5763,umap,nmf,0.97,0.83,0.51
5764,umap,nmf,0.97,0.83,0.51
5765,umap,nmf,0.82,0.65,0.41
5766,umap,nmf,0.96,0.84,0.51
5767,umap,nmf,0.98,0.82,0.51
5768,umap,nmf,0.94,0.81,0.49
5769,umap,nmf,0.97,0.74,0.48
5770,umap,nmf,0.98,0.83,0.53
5771,umap,nmf,0.95,0.79,0.45
5772,umap,nmf,0.94,0.82,0.49
5773,umap,nmf,0.96,0.83,0.51
5774,umap,nmf,0.93,0.8,0.43
5775,umap,nmf,0.75,0.61,0.4
5776,umap,nmf,0.97,0.76,0.5
5777,umap,nmf,0.92,0.8,0.44
5778,umap,nmf,0.97,0.8,0.49
5779,umap,nmf,0.98,0.81,0.5
5780,umap,nmf,0.93,0.82,0.49
5781,umap,nmf,0.95,0.77,0.47
5782,umap,nmf,0.95,0.84,0.47
5783,umap,nmf,0.82,0.66,0.41
5784,umap,nmf,0.93,0.78,0.46
5785,umap,nmf,0.97,0.84,0.48
5786,umap,nmf,0.98,0.82,0.5
5787,umap,nmf,0.96,0.83,0.51
5788,umap,nmf,0.93,0.8,0.42
5789,umap,nmf,0.93,0.81,0.43
5790,umap,nmf,0.95,0.83,0.45
5791,umap,nmf,0.94,0.83,0.5
5792,umap,nmf,0.76,0.6,0.42
5793,umap,nmf,0.79,0.62,0.4
5794,umap,nmf,0.8,0.64,0.41
5795,umap,nmf,0.97,0.83,0.51
5796,umap,nmf,0.94,0.82,0.44
5797,umap,nmf,0.93,0.81,0.43
5798,umap,nmf,0.97,0.83,0.52
5799,umap,nmf,0.93,0.81,0.44
5800,umap,nmf,0.94,0.82,0.49
5801,umap,nmf,0.98,0.83,0.52
5802,umap,nmf,0.92,0.79,0.43
9379,umap,nmf,0.97,0.8,0.66
9380,umap,nmf,0.96,0.84,0.67
9381,umap,nmf,0.96,0.83,0.68
9382,umap,nmf,0.95,0.84,0.67
9383,umap,nmf,0.94,0.83,0.66
9384,umap,nmf,0.95,0.84,0.67
9385,umap,nmf,0.94,0.83,0.66
9386,umap,nmf,0.97,0.81,0.68
9387,umap,nmf,0.97,0.82,0.68
9388,umap,nmf,0.8,0.65,0.51
9389,umap,nmf,0.77,0.61,0.48
9390,umap,nmf,0.96,0.84,0.67
9391,umap,nmf,0.95,0.81,0.68
9392,umap,nmf,0.76,0.6,0.46
