,DR,TM,accuracy_local,accuracy_global,perception
2172,umap,nmf_tfidf,0.97,0.74,0.49
2173,umap,nmf_tfidf,0.94,0.74,0.42
2174,umap,nmf_tfidf,0.95,0.77,0.46
2175,umap,nmf_tfidf,0.8,0.6,0.31
2176,umap,nmf_tfidf,0.93,0.77,0.42
2177,umap,nmf_tfidf,0.96,0.75,0.46
2178,umap,nmf_tfidf,0.95,0.73,0.43
2179,umap,nmf_tfidf,0.96,0.72,0.44
2180,umap,nmf_tfidf,0.93,0.77,0.42
2181,umap,nmf_tfidf,0.96,0.75,0.47
2182,umap,nmf_tfidf,0.96,0.72,0.43
2183,umap,nmf_tfidf,0.93,0.77,0.42
2184,umap,nmf_tfidf,0.94,0.76,0.44
2185,umap,nmf_tfidf,0.77,0.59,0.29
2186,umap,nmf_tfidf,0.97,0.74,0.48
2187,umap,nmf_tfidf,0.93,0.78,0.44
2188,umap,nmf_tfidf,0.73,0.57,0.25
2189,umap,nmf_tfidf,0.97,0.74,0.47
2190,umap,nmf_tfidf,0.96,0.76,0.47
2191,umap,nmf_tfidf,0.95,0.77,0.46
2192,umap,nmf_tfidf,0.97,0.73,0.48
2193,umap,nmf_tfidf,0.96,0.76,0.46
2194,umap,nmf_tfidf,0.93,0.77,0.43
2195,umap,nmf_tfidf,0.81,0.59,0.31
2196,umap,nmf_tfidf,0.96,0.76,0.47
2197,umap,nmf_tfidf,0.97,0.74,0.47
2198,umap,nmf_tfidf,0.95,0.76,0.44
2199,umap,nmf_tfidf,0.96,0.76,0.47
2200,umap,nmf_tfidf,0.93,0.78,0.43
2201,umap,nmf_tfidf,0.96,0.75,0.44
2202,umap,nmf_tfidf,0.95,0.76,0.44
2203,umap,nmf_tfidf,0.97,0.74,0.48
2204,umap,nmf_tfidf,0.91,0.74,0.39
2205,umap,nmf_tfidf,0.97,0.75,0.47
2206,umap,nmf_tfidf,0.93,0.78,0.43
2207,umap,nmf_tfidf,0.92,0.75,0.41
2208,umap,nmf_tfidf,0.96,0.74,0.47
2209,umap,nmf_tfidf,0.94,0.77,0.42
2210,umap,nmf_tfidf,0.93,0.77,0.41
2211,umap,nmf_tfidf,0.81,0.6,0.31
2212,umap,nmf_tfidf,0.71,0.58,0.23
5986,umap,nmf_tfidf,0.97,0.85,0.48
5987,umap,nmf_tfidf,0.98,0.83,0.47
5988,umap,nmf_tfidf,0.94,0.85,0.47
5989,umap,nmf_tfidf,0.95,0.86,0.47
5990,umap,nmf_tfidf,0.93,0.85,0.46
5991,umap,nmf_tfidf,0.98,0.85,0.48
5992,umap,nmf_tfidf,0.96,0.84,0.46
5993,umap,nmf_tfidf,0.96,0.85,0.47
5994,umap,nmf_tfidf,0.93,0.85,0.47
5995,umap,nmf_tfidf,0.94,0.85,0.47
5996,umap,nmf_tfidf,0.94,0.85,0.47
5997,umap,nmf_tfidf,0.98,0.85,0.47
5998,umap,nmf_tfidf,0.81,0.66,0.42
5999,umap,nmf_tfidf,0.77,0.62,0.42
6000,umap,nmf_tfidf,0.98,0.84,0.48
6001,umap,nmf_tfidf,0.93,0.85,0.46
6002,umap,nmf_tfidf,0.97,0.85,0.47
6003,umap,nmf_tfidf,0.98,0.85,0.48
6004,umap,nmf_tfidf,0.79,0.63,0.41
6005,umap,nmf_tfidf,0.97,0.85,0.47
6006,umap,nmf_tfidf,0.93,0.84,0.48
6007,umap,nmf_tfidf,0.94,0.85,0.47
6008,umap,nmf_tfidf,0.95,0.86,0.47
6009,umap,nmf_tfidf,0.96,0.86,0.47
6010,umap,nmf_tfidf,0.97,0.85,0.47
6011,umap,nmf_tfidf,0.75,0.6,0.4
6012,umap,nmf_tfidf,0.98,0.84,0.48
6013,umap,nmf_tfidf,0.98,0.85,0.48
6014,umap,nmf_tfidf,0.97,0.83,0.48
6015,umap,nmf_tfidf,0.95,0.86,0.47
6016,umap,nmf_tfidf,0.97,0.81,0.48
6017,umap,nmf_tfidf,0.98,0.81,0.47
6018,umap,nmf_tfidf,0.8,0.64,0.42
6019,umap,nmf_tfidf,0.95,0.85,0.46
6020,umap,nmf_tfidf,0.95,0.85,0.45
6021,umap,nmf_tfidf,0.97,0.85,0.47
6022,umap,nmf_tfidf,0.95,0.86,0.47
6023,umap,nmf_tfidf,0.95,0.86,0.47
6024,umap,nmf_tfidf,0.97,0.85,0.47
6025,umap,nmf_tfidf,0.82,0.67,0.41
6026,umap,nmf_tfidf,0.94,0.85,0.46
9604,umap,nmf_tfidf,0.97,0.8,0.74
9605,umap,nmf_tfidf,0.79,0.61,0.53
9606,umap,nmf_tfidf,0.95,0.79,0.71
9607,umap,nmf_tfidf,0.95,0.82,0.7
9608,umap,nmf_tfidf,0.97,0.8,0.73
9609,umap,nmf_tfidf,0.95,0.82,0.7
9610,umap,nmf_tfidf,0.78,0.61,0.52
9611,umap,nmf_tfidf,0.96,0.82,0.71
9612,umap,nmf_tfidf,0.95,0.81,0.71
9613,umap,nmf_tfidf,0.95,0.82,0.7
9614,umap,nmf_tfidf,0.94,0.81,0.69
9615,umap,nmf_tfidf,0.97,0.81,0.73
9616,umap,nmf_tfidf,0.97,0.78,0.71
9617,umap,nmf_tfidf,0.97,0.79,0.72
9618,umap,nmf_tfidf,0.96,0.81,0.72
9619,umap,nmf_tfidf,0.97,0.81,0.73
9620,umap,nmf_tfidf,0.95,0.81,0.71
9621,umap,nmf_tfidf,0.96,0.81,0.72
9622,umap,nmf_tfidf,0.98,0.8,0.73
9623,umap,nmf_tfidf,0.95,0.82,0.7
9624,umap,nmf_tfidf,0.96,0.82,0.71
9625,umap,nmf_tfidf,0.97,0.81,0.72
9626,umap,nmf_tfidf,0.97,0.8,0.71
9627,umap,nmf_tfidf,0.98,0.8,0.74
9628,umap,nmf_tfidf,0.97,0.81,0.72
9629,umap,nmf_tfidf,0.79,0.62,0.53
9630,umap,nmf_tfidf,0.97,0.79,0.73
9631,umap,nmf_tfidf,0.95,0.82,0.7
9632,umap,nmf_tfidf,0.76,0.57,0.5
9633,umap,nmf_tfidf,0.93,0.78,0.69
9634,umap,nmf_tfidf,0.76,0.59,0.51
9635,umap,nmf_tfidf,0.97,0.81,0.72
9636,umap,nmf_tfidf,0.96,0.81,0.72
9637,umap,nmf_tfidf,0.96,0.82,0.71
9638,umap,nmf_tfidf,0.95,0.78,0.67
9639,umap,nmf_tfidf,0.97,0.8,0.74
9640,umap,nmf_tfidf,0.94,0.82,0.69
9641,umap,nmf_tfidf,0.75,0.57,0.49
9642,umap,nmf_tfidf,0.95,0.81,0.7
9643,umap,nmf_tfidf,0.94,0.82,0.7
9644,umap,nmf_tfidf,0.97,0.81,0.72
13441,umap,nmf_tfidf,0.94,0.82,0.52
13442,umap,nmf_tfidf,0.97,0.82,0.52
13443,umap,nmf_tfidf,0.96,0.81,0.51
13444,umap,nmf_tfidf,0.98,0.77,0.51
13445,umap,nmf_tfidf,0.94,0.81,0.5
13446,umap,nmf_tfidf,0.94,0.82,0.52
13447,umap,nmf_tfidf,0.94,0.82,0.52
13448,umap,nmf_tfidf,0.94,0.82,0.51
13449,umap,nmf_tfidf,0.95,0.83,0.52
13450,umap,nmf_tfidf,0.97,0.8,0.51
13451,umap,nmf_tfidf,0.97,0.83,0.52
13452,umap,nmf_tfidf,0.94,0.82,0.52
13453,umap,nmf_tfidf,0.95,0.83,0.52
13454,umap,nmf_tfidf,0.97,0.83,0.52
13455,umap,nmf_tfidf,0.98,0.81,0.52
13456,umap,nmf_tfidf,0.98,0.82,0.52
13457,umap,nmf_tfidf,0.96,0.82,0.51
13458,umap,nmf_tfidf,0.94,0.82,0.51
13459,umap,nmf_tfidf,0.96,0.83,0.52
13460,umap,nmf_tfidf,0.93,0.81,0.5
