,DR,TM,accuracy_local,accuracy_global,perception
3725,umap,tfidf,0.83,0.56,0.56
3726,umap,tfidf,0.85,0.55,0.59
3727,umap,tfidf,0.84,0.56,0.54
3728,umap,tfidf,0.9,0.56,0.58
3729,umap,tfidf,0.86,0.55,0.6
3730,umap,tfidf,0.63,0.52,0.21
3731,umap,tfidf,0.77,0.55,0.41
3732,umap,tfidf,0.78,0.54,0.4
3733,umap,tfidf,0.8,0.55,0.5
3734,umap,tfidf,0.82,0.55,0.55
3735,umap,tfidf,0.82,0.55,0.52
3736,umap,tfidf,0.83,0.53,0.42
3737,umap,tfidf,0.85,0.56,0.6
3738,umap,tfidf,0.88,0.55,0.59
3739,umap,tfidf,0.82,0.55,0.53
3740,umap,tfidf,0.84,0.54,0.44
3741,umap,tfidf,0.69,0.52,0.27
3742,umap,tfidf,0.8,0.55,0.51
3743,umap,tfidf,0.87,0.55,0.55
3744,umap,tfidf,0.85,0.55,0.57
3745,umap,tfidf,0.7,0.52,0.3
3746,umap,tfidf,0.84,0.55,0.57
3747,umap,tfidf,0.83,0.55,0.56
3748,umap,tfidf,0.72,0.52,0.31
3749,umap,tfidf,0.86,0.55,0.58
3750,umap,tfidf,0.82,0.55,0.49
3751,umap,tfidf,0.81,0.55,0.51
3752,umap,tfidf,0.84,0.56,0.59
3753,umap,tfidf,0.9,0.55,0.61
3754,umap,tfidf,0.82,0.56,0.51
3755,umap,tfidf,0.81,0.56,0.54
3756,umap,tfidf,0.82,0.55,0.51
3757,umap,tfidf,0.84,0.55,0.55
3758,umap,tfidf,0.88,0.55,0.61
3759,umap,tfidf,0.86,0.55,0.6
3760,umap,tfidf,0.72,0.52,0.3
3761,umap,tfidf,0.8,0.55,0.5
3762,umap,tfidf,0.89,0.55,0.56
3763,umap,tfidf,0.81,0.55,0.5
3764,umap,tfidf,0.65,0.52,0.23
3765,umap,tfidf,0.76,0.56,0.4
3766,umap,tfidf,0.8,0.55,0.49
7347,umap,tfidf,0.89,0.5,0.55
7348,umap,tfidf,0.86,0.56,0.59
7349,umap,tfidf,0.88,0.56,0.6
7350,umap,tfidf,0.91,0.55,0.6
7351,umap,tfidf,0.92,0.47,0.57
7352,umap,tfidf,0.9,0.48,0.49
7353,umap,tfidf,0.72,0.51,0.44
7354,umap,tfidf,0.79,0.48,0.47
7355,umap,tfidf,0.88,0.47,0.56
7356,umap,tfidf,0.83,0.49,0.56
7357,umap,tfidf,0.87,0.5,0.54
7358,umap,tfidf,0.72,0.51,0.45
7359,umap,tfidf,0.85,0.48,0.55
7360,umap,tfidf,0.86,0.47,0.52
7361,umap,tfidf,0.9,0.48,0.57
7362,umap,tfidf,0.84,0.48,0.55
7363,umap,tfidf,0.91,0.47,0.53
7364,umap,tfidf,0.85,0.47,0.47
7365,umap,tfidf,0.87,0.48,0.55
7366,umap,tfidf,0.7,0.51,0.38
7367,umap,tfidf,0.84,0.55,0.6
7368,umap,tfidf,0.91,0.51,0.59
7369,umap,tfidf,0.9,0.55,0.6
7370,umap,tfidf,0.83,0.56,0.6
7371,umap,tfidf,0.82,0.48,0.45
7372,umap,tfidf,0.7,0.51,0.44
7373,umap,tfidf,0.86,0.47,0.52
7374,umap,tfidf,0.85,0.49,0.56
7375,umap,tfidf,0.86,0.55,0.6
7376,umap,tfidf,0.92,0.5,0.58
7377,umap,tfidf,0.83,0.55,0.6
7378,umap,tfidf,0.9,0.48,0.55
