,DR,TM,accuracy_local,accuracy_global,perception
3994,mds,lda,0.55,0.37,0.36
3995,mds,lda,0.55,0.37,0.36
3996,mds,lda,0.55,0.37,0.36
3997,mds,lda,0.55,0.37,0.36
3998,mds,lda,0.55,0.37,0.36
7613,mds,lda,0.58,0.38,0.27
7614,mds,lda,0.58,0.38,0.27
7615,mds,lda,0.58,0.38,0.27
7616,mds,lda,0.58,0.38,0.27
11450,mds,lda,0.57,0.39,0.32
11451,mds,lda,0.57,0.39,0.32
11452,mds,lda,0.57,0.39,0.32
11453,mds,lda,0.57,0.39,0.32
11454,mds,lda,0.57,0.39,0.32
15299,mds,lda,0.54,0.42,0.23
15300,mds,lda,0.54,0.42,0.23
15301,mds,lda,0.54,0.42,0.23
15302,mds,lda,0.54,0.42,0.22
15303,mds,lda,0.54,0.42,0.23
