,DR,TM,accuracy_local,accuracy_global,perception
4221,mds,lsi_linear_combined,0.55,0.36,0.32
4222,mds,lsi_linear_combined,0.55,0.36,0.32
4223,mds,lsi_linear_combined,0.55,0.36,0.32
4224,mds,lsi_linear_combined,0.55,0.36,0.32
4225,mds,lsi_linear_combined,0.55,0.36,0.32
7839,mds,lsi_linear_combined,0.54,0.36,0.25
7840,mds,lsi_linear_combined,0.54,0.36,0.25
7841,mds,lsi_linear_combined,0.54,0.36,0.25
7842,mds,lsi_linear_combined,0.54,0.36,0.25
11677,mds,lsi_linear_combined,0.55,0.37,0.31
11678,mds,lsi_linear_combined,0.55,0.37,0.31
11679,mds,lsi_linear_combined,0.55,0.37,0.31
11680,mds,lsi_linear_combined,0.55,0.37,0.31
11681,mds,lsi_linear_combined,0.55,0.37,0.31
15526,mds,lsi_linear_combined,0.56,0.41,0.23
15527,mds,lsi_linear_combined,0.56,0.41,0.23
15528,mds,lsi_linear_combined,0.56,0.41,0.22
15529,mds,lsi_linear_combined,0.56,0.41,0.25
15530,mds,lsi_linear_combined,0.56,0.41,0.23
