,DR,TM,accuracy_local,accuracy_global,perception
4901,mds,lsi_tfidf,0.56,0.36,0.32
4902,mds,lsi_tfidf,0.56,0.36,0.32
4903,mds,lsi_tfidf,0.56,0.36,0.32
4904,mds,lsi_tfidf,0.56,0.36,0.32
4905,mds,lsi_tfidf,0.56,0.36,0.32
8517,mds,lsi_tfidf,0.53,0.35,0.24
8518,mds,lsi_tfidf,0.53,0.35,0.24
8519,mds,lsi_tfidf,0.53,0.35,0.24
8520,mds,lsi_tfidf,0.53,0.35,0.24
12351,mds,lsi_tfidf,0.55,0.37,0.3
12352,mds,lsi_tfidf,0.55,0.37,0.3
12353,mds,lsi_tfidf,0.55,0.37,0.3
12354,mds,lsi_tfidf,0.55,0.37,0.3
12355,mds,lsi_tfidf,0.55,0.37,0.3
16205,mds,lsi_tfidf,0.56,0.39,0.22
16206,mds,lsi_tfidf,0.56,0.39,0.23
16207,mds,lsi_tfidf,0.56,0.39,0.23
16208,mds,lsi_tfidf,0.56,0.39,0.24
16209,mds,lsi_tfidf,0.56,0.39,0.26
