,DR,TM,accuracy_local,accuracy_global,perception
4448,mds,lsi_tfidf_linear_combined,0.56,0.36,0.32
4449,mds,lsi_tfidf_linear_combined,0.56,0.36,0.32
4450,mds,lsi_tfidf_linear_combined,0.56,0.36,0.32
4451,mds,lsi_tfidf_linear_combined,0.56,0.36,0.32
4452,mds,lsi_tfidf_linear_combined,0.56,0.36,0.32
8065,mds,lsi_tfidf_linear_combined,0.53,0.35,0.24
8066,mds,lsi_tfidf_linear_combined,0.53,0.35,0.24
8067,mds,lsi_tfidf_linear_combined,0.53,0.35,0.24
8068,mds,lsi_tfidf_linear_combined,0.53,0.35,0.24
11903,mds,lsi_tfidf_linear_combined,0.55,0.37,0.3
11904,mds,lsi_tfidf_linear_combined,0.55,0.37,0.3
11905,mds,lsi_tfidf_linear_combined,0.55,0.37,0.3
11906,mds,lsi_tfidf_linear_combined,0.55,0.37,0.3
11907,mds,lsi_tfidf_linear_combined,0.55,0.37,0.3
15753,mds,lsi_tfidf_linear_combined,0.56,0.39,0.24
15754,mds,lsi_tfidf_linear_combined,0.56,0.39,0.23
15755,mds,lsi_tfidf_linear_combined,0.56,0.39,0.25
15756,mds,lsi_tfidf_linear_combined,0.56,0.39,0.23
15757,mds,lsi_tfidf_linear_combined,0.56,0.39,0.22
