,DR,TM,accuracy_local,accuracy_global,perception
5351,mds,nmf_tfidf_linear_combined,0.55,0.36,0.35
5352,mds,nmf_tfidf_linear_combined,0.55,0.36,0.35
5353,mds,nmf_tfidf_linear_combined,0.55,0.36,0.35
5354,mds,nmf_tfidf_linear_combined,0.55,0.36,0.35
5355,mds,nmf_tfidf_linear_combined,0.55,0.36,0.35
8969,mds,nmf_tfidf_linear_combined,0.53,0.35,0.27
8970,mds,nmf_tfidf_linear_combined,0.53,0.35,0.27
8971,mds,nmf_tfidf_linear_combined,0.53,0.35,0.27
8972,mds,nmf_tfidf_linear_combined,0.53,0.35,0.27
12803,mds,nmf_tfidf_linear_combined,0.55,0.37,0.31
12804,mds,nmf_tfidf_linear_combined,0.55,0.37,0.31
12805,mds,nmf_tfidf_linear_combined,0.55,0.37,0.31
12806,mds,nmf_tfidf_linear_combined,0.55,0.37,0.31
12807,mds,nmf_tfidf_linear_combined,0.55,0.37,0.31
16655,mds,nmf_tfidf_linear_combined,0.55,0.36,0.23
16656,mds,nmf_tfidf_linear_combined,0.55,0.36,0.23
16657,mds,nmf_tfidf_linear_combined,0.55,0.36,0.23
16658,mds,nmf_tfidf_linear_combined,0.55,0.36,0.23
16659,mds,nmf_tfidf_linear_combined,0.55,0.36,0.23
