,DR,TM,accuracy_local,accuracy_global,perception
2213,som,bert,0.93,0.64,0.45
2214,som,bert,0.9,0.62,0.38
2215,som,bert,0.93,0.65,0.47
2216,som,bert,0.93,0.65,0.46
2217,som,bert,0.93,0.64,0.51
2218,som,bert,0.94,0.68,0.52
2219,som,bert,0.93,0.64,0.49
2220,som,bert,0.93,0.65,0.5
2221,som,bert,0.94,0.65,0.53
2222,som,bert,0.94,0.66,0.5
2223,som,bert,0.84,0.6,0.41
2224,som,bert,0.88,0.59,0.34
2225,som,bert,0.89,0.61,0.34
2226,som,bert,0.92,0.68,0.44
2227,som,bert,0.88,0.59,0.35
2228,som,bert,0.93,0.67,0.47
2229,som,bert,0.92,0.67,0.43
2230,som,bert,0.88,0.58,0.35
2231,som,bert,0.91,0.62,0.43
2232,som,bert,0.94,0.67,0.53
2233,som,bert,0.93,0.69,0.48
2234,som,bert,0.88,0.58,0.34
2235,som,bert,0.91,0.65,0.43
2236,som,bert,0.92,0.66,0.46
2237,som,bert,0.88,0.59,0.33
2238,som,bert,0.94,0.66,0.52
2239,som,bert,0.93,0.68,0.48
2240,som,bert,0.93,0.66,0.45
2241,som,bert,0.94,0.63,0.5
2242,som,bert,0.91,0.66,0.45
2243,som,bert,0.94,0.66,0.51
2244,som,bert,0.87,0.61,0.35
2245,som,bert,0.91,0.67,0.42
2246,som,bert,0.93,0.66,0.47
2247,som,bert,0.89,0.59,0.34
2248,som,bert,0.9,0.6,0.35
2435,som,bert,0.9,0.57,0.36
2436,som,bert,0.94,0.67,0.46
2437,som,bert,0.93,0.68,0.43
2438,som,bert,0.93,0.66,0.48
2439,som,bert,0.94,0.69,0.48
2440,som,bert,0.94,0.68,0.48
2441,som,bert,0.88,0.58,0.32
2442,som,bert,0.92,0.66,0.41
2443,som,bert,0.94,0.65,0.51
2444,som,bert,0.93,0.66,0.4
2445,som,bert,0.94,0.66,0.5
2446,som,bert,0.95,0.71,0.49
2447,som,bert,0.93,0.67,0.46
2448,som,bert,0.93,0.64,0.45
2449,som,bert,0.9,0.61,0.35
2450,som,bert,0.91,0.59,0.35
2451,som,bert,0.9,0.6,0.38
2452,som,bert,0.89,0.57,0.36
2453,som,bert,0.95,0.66,0.51
2454,som,bert,0.95,0.69,0.5
2455,som,bert,0.93,0.63,0.45
2456,som,bert,0.87,0.57,0.32
2457,som,bert,0.94,0.69,0.48
2458,som,bert,0.94,0.72,0.48
2459,som,bert,0.94,0.7,0.47
2460,som,bert,0.94,0.68,0.47
2461,som,bert,0.9,0.61,0.35
2462,som,bert,0.93,0.64,0.42
2463,som,bert,0.94,0.7,0.5
2464,som,bert,0.92,0.64,0.4
2465,som,bert,0.92,0.68,0.42
2466,som,bert,0.88,0.6,0.37
2467,som,bert,0.93,0.59,0.45
2468,som,bert,0.87,0.56,0.39
2469,som,bert,0.93,0.68,0.48
2470,som,bert,0.89,0.55,0.34
2657,som,bert,0.95,0.71,0.49
2658,som,bert,0.89,0.62,0.36
2659,som,bert,0.91,0.63,0.4
2660,som,bert,0.94,0.62,0.5
2661,som,bert,0.94,0.68,0.49
2662,som,bert,0.95,0.66,0.53
2663,som,bert,0.93,0.68,0.46
2664,som,bert,0.93,0.59,0.47
2665,som,bert,0.94,0.65,0.5
2666,som,bert,0.9,0.55,0.35
2667,som,bert,0.91,0.62,0.4
2668,som,bert,0.94,0.68,0.53
2669,som,bert,0.94,0.64,0.5
2670,som,bert,0.93,0.57,0.46
2671,som,bert,0.94,0.69,0.48
2672,som,bert,0.9,0.61,0.37
2673,som,bert,0.92,0.68,0.45
2674,som,bert,0.95,0.66,0.54
2675,som,bert,0.92,0.58,0.44
2676,som,bert,0.86,0.62,0.39
2677,som,bert,0.93,0.66,0.45
2678,som,bert,0.88,0.58,0.4
2679,som,bert,0.91,0.64,0.44
2680,som,bert,0.91,0.62,0.42
2681,som,bert,0.93,0.64,0.44
2682,som,bert,0.94,0.69,0.5
2683,som,bert,0.89,0.55,0.36
2684,som,bert,0.93,0.7,0.45
2685,som,bert,0.94,0.62,0.48
2686,som,bert,0.94,0.69,0.5
2687,som,bert,0.9,0.59,0.33
2688,som,bert,0.94,0.64,0.51
2689,som,bert,0.94,0.69,0.51
2690,som,bert,0.94,0.62,0.51
2691,som,bert,0.89,0.64,0.43
2692,som,bert,0.93,0.6,0.44
2879,som,bert,0.82,0.55,0.27
2880,som,bert,0.92,0.61,0.49
2881,som,bert,0.9,0.58,0.46
2882,som,bert,0.85,0.55,0.32
2883,som,bert,0.88,0.57,0.35
2884,som,bert,0.9,0.61,0.43
2885,som,bert,0.9,0.62,0.45
2886,som,bert,0.91,0.6,0.45
2887,som,bert,0.81,0.56,0.36
2888,som,bert,0.84,0.55,0.31
2889,som,bert,0.84,0.55,0.3
2890,som,bert,0.81,0.56,0.33
2891,som,bert,0.89,0.6,0.39
2892,som,bert,0.84,0.54,0.28
2893,som,bert,0.88,0.54,0.39
2894,som,bert,0.91,0.58,0.45
2895,som,bert,0.88,0.6,0.41
2896,som,bert,0.89,0.6,0.4
2897,som,bert,0.9,0.59,0.44
2898,som,bert,0.9,0.6,0.43
2899,som,bert,0.89,0.57,0.44
2900,som,bert,0.91,0.61,0.44
2901,som,bert,0.89,0.61,0.41
2902,som,bert,0.85,0.55,0.31
2903,som,bert,0.91,0.6,0.45
2904,som,bert,0.85,0.59,0.37
2905,som,bert,0.8,0.58,0.31
2906,som,bert,0.91,0.57,0.47
2907,som,bert,0.87,0.58,0.39
2908,som,bert,0.91,0.58,0.47
2909,som,bert,0.84,0.53,0.32
2910,som,bert,0.89,0.58,0.42
2911,som,bert,0.83,0.52,0.28
2912,som,bert,0.88,0.59,0.38
2913,som,bert,0.88,0.61,0.39
2914,som,bert,0.91,0.6,0.46
3101,som,bert,0.9,0.64,0.41
3102,som,bert,0.86,0.56,0.33
3103,som,bert,0.92,0.63,0.48
3104,som,bert,0.92,0.64,0.48
3105,som,bert,0.92,0.62,0.49
3106,som,bert,0.86,0.58,0.35
3107,som,bert,0.9,0.63,0.44
3108,som,bert,0.86,0.57,0.32
3109,som,bert,0.92,0.64,0.48
3110,som,bert,0.91,0.63,0.42
3111,som,bert,0.93,0.64,0.51
3112,som,bert,0.86,0.55,0.3
3113,som,bert,0.9,0.59,0.39
3114,som,bert,0.86,0.55,0.28
3115,som,bert,0.88,0.6,0.4
3116,som,bert,0.86,0.63,0.36
3117,som,bert,0.89,0.62,0.4
3118,som,bert,0.9,0.6,0.39
3119,som,bert,0.92,0.64,0.46
3120,som,bert,0.91,0.63,0.46
3121,som,bert,0.86,0.6,0.37
3122,som,bert,0.91,0.63,0.46
3123,som,bert,0.92,0.63,0.48
3124,som,bert,0.82,0.58,0.4
3125,som,bert,0.91,0.63,0.46
3126,som,bert,0.86,0.57,0.29
3127,som,bert,0.84,0.53,0.35
3128,som,bert,0.92,0.63,0.47
3129,som,bert,0.91,0.63,0.47
3130,som,bert,0.92,0.65,0.49
3131,som,bert,0.9,0.63,0.43
3132,som,bert,0.88,0.61,0.43
3133,som,bert,0.92,0.63,0.48
3134,som,bert,0.84,0.58,0.33
3135,som,bert,0.89,0.64,0.43
3136,som,bert,0.92,0.62,0.49
6032,som,bert,0.94,0.62,0.57
6033,som,bert,0.86,0.56,0.4
6034,som,bert,0.87,0.53,0.35
6035,som,bert,0.92,0.62,0.46
6036,som,bert,0.92,0.67,0.53
6037,som,bert,0.91,0.57,0.48
6038,som,bert,0.93,0.64,0.48
6039,som,bert,0.94,0.57,0.56
6040,som,bert,0.91,0.54,0.47
6041,som,bert,0.88,0.58,0.4
6042,som,bert,0.89,0.55,0.43
6043,som,bert,0.93,0.59,0.56
6044,som,bert,0.91,0.64,0.49
6045,som,bert,0.9,0.66,0.46
6046,som,bert,0.92,0.62,0.5
6047,som,bert,0.94,0.63,0.54
6048,som,bert,0.94,0.65,0.55
6049,som,bert,0.92,0.65,0.49
6050,som,bert,0.92,0.65,0.46
6051,som,bert,0.93,0.62,0.56
6052,som,bert,0.82,0.59,0.3
6053,som,bert,0.93,0.6,0.55
6054,som,bert,0.86,0.57,0.38
6055,som,bert,0.86,0.58,0.35
6056,som,bert,0.93,0.68,0.52
6057,som,bert,0.92,0.62,0.47
6058,som,bert,0.93,0.68,0.56
6059,som,bert,0.92,0.66,0.52
6060,som,bert,0.9,0.59,0.47
6061,som,bert,0.94,0.66,0.57
6062,som,bert,0.89,0.58,0.48
6063,som,bert,0.89,0.57,0.42
6064,som,bert,0.93,0.65,0.57
6065,som,bert,0.9,0.67,0.52
6066,som,bert,0.87,0.59,0.37
6067,som,bert,0.94,0.62,0.54
6259,som,bert,0.95,0.71,0.56
6260,som,bert,0.91,0.62,0.45
6261,som,bert,0.93,0.67,0.5
6262,som,bert,0.9,0.63,0.38
6263,som,bert,0.92,0.55,0.44
6264,som,bert,0.87,0.55,0.36
6265,som,bert,0.9,0.57,0.4
6266,som,bert,0.92,0.64,0.46
6267,som,bert,0.93,0.63,0.49
6268,som,bert,0.95,0.68,0.56
6269,som,bert,0.92,0.65,0.45
6270,som,bert,0.94,0.62,0.52
6271,som,bert,0.87,0.61,0.32
6272,som,bert,0.94,0.67,0.52
6273,som,bert,0.94,0.7,0.53
6274,som,bert,0.89,0.58,0.39
6275,som,bert,0.95,0.69,0.54
6276,som,bert,0.9,0.63,0.38
6277,som,bert,0.95,0.68,0.52
6278,som,bert,0.94,0.66,0.53
6279,som,bert,0.94,0.61,0.53
6280,som,bert,0.94,0.62,0.52
6281,som,bert,0.95,0.72,0.55
6282,som,bert,0.91,0.63,0.41
6283,som,bert,0.93,0.65,0.52
6284,som,bert,0.94,0.67,0.54
6285,som,bert,0.91,0.64,0.44
6286,som,bert,0.93,0.58,0.46
6287,som,bert,0.95,0.72,0.56
6288,som,bert,0.92,0.59,0.45
6289,som,bert,0.85,0.58,0.41
6290,som,bert,0.93,0.64,0.5
6291,som,bert,0.93,0.59,0.49
6292,som,bert,0.89,0.59,0.35
6293,som,bert,0.88,0.51,0.37
6294,som,bert,0.93,0.66,0.54
6486,som,bert,0.91,0.7,0.47
6487,som,bert,0.89,0.58,0.38
6488,som,bert,0.88,0.57,0.35
6489,som,bert,0.92,0.66,0.48
6490,som,bert,0.93,0.65,0.54
6491,som,bert,0.89,0.63,0.46
6492,som,bert,0.85,0.55,0.37
6493,som,bert,0.92,0.55,0.51
6494,som,bert,0.89,0.62,0.42
6495,som,bert,0.95,0.66,0.58
6496,som,bert,0.89,0.64,0.35
6497,som,bert,0.89,0.54,0.41
6498,som,bert,0.94,0.68,0.52
6499,som,bert,0.94,0.67,0.54
6500,som,bert,0.85,0.6,0.36
6501,som,bert,0.93,0.68,0.52
6502,som,bert,0.93,0.61,0.52
6503,som,bert,0.94,0.67,0.56
6504,som,bert,0.93,0.65,0.49
6505,som,bert,0.92,0.56,0.48
6506,som,bert,0.94,0.7,0.56
6507,som,bert,0.94,0.67,0.55
6508,som,bert,0.93,0.71,0.54
6509,som,bert,0.88,0.53,0.34
6510,som,bert,0.88,0.57,0.38
6511,som,bert,0.94,0.7,0.57
6512,som,bert,0.91,0.69,0.53
6513,som,bert,0.94,0.61,0.54
6514,som,bert,0.94,0.66,0.55
6515,som,bert,0.93,0.68,0.53
6516,som,bert,0.92,0.7,0.47
6517,som,bert,0.94,0.66,0.57
6518,som,bert,0.93,0.64,0.53
6519,som,bert,0.86,0.56,0.32
6520,som,bert,0.94,0.68,0.52
6521,som,bert,0.94,0.69,0.54
6713,som,bert,0.79,0.57,0.32
6714,som,bert,0.84,0.55,0.38
6715,som,bert,0.9,0.61,0.47
6716,som,bert,0.9,0.56,0.45
6717,som,bert,0.83,0.56,0.36
6718,som,bert,0.92,0.61,0.54
6719,som,bert,0.85,0.55,0.38
6720,som,bert,0.9,0.61,0.47
6721,som,bert,0.85,0.55,0.44
6722,som,bert,0.92,0.61,0.49
