,DR,TM,accuracy_local,accuracy_global,perception
3323,som,bow,0.65,0.53,0.17
3324,som,bow,0.7,0.52,0.17
3325,som,bow,0.49,0.48,0.08
3326,som,bow,0.77,0.54,0.2
3327,som,bow,0.76,0.55,0.19
3328,som,bow,0.78,0.54,0.23
3329,som,bow,0.68,0.53,0.16
3330,som,bow,0.76,0.54,0.2
3331,som,bow,0.77,0.55,0.22
3332,som,bow,0.56,0.51,0.11
3333,som,bow,0.62,0.53,0.13
3334,som,bow,0.77,0.54,0.21
3335,som,bow,0.73,0.54,0.18
3336,som,bow,0.65,0.52,0.14
3337,som,bow,0.74,0.53,0.19
3338,som,bow,0.56,0.5,0.1
3339,som,bow,0.66,0.53,0.15
3340,som,bow,0.5,0.48,0.07
3341,som,bow,0.55,0.48,0.08
3342,som,bow,0.58,0.51,0.11
3343,som,bow,0.54,0.49,0.09
3344,som,bow,0.63,0.52,0.13
3345,som,bow,0.75,0.54,0.19
3346,som,bow,0.56,0.5,0.11
3347,som,bow,0.66,0.52,0.15
3348,som,bow,0.8,0.55,0.25
3349,som,bow,0.55,0.5,0.1
3350,som,bow,0.78,0.52,0.22
3351,som,bow,0.8,0.55,0.24
3352,som,bow,0.57,0.49,0.08
3353,som,bow,0.76,0.54,0.19
3354,som,bow,0.74,0.54,0.17
3355,som,bow,0.53,0.49,0.08
3356,som,bow,0.7,0.54,0.16
3357,som,bow,0.68,0.53,0.17
3358,som,bow,0.79,0.57,0.24
10774,som,bow,0.85,0.53,0.68
10775,som,bow,0.79,0.47,0.64
10776,som,bow,0.73,0.45,0.44
10777,som,bow,0.85,0.55,0.7
10778,som,bow,0.87,0.54,0.69
10779,som,bow,0.85,0.54,0.64
10780,som,bow,0.7,0.46,0.45
10781,som,bow,0.82,0.49,0.64
10782,som,bow,0.82,0.55,0.64
10783,som,bow,0.73,0.48,0.44
10784,som,bow,0.81,0.51,0.59
10785,som,bow,0.83,0.52,0.63
10786,som,bow,0.67,0.44,0.4
10787,som,bow,0.85,0.55,0.67
10788,som,bow,0.72,0.47,0.51
10789,som,bow,0.84,0.51,0.74
10790,som,bow,0.84,0.5,0.6
10791,som,bow,0.72,0.45,0.43
10792,som,bow,0.85,0.55,0.68
10793,som,bow,0.82,0.54,0.55
10794,som,bow,0.88,0.57,0.73
10795,som,bow,0.8,0.5,0.51
10796,som,bow,0.87,0.56,0.71
10797,som,bow,0.71,0.52,0.43
10798,som,bow,0.77,0.53,0.46
10799,som,bow,0.86,0.52,0.74
10800,som,bow,0.75,0.48,0.5
10801,som,bow,0.75,0.48,0.5
10802,som,bow,0.87,0.57,0.68
10803,som,bow,0.88,0.57,0.69
10804,som,bow,0.81,0.49,0.61
10805,som,bow,0.7,0.46,0.48
10806,som,bow,0.8,0.48,0.59
10807,som,bow,0.82,0.51,0.62
10808,som,bow,0.85,0.51,0.7
10809,som,bow,0.88,0.55,0.75
14623,som,bow,0.79,0.51,0.43
14624,som,bow,0.62,0.49,0.37
14625,som,bow,0.78,0.53,0.4
14626,som,bow,0.76,0.49,0.39
14627,som,bow,0.79,0.51,0.43
14628,som,bow,0.67,0.47,0.32
14629,som,bow,0.64,0.45,0.33
14630,som,bow,0.75,0.48,0.38
14631,som,bow,0.74,0.49,0.37
14632,som,bow,0.75,0.46,0.39
14633,som,bow,0.67,0.53,0.29
14634,som,bow,0.79,0.51,0.36
14635,som,bow,0.62,0.47,0.35
14636,som,bow,0.72,0.47,0.36
14637,som,bow,0.72,0.5,0.3
14638,som,bow,0.64,0.46,0.32
14639,som,bow,0.79,0.5,0.42
14640,som,bow,0.71,0.46,0.34
14641,som,bow,0.69,0.49,0.31
14642,som,bow,0.82,0.56,0.44
14643,som,bow,0.67,0.44,0.35
14644,som,bow,0.76,0.5,0.36
14645,som,bow,0.71,0.49,0.31
14646,som,bow,0.61,0.44,0.36
14647,som,bow,0.75,0.5,0.31
14648,som,bow,0.67,0.47,0.31
14649,som,bow,0.65,0.46,0.33
14650,som,bow,0.79,0.52,0.38
14651,som,bow,0.62,0.46,0.36
14652,som,bow,0.72,0.47,0.29
14653,som,bow,0.73,0.48,0.38
14654,som,bow,0.75,0.46,0.37
14655,som,bow,0.79,0.51,0.41
14656,som,bow,0.79,0.55,0.4
14657,som,bow,0.69,0.5,0.33
14658,som,bow,0.74,0.49,0.34
18472,som,bow,0.76,0.5,0.18
18473,som,bow,0.85,0.53,0.19
18474,som,bow,0.76,0.56,0.2
18475,som,bow,0.83,0.51,0.17
18476,som,bow,0.9,0.56,0.18
18477,som,bow,0.87,0.55,0.19
18478,som,bow,0.91,0.59,0.19
18479,som,bow,0.86,0.57,0.19
18480,som,bow,0.76,0.56,0.18
18481,som,bow,0.79,0.56,0.19
18482,som,bow,0.85,0.51,0.19
18483,som,bow,0.9,0.58,0.18
18484,som,bow,0.9,0.57,0.19
18485,som,bow,0.91,0.62,0.2
18486,som,bow,0.92,0.58,0.23
18487,som,bow,0.73,0.58,0.19
18488,som,bow,0.77,0.58,0.18
18489,som,bow,0.89,0.57,0.2
18490,som,bow,0.89,0.56,0.19
18491,som,bow,0.82,0.57,0.18
18492,som,bow,0.89,0.71,0.18
18493,som,bow,0.8,0.51,0.18
18494,som,bow,0.9,0.61,0.19
18495,som,bow,0.9,0.51,0.2
