,DR,TM,accuracy_local,accuracy_global,perception
0,som,lda_linear_combined,0.95,0.64,0.18
1,som,lda_linear_combined,0.97,0.73,0.26
2,som,lda_linear_combined,0.97,0.72,0.27
3,som,lda_linear_combined,0.97,0.71,0.25
4,som,lda_linear_combined,0.96,0.76,0.24
5,som,lda_linear_combined,0.96,0.7,0.25
6,som,lda_linear_combined,0.96,0.75,0.24
7,som,lda_linear_combined,0.97,0.73,0.25
8,som,lda_linear_combined,0.97,0.74,0.28
9,som,lda_linear_combined,0.96,0.69,0.25
10,som,lda_linear_combined,0.94,0.71,0.24
11,som,lda_linear_combined,0.94,0.63,0.19
12,som,lda_linear_combined,0.69,0.62,0.22
13,som,lda_linear_combined,0.97,0.74,0.28
14,som,lda_linear_combined,0.97,0.76,0.29
15,som,lda_linear_combined,0.95,0.64,0.18
16,som,lda_linear_combined,0.95,0.74,0.18
17,som,lda_linear_combined,0.96,0.72,0.24
18,som,lda_linear_combined,0.97,0.73,0.26
19,som,lda_linear_combined,0.96,0.75,0.24
20,som,lda_linear_combined,0.95,0.68,0.21
21,som,lda_linear_combined,0.96,0.74,0.23
22,som,lda_linear_combined,0.97,0.7,0.25
23,som,lda_linear_combined,0.96,0.7,0.23
24,som,lda_linear_combined,0.96,0.74,0.23
25,som,lda_linear_combined,0.97,0.75,0.28
26,som,lda_linear_combined,0.97,0.75,0.25
27,som,lda_linear_combined,0.97,0.76,0.29
28,som,lda_linear_combined,0.97,0.74,0.26
29,som,lda_linear_combined,0.97,0.72,0.29
30,som,lda_linear_combined,0.95,0.67,0.2
31,som,lda_linear_combined,0.67,0.58,0.17
32,som,lda_linear_combined,0.91,0.62,0.18
33,som,lda_linear_combined,0.96,0.69,0.25
34,som,lda_linear_combined,0.95,0.68,0.2
35,som,lda_linear_combined,0.97,0.74,0.27
3772,som,lda_linear_combined,0.98,0.74,0.36
3773,som,lda_linear_combined,0.98,0.75,0.39
3774,som,lda_linear_combined,0.98,0.72,0.37
3775,som,lda_linear_combined,0.99,0.83,0.43
3776,som,lda_linear_combined,0.62,0.57,0.37
3777,som,lda_linear_combined,0.99,0.82,0.43
3778,som,lda_linear_combined,0.97,0.72,0.29
3779,som,lda_linear_combined,0.98,0.74,0.46
3780,som,lda_linear_combined,0.99,0.79,0.43
3781,som,lda_linear_combined,0.96,0.68,0.35
3782,som,lda_linear_combined,0.98,0.73,0.33
3783,som,lda_linear_combined,0.66,0.63,0.42
3784,som,lda_linear_combined,0.98,0.73,0.42
3785,som,lda_linear_combined,0.98,0.79,0.41
3786,som,lda_linear_combined,0.64,0.58,0.31
3787,som,lda_linear_combined,0.98,0.71,0.34
3788,som,lda_linear_combined,0.64,0.61,0.33
3789,som,lda_linear_combined,0.96,0.65,0.28
3790,som,lda_linear_combined,0.97,0.63,0.24
3791,som,lda_linear_combined,0.6,0.55,0.32
3792,som,lda_linear_combined,0.98,0.74,0.42
3793,som,lda_linear_combined,0.98,0.76,0.42
3794,som,lda_linear_combined,0.99,0.77,0.45
3795,som,lda_linear_combined,0.64,0.58,0.39
3796,som,lda_linear_combined,0.98,0.71,0.39
3797,som,lda_linear_combined,0.98,0.77,0.41
3798,som,lda_linear_combined,0.62,0.55,0.35
3799,som,lda_linear_combined,0.98,0.73,0.4
3800,som,lda_linear_combined,0.99,0.8,0.43
3801,som,lda_linear_combined,0.62,0.6,0.36
3802,som,lda_linear_combined,0.98,0.78,0.4
3803,som,lda_linear_combined,0.98,0.77,0.41
3804,som,lda_linear_combined,0.98,0.78,0.41
3805,som,lda_linear_combined,0.62,0.56,0.36
3806,som,lda_linear_combined,0.98,0.77,0.44
3807,som,lda_linear_combined,0.99,0.76,0.44
7393,som,lda_linear_combined,0.98,0.73,0.46
7394,som,lda_linear_combined,0.97,0.75,0.39
7395,som,lda_linear_combined,0.97,0.79,0.45
7396,som,lda_linear_combined,0.95,0.72,0.35
7397,som,lda_linear_combined,0.97,0.74,0.48
7398,som,lda_linear_combined,0.97,0.75,0.44
7399,som,lda_linear_combined,0.98,0.79,0.46
7400,som,lda_linear_combined,0.97,0.76,0.43
7401,som,lda_linear_combined,0.98,0.79,0.42
7402,som,lda_linear_combined,0.98,0.77,0.51
7403,som,lda_linear_combined,0.97,0.73,0.45
