,DR,TM,accuracy_local,accuracy_global,perception
887,som,lsi,0.76,0.66,0.15
888,som,lsi,0.86,0.64,0.21
889,som,lsi,0.82,0.66,0.2
890,som,lsi,0.85,0.72,0.22
891,som,lsi,0.87,0.71,0.22
892,som,lsi,0.62,0.63,0.09
893,som,lsi,0.82,0.69,0.19
894,som,lsi,0.87,0.73,0.23
895,som,lsi,0.82,0.65,0.18
896,som,lsi,0.74,0.6,0.13
897,som,lsi,0.8,0.65,0.18
898,som,lsi,0.88,0.7,0.24
899,som,lsi,0.82,0.65,0.2
900,som,lsi,0.78,0.69,0.16
901,som,lsi,0.88,0.68,0.25
902,som,lsi,0.74,0.69,0.16
903,som,lsi,0.85,0.71,0.2
904,som,lsi,0.85,0.67,0.21
905,som,lsi,0.86,0.71,0.22
906,som,lsi,0.88,0.7,0.25
907,som,lsi,0.87,0.71,0.23
908,som,lsi,0.86,0.67,0.21
909,som,lsi,0.67,0.64,0.12
910,som,lsi,0.76,0.6,0.16
911,som,lsi,0.86,0.68,0.22
912,som,lsi,0.78,0.62,0.15
913,som,lsi,0.7,0.68,0.13
914,som,lsi,0.76,0.61,0.15
915,som,lsi,0.84,0.67,0.2
916,som,lsi,0.87,0.7,0.24
917,som,lsi,0.86,0.7,0.22
918,som,lsi,0.83,0.66,0.21
919,som,lsi,0.83,0.67,0.19
920,som,lsi,0.88,0.67,0.24
921,som,lsi,0.75,0.63,0.17
922,som,lsi,0.82,0.7,0.18
4679,som,lsi,0.85,0.66,0.41
4680,som,lsi,0.74,0.56,0.35
4681,som,lsi,0.73,0.61,0.34
4682,som,lsi,0.79,0.61,0.39
4683,som,lsi,0.63,0.54,0.34
4684,som,lsi,0.83,0.64,0.41
4685,som,lsi,0.84,0.67,0.4
4686,som,lsi,0.69,0.54,0.35
4687,som,lsi,0.8,0.62,0.36
4688,som,lsi,0.71,0.56,0.31
4689,som,lsi,0.74,0.6,0.35
4690,som,lsi,0.83,0.63,0.36
4691,som,lsi,0.86,0.65,0.4
4692,som,lsi,0.82,0.62,0.35
4693,som,lsi,0.82,0.63,0.41
4694,som,lsi,0.79,0.6,0.38
4695,som,lsi,0.69,0.57,0.39
4696,som,lsi,0.79,0.62,0.37
4697,som,lsi,0.81,0.62,0.38
4698,som,lsi,0.79,0.64,0.35
4699,som,lsi,0.84,0.64,0.4
4700,som,lsi,0.74,0.62,0.29
4701,som,lsi,0.8,0.61,0.35
4702,som,lsi,0.85,0.64,0.42
4703,som,lsi,0.8,0.63,0.39
