,DR,TM,accuracy_local,accuracy_global,perception
1109,som,lsi_tfidf,0.9,0.6,0.35
1110,som,lsi_tfidf,0.95,0.66,0.46
1111,som,lsi_tfidf,0.93,0.66,0.39
1112,som,lsi_tfidf,0.9,0.62,0.33
1113,som,lsi_tfidf,0.9,0.65,0.33
1114,som,lsi_tfidf,0.95,0.7,0.46
1115,som,lsi_tfidf,0.92,0.61,0.4
1116,som,lsi_tfidf,0.92,0.68,0.39
1117,som,lsi_tfidf,0.94,0.69,0.45
1118,som,lsi_tfidf,0.89,0.6,0.34
1119,som,lsi_tfidf,0.93,0.66,0.43
1120,som,lsi_tfidf,0.93,0.69,0.44
1121,som,lsi_tfidf,0.94,0.64,0.44
1122,som,lsi_tfidf,0.94,0.72,0.43
1123,som,lsi_tfidf,0.94,0.61,0.4
1124,som,lsi_tfidf,0.94,0.67,0.45
1125,som,lsi_tfidf,0.95,0.67,0.48
1126,som,lsi_tfidf,0.9,0.62,0.32
1127,som,lsi_tfidf,0.9,0.61,0.37
1128,som,lsi_tfidf,0.94,0.64,0.44
1129,som,lsi_tfidf,0.88,0.66,0.36
1130,som,lsi_tfidf,0.9,0.65,0.39
1131,som,lsi_tfidf,0.95,0.67,0.49
1132,som,lsi_tfidf,0.95,0.7,0.46
1133,som,lsi_tfidf,0.83,0.63,0.28
1134,som,lsi_tfidf,0.94,0.65,0.44
1135,som,lsi_tfidf,0.94,0.67,0.45
1136,som,lsi_tfidf,0.95,0.69,0.45
1137,som,lsi_tfidf,0.94,0.62,0.4
1138,som,lsi_tfidf,0.94,0.64,0.45
1139,som,lsi_tfidf,0.89,0.63,0.31
1140,som,lsi_tfidf,0.94,0.62,0.44
1141,som,lsi_tfidf,0.88,0.66,0.34
1142,som,lsi_tfidf,0.94,0.69,0.44
1143,som,lsi_tfidf,0.9,0.64,0.32
1144,som,lsi_tfidf,0.93,0.66,0.39
4906,som,lsi_tfidf,0.87,0.68,0.44
4907,som,lsi_tfidf,0.93,0.79,0.54
4908,som,lsi_tfidf,0.91,0.78,0.5
4909,som,lsi_tfidf,0.8,0.65,0.43
4910,som,lsi_tfidf,0.92,0.77,0.51
4911,som,lsi_tfidf,0.93,0.76,0.52
4912,som,lsi_tfidf,0.91,0.75,0.48
4913,som,lsi_tfidf,0.87,0.72,0.45
4914,som,lsi_tfidf,0.93,0.78,0.55
4915,som,lsi_tfidf,0.92,0.77,0.51
4916,som,lsi_tfidf,0.93,0.77,0.54
4917,som,lsi_tfidf,0.91,0.72,0.44
4918,som,lsi_tfidf,0.94,0.78,0.52
4919,som,lsi_tfidf,0.94,0.8,0.53
4920,som,lsi_tfidf,0.88,0.73,0.39
4921,som,lsi_tfidf,0.91,0.78,0.47
4922,som,lsi_tfidf,0.86,0.62,0.47
4923,som,lsi_tfidf,0.92,0.76,0.52
4924,som,lsi_tfidf,0.86,0.71,0.41
4925,som,lsi_tfidf,0.9,0.76,0.48
4926,som,lsi_tfidf,0.87,0.71,0.47
4927,som,lsi_tfidf,0.85,0.74,0.42
4928,som,lsi_tfidf,0.88,0.72,0.45
4929,som,lsi_tfidf,0.93,0.78,0.53
4930,som,lsi_tfidf,0.93,0.77,0.55
4931,som,lsi_tfidf,0.87,0.76,0.46
4932,som,lsi_tfidf,0.9,0.75,0.5
4933,som,lsi_tfidf,0.94,0.79,0.55
4934,som,lsi_tfidf,0.93,0.77,0.55
4935,som,lsi_tfidf,0.93,0.78,0.53
4936,som,lsi_tfidf,0.91,0.74,0.47
4937,som,lsi_tfidf,0.92,0.77,0.53
4938,som,lsi_tfidf,0.89,0.75,0.47
4939,som,lsi_tfidf,0.89,0.7,0.45
4940,som,lsi_tfidf,0.91,0.78,0.51
4941,som,lsi_tfidf,0.85,0.68,0.36
8521,som,lsi_tfidf,0.96,0.76,0.74
8522,som,lsi_tfidf,0.97,0.8,0.92
8523,som,lsi_tfidf,0.97,0.79,0.91
8524,som,lsi_tfidf,0.96,0.71,0.9
8525,som,lsi_tfidf,0.97,0.78,0.89
8526,som,lsi_tfidf,0.94,0.75,0.83
8527,som,lsi_tfidf,0.97,0.74,0.9
8528,som,lsi_tfidf,0.97,0.79,0.9
8529,som,lsi_tfidf,0.96,0.73,0.88
8530,som,lsi_tfidf,0.96,0.72,0.8
8531,som,lsi_tfidf,0.96,0.72,0.82
8532,som,lsi_tfidf,0.94,0.7,0.76
8533,som,lsi_tfidf,0.96,0.75,0.88
