,DR,TM,accuracy_local,accuracy_global,perception
665,som,lsi_tfidf_linear_combined,0.95,0.71,0.46
666,som,lsi_tfidf_linear_combined,0.94,0.64,0.41
667,som,lsi_tfidf_linear_combined,0.94,0.61,0.43
668,som,lsi_tfidf_linear_combined,0.9,0.62,0.32
669,som,lsi_tfidf_linear_combined,0.92,0.63,0.39
670,som,lsi_tfidf_linear_combined,0.93,0.64,0.4
671,som,lsi_tfidf_linear_combined,0.94,0.66,0.43
672,som,lsi_tfidf_linear_combined,0.95,0.68,0.46
673,som,lsi_tfidf_linear_combined,0.95,0.68,0.47
674,som,lsi_tfidf_linear_combined,0.9,0.63,0.31
675,som,lsi_tfidf_linear_combined,0.94,0.68,0.45
676,som,lsi_tfidf_linear_combined,0.91,0.62,0.31
677,som,lsi_tfidf_linear_combined,0.91,0.63,0.35
678,som,lsi_tfidf_linear_combined,0.94,0.71,0.44
679,som,lsi_tfidf_linear_combined,0.89,0.56,0.33
680,som,lsi_tfidf_linear_combined,0.95,0.67,0.46
681,som,lsi_tfidf_linear_combined,0.92,0.67,0.34
682,som,lsi_tfidf_linear_combined,0.89,0.68,0.33
683,som,lsi_tfidf_linear_combined,0.93,0.63,0.4
684,som,lsi_tfidf_linear_combined,0.95,0.63,0.45
685,som,lsi_tfidf_linear_combined,0.94,0.7,0.43
686,som,lsi_tfidf_linear_combined,0.93,0.68,0.4
687,som,lsi_tfidf_linear_combined,0.89,0.58,0.34
688,som,lsi_tfidf_linear_combined,0.94,0.66,0.43
689,som,lsi_tfidf_linear_combined,0.87,0.67,0.33
690,som,lsi_tfidf_linear_combined,0.95,0.67,0.49
691,som,lsi_tfidf_linear_combined,0.96,0.7,0.49
692,som,lsi_tfidf_linear_combined,0.95,0.68,0.47
693,som,lsi_tfidf_linear_combined,0.93,0.63,0.42
694,som,lsi_tfidf_linear_combined,0.95,0.67,0.45
695,som,lsi_tfidf_linear_combined,0.95,0.67,0.47
696,som,lsi_tfidf_linear_combined,0.85,0.68,0.29
697,som,lsi_tfidf_linear_combined,0.93,0.65,0.39
698,som,lsi_tfidf_linear_combined,0.94,0.68,0.43
699,som,lsi_tfidf_linear_combined,0.91,0.66,0.36
700,som,lsi_tfidf_linear_combined,0.95,0.66,0.45
4453,som,lsi_tfidf_linear_combined,0.83,0.68,0.42
4454,som,lsi_tfidf_linear_combined,0.92,0.74,0.51
4455,som,lsi_tfidf_linear_combined,0.87,0.63,0.43
4456,som,lsi_tfidf_linear_combined,0.93,0.78,0.53
4457,som,lsi_tfidf_linear_combined,0.92,0.76,0.51
4458,som,lsi_tfidf_linear_combined,0.91,0.75,0.47
4459,som,lsi_tfidf_linear_combined,0.92,0.79,0.53
4460,som,lsi_tfidf_linear_combined,0.92,0.77,0.52
4461,som,lsi_tfidf_linear_combined,0.92,0.75,0.5
4462,som,lsi_tfidf_linear_combined,0.87,0.76,0.43
4463,som,lsi_tfidf_linear_combined,0.94,0.77,0.53
4464,som,lsi_tfidf_linear_combined,0.93,0.78,0.55
4465,som,lsi_tfidf_linear_combined,0.92,0.77,0.52
4466,som,lsi_tfidf_linear_combined,0.93,0.78,0.51
