,DR,TM,accuracy_local,accuracy_global,perception
1552,som,nmf_tfidf_linear_combined,0.97,0.72,0.41
1553,som,nmf_tfidf_linear_combined,0.97,0.74,0.43
1554,som,nmf_tfidf_linear_combined,0.96,0.66,0.36
1555,som,nmf_tfidf_linear_combined,0.97,0.73,0.41
1556,som,nmf_tfidf_linear_combined,0.97,0.72,0.41
1557,som,nmf_tfidf_linear_combined,0.94,0.58,0.31
1558,som,nmf_tfidf_linear_combined,0.95,0.66,0.33
1559,som,nmf_tfidf_linear_combined,0.96,0.67,0.39
1560,som,nmf_tfidf_linear_combined,0.95,0.72,0.37
1561,som,nmf_tfidf_linear_combined,0.92,0.63,0.31
1562,som,nmf_tfidf_linear_combined,0.96,0.7,0.37
1563,som,nmf_tfidf_linear_combined,0.94,0.63,0.29
1564,som,nmf_tfidf_linear_combined,0.96,0.73,0.4
1565,som,nmf_tfidf_linear_combined,0.94,0.62,0.33
1566,som,nmf_tfidf_linear_combined,0.97,0.7,0.41
1567,som,nmf_tfidf_linear_combined,0.95,0.71,0.31
1568,som,nmf_tfidf_linear_combined,0.96,0.7,0.41
1569,som,nmf_tfidf_linear_combined,0.97,0.69,0.4
1570,som,nmf_tfidf_linear_combined,0.97,0.7,0.41
1571,som,nmf_tfidf_linear_combined,0.97,0.73,0.4
1572,som,nmf_tfidf_linear_combined,0.97,0.72,0.42
1573,som,nmf_tfidf_linear_combined,0.94,0.62,0.27
1574,som,nmf_tfidf_linear_combined,0.94,0.64,0.34
1575,som,nmf_tfidf_linear_combined,0.97,0.71,0.42
1576,som,nmf_tfidf_linear_combined,0.96,0.7,0.38
1577,som,nmf_tfidf_linear_combined,0.95,0.63,0.3
1578,som,nmf_tfidf_linear_combined,0.97,0.69,0.39
1579,som,nmf_tfidf_linear_combined,0.96,0.66,0.33
1580,som,nmf_tfidf_linear_combined,0.96,0.7,0.37
1581,som,nmf_tfidf_linear_combined,0.96,0.72,0.39
1582,som,nmf_tfidf_linear_combined,0.94,0.64,0.3
1583,som,nmf_tfidf_linear_combined,0.93,0.64,0.33
1584,som,nmf_tfidf_linear_combined,0.97,0.72,0.39
1585,som,nmf_tfidf_linear_combined,0.96,0.65,0.37
1586,som,nmf_tfidf_linear_combined,0.96,0.72,0.39
1587,som,nmf_tfidf_linear_combined,0.96,0.7,0.37
5356,som,nmf_tfidf_linear_combined,0.94,0.71,0.37
5357,som,nmf_tfidf_linear_combined,0.97,0.79,0.43
5358,som,nmf_tfidf_linear_combined,0.95,0.77,0.34
5359,som,nmf_tfidf_linear_combined,0.92,0.72,0.32
5360,som,nmf_tfidf_linear_combined,0.96,0.73,0.37
5361,som,nmf_tfidf_linear_combined,0.96,0.75,0.37
5362,som,nmf_tfidf_linear_combined,0.97,0.76,0.36
5363,som,nmf_tfidf_linear_combined,0.94,0.74,0.35
5364,som,nmf_tfidf_linear_combined,0.97,0.76,0.38
5365,som,nmf_tfidf_linear_combined,0.96,0.8,0.36
5366,som,nmf_tfidf_linear_combined,0.97,0.76,0.41
5367,som,nmf_tfidf_linear_combined,0.97,0.8,0.41
5368,som,nmf_tfidf_linear_combined,0.94,0.7,0.36
5369,som,nmf_tfidf_linear_combined,0.96,0.78,0.34
