,DR,TM,accuracy_local,accuracy_global,perception
3545,som,tfidf,0.76,0.49,0.24
3546,som,tfidf,0.86,0.52,0.37
3547,som,tfidf,0.74,0.49,0.23
3548,som,tfidf,0.69,0.47,0.25
3549,som,tfidf,0.78,0.49,0.27
3550,som,tfidf,0.74,0.5,0.23
3551,som,tfidf,0.75,0.48,0.23
3552,som,tfidf,0.75,0.5,0.25
3553,som,tfidf,0.86,0.52,0.37
3554,som,tfidf,0.74,0.49,0.23
3555,som,tfidf,0.84,0.5,0.36
3556,som,tfidf,0.82,0.51,0.3
3557,som,tfidf,0.83,0.49,0.33
3558,som,tfidf,0.86,0.5,0.37
3559,som,tfidf,0.86,0.51,0.4
3560,som,tfidf,0.87,0.51,0.39
3561,som,tfidf,0.83,0.51,0.36
3562,som,tfidf,0.83,0.5,0.33
3563,som,tfidf,0.79,0.49,0.27
3564,som,tfidf,0.85,0.51,0.35
3565,som,tfidf,0.81,0.49,0.29
3566,som,tfidf,0.8,0.5,0.29
3567,som,tfidf,0.74,0.47,0.22
3568,som,tfidf,0.84,0.51,0.35
3569,som,tfidf,0.83,0.5,0.32
3570,som,tfidf,0.82,0.51,0.32
3571,som,tfidf,0.72,0.47,0.2
3572,som,tfidf,0.76,0.5,0.23
3573,som,tfidf,0.82,0.52,0.28
3574,som,tfidf,0.86,0.51,0.37
3575,som,tfidf,0.82,0.5,0.29
3576,som,tfidf,0.78,0.49,0.24
3577,som,tfidf,0.8,0.49,0.29
3578,som,tfidf,0.85,0.5,0.33
3579,som,tfidf,0.85,0.51,0.37
3580,som,tfidf,0.76,0.47,0.27
7167,som,tfidf,0.85,0.48,0.44
7168,som,tfidf,0.83,0.51,0.41
7169,som,tfidf,0.87,0.5,0.44
7170,som,tfidf,0.74,0.49,0.32
7171,som,tfidf,0.85,0.46,0.42
7172,som,tfidf,0.74,0.48,0.36
7173,som,tfidf,0.85,0.49,0.46
7174,som,tfidf,0.87,0.48,0.48
7175,som,tfidf,0.71,0.46,0.33
7176,som,tfidf,0.7,0.47,0.42
7177,som,tfidf,0.8,0.49,0.37
7178,som,tfidf,0.76,0.48,0.31
7179,som,tfidf,0.88,0.5,0.47
7180,som,tfidf,0.74,0.47,0.38
7181,som,tfidf,0.87,0.48,0.43
7182,som,tfidf,0.86,0.48,0.51
7183,som,tfidf,0.78,0.45,0.44
7184,som,tfidf,0.8,0.46,0.38
7185,som,tfidf,0.86,0.47,0.44
7186,som,tfidf,0.8,0.49,0.42
7187,som,tfidf,0.89,0.48,0.52
7188,som,tfidf,0.75,0.45,0.39
7189,som,tfidf,0.74,0.5,0.36
7190,som,tfidf,0.83,0.45,0.4
7191,som,tfidf,0.77,0.47,0.39
7192,som,tfidf,0.83,0.47,0.45
7193,som,tfidf,0.87,0.5,0.5
7194,som,tfidf,0.82,0.47,0.44
7195,som,tfidf,0.83,0.48,0.45
7196,som,tfidf,0.89,0.5,0.48
7197,som,tfidf,0.76,0.49,0.3
7198,som,tfidf,0.88,0.49,0.46
7199,som,tfidf,0.84,0.47,0.44
