,DR,TM,accuracy_local,accuracy_global,perception
2249,tsne,bert,0.96,0.72,0.66
2250,tsne,bert,0.96,0.72,0.66
2251,tsne,bert,0.96,0.71,0.69
2252,tsne,bert,0.96,0.7,0.69
2253,tsne,bert,0.96,0.72,0.66
2254,tsne,bert,0.96,0.72,0.66
2255,tsne,bert,0.96,0.72,0.65
2256,tsne,bert,0.96,0.72,0.66
2257,tsne,bert,0.96,0.69,0.66
2258,tsne,bert,0.96,0.72,0.66
2259,tsne,bert,0.96,0.69,0.67
2260,tsne,bert,0.96,0.72,0.65
2261,tsne,bert,0.96,0.71,0.68
2262,tsne,bert,0.96,0.68,0.66
2263,tsne,bert,0.96,0.72,0.66
2264,tsne,bert,0.96,0.72,0.67
2265,tsne,bert,0.96,0.7,0.69
2266,tsne,bert,0.96,0.71,0.66
2267,tsne,bert,0.96,0.72,0.66
2268,tsne,bert,0.96,0.69,0.66
2269,tsne,bert,0.96,0.72,0.66
2270,tsne,bert,0.96,0.72,0.66
2271,tsne,bert,0.96,0.69,0.66
2272,tsne,bert,0.96,0.72,0.66
2273,tsne,bert,0.96,0.72,0.66
2274,tsne,bert,0.96,0.72,0.66
2275,tsne,bert,0.96,0.72,0.66
2276,tsne,bert,0.96,0.71,0.69
2277,tsne,bert,0.96,0.72,0.66
2278,tsne,bert,0.96,0.72,0.66
2279,tsne,bert,0.96,0.72,0.66
2280,tsne,bert,0.96,0.69,0.67
2281,tsne,bert,0.96,0.69,0.66
2282,tsne,bert,0.96,0.72,0.66
2283,tsne,bert,0.96,0.69,0.66
2284,tsne,bert,0.96,0.72,0.65
2285,tsne,bert,0.96,0.72,0.66
2286,tsne,bert,0.96,0.7,0.69
2287,tsne,bert,0.96,0.69,0.66
2288,tsne,bert,0.96,0.71,0.66
2289,tsne,bert,0.96,0.7,0.69
2290,tsne,bert,0.96,0.72,0.67
2291,tsne,bert,0.96,0.72,0.66
2292,tsne,bert,0.96,0.72,0.66
2293,tsne,bert,0.96,0.72,0.67
2294,tsne,bert,0.96,0.72,0.66
2295,tsne,bert,0.96,0.72,0.66
