,DR,TM,accuracy_local,accuracy_global,perception
36,tsne,lda_linear_combined,0.98,0.79,0.36
37,tsne,lda_linear_combined,0.98,0.8,0.35
38,tsne,lda_linear_combined,0.98,0.79,0.36
39,tsne,lda_linear_combined,0.98,0.8,0.35
40,tsne,lda_linear_combined,0.98,0.8,0.35
41,tsne,lda_linear_combined,0.98,0.79,0.35
42,tsne,lda_linear_combined,0.98,0.8,0.35
43,tsne,lda_linear_combined,0.98,0.8,0.35
44,tsne,lda_linear_combined,0.98,0.8,0.35
45,tsne,lda_linear_combined,0.98,0.8,0.36
46,tsne,lda_linear_combined,0.98,0.79,0.35
47,tsne,lda_linear_combined,0.98,0.8,0.35
48,tsne,lda_linear_combined,0.98,0.79,0.35
49,tsne,lda_linear_combined,0.98,0.8,0.35
50,tsne,lda_linear_combined,0.98,0.8,0.35
51,tsne,lda_linear_combined,0.98,0.8,0.36
52,tsne,lda_linear_combined,0.98,0.8,0.35
53,tsne,lda_linear_combined,0.97,0.79,0.35
54,tsne,lda_linear_combined,0.98,0.8,0.35
55,tsne,lda_linear_combined,0.98,0.8,0.35
56,tsne,lda_linear_combined,0.98,0.8,0.35
57,tsne,lda_linear_combined,0.98,0.8,0.35
58,tsne,lda_linear_combined,0.98,0.8,0.35
59,tsne,lda_linear_combined,0.98,0.8,0.35
60,tsne,lda_linear_combined,0.98,0.79,0.35
61,tsne,lda_linear_combined,0.98,0.79,0.35
62,tsne,lda_linear_combined,0.98,0.79,0.36
63,tsne,lda_linear_combined,0.97,0.79,0.36
64,tsne,lda_linear_combined,0.98,0.8,0.35
65,tsne,lda_linear_combined,0.98,0.79,0.36
66,tsne,lda_linear_combined,0.97,0.79,0.36
67,tsne,lda_linear_combined,0.98,0.8,0.35
68,tsne,lda_linear_combined,0.98,0.8,0.35
69,tsne,lda_linear_combined,0.98,0.8,0.36
70,tsne,lda_linear_combined,0.98,0.79,0.35
71,tsne,lda_linear_combined,0.98,0.8,0.35
72,tsne,lda_linear_combined,0.98,0.8,0.36
73,tsne,lda_linear_combined,0.98,0.8,0.35
74,tsne,lda_linear_combined,0.98,0.8,0.35
75,tsne,lda_linear_combined,0.97,0.79,0.35
76,tsne,lda_linear_combined,0.98,0.79,0.36
77,tsne,lda_linear_combined,0.98,0.79,0.35
78,tsne,lda_linear_combined,0.98,0.79,0.35
79,tsne,lda_linear_combined,0.98,0.79,0.35
80,tsne,lda_linear_combined,0.98,0.79,0.35
81,tsne,lda_linear_combined,0.98,0.79,0.35
82,tsne,lda_linear_combined,0.98,0.8,0.36
83,tsne,lda_linear_combined,0.98,0.79,0.35
84,tsne,lda_linear_combined,0.98,0.79,0.36
85,tsne,lda_linear_combined,0.97,0.77,0.34
86,tsne,lda_linear_combined,0.98,0.8,0.35
87,tsne,lda_linear_combined,0.98,0.79,0.36
88,tsne,lda_linear_combined,0.98,0.8,0.35
89,tsne,lda_linear_combined,0.97,0.79,0.35
90,tsne,lda_linear_combined,0.98,0.8,0.35
91,tsne,lda_linear_combined,0.98,0.79,0.35
92,tsne,lda_linear_combined,0.98,0.8,0.36
93,tsne,lda_linear_combined,0.98,0.8,0.35
94,tsne,lda_linear_combined,0.98,0.79,0.35
95,tsne,lda_linear_combined,0.97,0.79,0.35
96,tsne,lda_linear_combined,0.98,0.79,0.36
97,tsne,lda_linear_combined,0.98,0.79,0.36
98,tsne,lda_linear_combined,0.97,0.79,0.35
99,tsne,lda_linear_combined,0.97,0.79,0.35
100,tsne,lda_linear_combined,0.98,0.8,0.35
101,tsne,lda_linear_combined,0.98,0.8,0.35
102,tsne,lda_linear_combined,0.98,0.8,0.35
103,tsne,lda_linear_combined,0.98,0.79,0.35
104,tsne,lda_linear_combined,0.98,0.8,0.35
105,tsne,lda_linear_combined,0.98,0.79,0.36
106,tsne,lda_linear_combined,0.98,0.81,0.35
107,tsne,lda_linear_combined,0.98,0.8,0.35
108,tsne,lda_linear_combined,0.97,0.79,0.36
109,tsne,lda_linear_combined,0.97,0.79,0.35
110,tsne,lda_linear_combined,0.98,0.8,0.35
111,tsne,lda_linear_combined,0.97,0.79,0.35
112,tsne,lda_linear_combined,0.98,0.8,0.35
113,tsne,lda_linear_combined,0.98,0.79,0.36
114,tsne,lda_linear_combined,0.98,0.8,0.35
115,tsne,lda_linear_combined,0.98,0.8,0.35
116,tsne,lda_linear_combined,0.98,0.8,0.35
117,tsne,lda_linear_combined,0.97,0.79,0.36
118,tsne,lda_linear_combined,0.98,0.8,0.35
119,tsne,lda_linear_combined,0.98,0.79,0.35
120,tsne,lda_linear_combined,0.98,0.79,0.35
121,tsne,lda_linear_combined,0.98,0.79,0.35
122,tsne,lda_linear_combined,0.98,0.8,0.35
123,tsne,lda_linear_combined,0.98,0.79,0.36
124,tsne,lda_linear_combined,0.97,0.77,0.34
125,tsne,lda_linear_combined,0.98,0.79,0.35
126,tsne,lda_linear_combined,0.98,0.8,0.35
127,tsne,lda_linear_combined,0.97,0.79,0.35
128,tsne,lda_linear_combined,0.98,0.79,0.35
129,tsne,lda_linear_combined,0.98,0.8,0.36
130,tsne,lda_linear_combined,0.98,0.8,0.35
131,tsne,lda_linear_combined,0.98,0.79,0.36
132,tsne,lda_linear_combined,0.98,0.79,0.35
133,tsne,lda_linear_combined,0.98,0.8,0.35
134,tsne,lda_linear_combined,0.98,0.79,0.35
135,tsne,lda_linear_combined,0.98,0.79,0.36
136,tsne,lda_linear_combined,0.98,0.8,0.35
137,tsne,lda_linear_combined,0.98,0.8,0.35
138,tsne,lda_linear_combined,0.97,0.79,0.35
139,tsne,lda_linear_combined,0.97,0.79,0.35
140,tsne,lda_linear_combined,0.97,0.79,0.36
141,tsne,lda_linear_combined,0.98,0.79,0.35
142,tsne,lda_linear_combined,0.98,0.8,0.35
143,tsne,lda_linear_combined,0.98,0.79,0.36
144,tsne,lda_linear_combined,0.97,0.77,0.34
145,tsne,lda_linear_combined,0.98,0.8,0.35
146,tsne,lda_linear_combined,0.98,0.79,0.35
147,tsne,lda_linear_combined,0.98,0.8,0.35
148,tsne,lda_linear_combined,0.98,0.8,0.35
149,tsne,lda_linear_combined,0.97,0.79,0.36
150,tsne,lda_linear_combined,0.98,0.8,0.35
151,tsne,lda_linear_combined,0.98,0.79,0.35
152,tsne,lda_linear_combined,0.98,0.79,0.35
153,tsne,lda_linear_combined,0.98,0.8,0.35
154,tsne,lda_linear_combined,0.98,0.79,0.35
155,tsne,lda_linear_combined,0.97,0.77,0.34
156,tsne,lda_linear_combined,0.98,0.79,0.36
157,tsne,lda_linear_combined,0.98,0.79,0.36
158,tsne,lda_linear_combined,0.97,0.79,0.36
159,tsne,lda_linear_combined,0.97,0.79,0.35
160,tsne,lda_linear_combined,0.98,0.8,0.35
161,tsne,lda_linear_combined,0.98,0.79,0.36
162,tsne,lda_linear_combined,0.98,0.8,0.35
163,tsne,lda_linear_combined,0.98,0.8,0.35
164,tsne,lda_linear_combined,0.98,0.8,0.35
165,tsne,lda_linear_combined,0.98,0.79,0.35
166,tsne,lda_linear_combined,0.98,0.8,0.35
167,tsne,lda_linear_combined,0.98,0.8,0.35
168,tsne,lda_linear_combined,0.98,0.79,0.35
169,tsne,lda_linear_combined,0.98,0.79,0.36
170,tsne,lda_linear_combined,0.98,0.79,0.36
171,tsne,lda_linear_combined,0.98,0.8,0.35
172,tsne,lda_linear_combined,0.98,0.8,0.35
173,tsne,lda_linear_combined,0.98,0.8,0.35
174,tsne,lda_linear_combined,0.98,0.8,0.35
175,tsne,lda_linear_combined,0.98,0.79,0.36
176,tsne,lda_linear_combined,0.97,0.79,0.35
177,tsne,lda_linear_combined,0.98,0.8,0.35
178,tsne,lda_linear_combined,0.98,0.8,0.35
179,tsne,lda_linear_combined,0.98,0.79,0.36
3808,tsne,lda_linear_combined,0.96,0.65,0.44
3809,tsne,lda_linear_combined,0.99,0.72,0.45
3810,tsne,lda_linear_combined,0.99,0.74,0.42
3811,tsne,lda_linear_combined,0.99,0.81,0.45
3812,tsne,lda_linear_combined,0.99,0.8,0.47
3813,tsne,lda_linear_combined,0.99,0.8,0.49
3814,tsne,lda_linear_combined,0.96,0.65,0.47
3815,tsne,lda_linear_combined,0.96,0.64,0.47
3816,tsne,lda_linear_combined,0.99,0.8,0.48
3817,tsne,lda_linear_combined,0.99,0.81,0.49
3818,tsne,lda_linear_combined,0.99,0.81,0.47
3819,tsne,lda_linear_combined,0.99,0.76,0.39
3820,tsne,lda_linear_combined,0.99,0.81,0.47
3821,tsne,lda_linear_combined,0.99,0.76,0.39
3822,tsne,lda_linear_combined,0.99,0.72,0.38
3823,tsne,lda_linear_combined,0.99,0.81,0.48
3824,tsne,lda_linear_combined,0.99,0.81,0.47
3825,tsne,lda_linear_combined,0.96,0.65,0.45
3826,tsne,lda_linear_combined,0.99,0.81,0.48
3827,tsne,lda_linear_combined,0.99,0.8,0.49
3828,tsne,lda_linear_combined,0.99,0.8,0.48
3829,tsne,lda_linear_combined,0.99,0.81,0.49
3830,tsne,lda_linear_combined,0.96,0.65,0.43
3831,tsne,lda_linear_combined,0.99,0.81,0.47
3832,tsne,lda_linear_combined,0.96,0.65,0.44
3833,tsne,lda_linear_combined,0.99,0.8,0.49
3834,tsne,lda_linear_combined,0.99,0.81,0.45
3835,tsne,lda_linear_combined,0.99,0.81,0.47
3836,tsne,lda_linear_combined,0.99,0.81,0.47
3837,tsne,lda_linear_combined,0.99,0.8,0.49
3838,tsne,lda_linear_combined,0.96,0.64,0.42
3839,tsne,lda_linear_combined,0.99,0.81,0.48
3840,tsne,lda_linear_combined,0.99,0.8,0.49
3841,tsne,lda_linear_combined,0.99,0.8,0.49
3842,tsne,lda_linear_combined,0.99,0.72,0.38
3843,tsne,lda_linear_combined,0.96,0.64,0.43
3844,tsne,lda_linear_combined,0.99,0.8,0.49
3845,tsne,lda_linear_combined,0.99,0.81,0.48
3846,tsne,lda_linear_combined,0.96,0.64,0.43
3847,tsne,lda_linear_combined,0.99,0.8,0.46
3848,tsne,lda_linear_combined,0.99,0.73,0.42
3849,tsne,lda_linear_combined,0.99,0.79,0.43
3850,tsne,lda_linear_combined,0.96,0.65,0.43
3851,tsne,lda_linear_combined,0.99,0.76,0.43
3852,tsne,lda_linear_combined,0.96,0.65,0.44
3853,tsne,lda_linear_combined,0.99,0.8,0.46
3854,tsne,lda_linear_combined,0.99,0.8,0.49
3855,tsne,lda_linear_combined,0.99,0.81,0.47
3856,tsne,lda_linear_combined,0.99,0.81,0.48
3857,tsne,lda_linear_combined,0.99,0.81,0.49
3858,tsne,lda_linear_combined,0.99,0.8,0.49
3859,tsne,lda_linear_combined,0.96,0.65,0.44
3860,tsne,lda_linear_combined,0.99,0.81,0.46
3861,tsne,lda_linear_combined,0.99,0.8,0.49
3862,tsne,lda_linear_combined,0.99,0.81,0.46
3863,tsne,lda_linear_combined,0.99,0.81,0.48
3864,tsne,lda_linear_combined,0.99,0.8,0.49
3865,tsne,lda_linear_combined,0.99,0.8,0.46
3866,tsne,lda_linear_combined,0.99,0.81,0.48
3867,tsne,lda_linear_combined,0.96,0.64,0.44
3868,tsne,lda_linear_combined,0.99,0.8,0.49
3869,tsne,lda_linear_combined,0.99,0.8,0.48
3870,tsne,lda_linear_combined,0.99,0.72,0.38
3871,tsne,lda_linear_combined,0.99,0.8,0.46
3872,tsne,lda_linear_combined,0.99,0.8,0.49
3873,tsne,lda_linear_combined,0.96,0.64,0.43
3874,tsne,lda_linear_combined,0.99,0.81,0.48
3875,tsne,lda_linear_combined,0.99,0.81,0.48
3876,tsne,lda_linear_combined,0.99,0.76,0.43
3877,tsne,lda_linear_combined,0.99,0.81,0.47
3878,tsne,lda_linear_combined,0.99,0.81,0.48
3879,tsne,lda_linear_combined,0.99,0.74,0.43
3880,tsne,lda_linear_combined,0.99,0.81,0.48
3881,tsne,lda_linear_combined,0.99,0.81,0.49
3882,tsne,lda_linear_combined,0.99,0.81,0.47
3883,tsne,lda_linear_combined,0.99,0.81,0.48
3884,tsne,lda_linear_combined,0.99,0.81,0.47
3885,tsne,lda_linear_combined,0.99,0.81,0.48
3886,tsne,lda_linear_combined,0.99,0.8,0.46
3887,tsne,lda_linear_combined,0.96,0.64,0.47
3888,tsne,lda_linear_combined,0.99,0.73,0.42
3889,tsne,lda_linear_combined,0.99,0.81,0.48
3890,tsne,lda_linear_combined,0.99,0.81,0.49
3891,tsne,lda_linear_combined,0.99,0.81,0.48
3892,tsne,lda_linear_combined,0.99,0.76,0.39
3893,tsne,lda_linear_combined,0.99,0.8,0.47
3894,tsne,lda_linear_combined,0.96,0.65,0.44
3895,tsne,lda_linear_combined,0.99,0.79,0.43
3896,tsne,lda_linear_combined,0.99,0.81,0.49
3897,tsne,lda_linear_combined,0.99,0.8,0.49
3898,tsne,lda_linear_combined,0.99,0.81,0.47
3899,tsne,lda_linear_combined,0.99,0.81,0.48
3900,tsne,lda_linear_combined,0.99,0.81,0.46
3901,tsne,lda_linear_combined,0.99,0.74,0.41
3902,tsne,lda_linear_combined,0.96,0.64,0.47
3903,tsne,lda_linear_combined,0.96,0.66,0.47
3904,tsne,lda_linear_combined,0.99,0.81,0.48
3905,tsne,lda_linear_combined,0.99,0.8,0.48
3906,tsne,lda_linear_combined,0.99,0.76,0.4
3907,tsne,lda_linear_combined,0.99,0.81,0.49
3908,tsne,lda_linear_combined,0.99,0.8,0.49
3909,tsne,lda_linear_combined,0.99,0.8,0.47
3910,tsne,lda_linear_combined,0.99,0.81,0.48
3911,tsne,lda_linear_combined,0.99,0.8,0.49
3912,tsne,lda_linear_combined,0.99,0.81,0.49
3913,tsne,lda_linear_combined,0.99,0.8,0.49
3914,tsne,lda_linear_combined,0.99,0.81,0.49
3915,tsne,lda_linear_combined,0.96,0.66,0.47
3916,tsne,lda_linear_combined,0.96,0.65,0.43
3917,tsne,lda_linear_combined,0.99,0.81,0.48
3918,tsne,lda_linear_combined,0.99,0.8,0.49
3919,tsne,lda_linear_combined,0.99,0.81,0.48
3920,tsne,lda_linear_combined,0.99,0.72,0.45
3921,tsne,lda_linear_combined,0.99,0.81,0.46
3922,tsne,lda_linear_combined,0.99,0.8,0.46
3923,tsne,lda_linear_combined,0.99,0.81,0.48
3924,tsne,lda_linear_combined,0.96,0.65,0.44
3925,tsne,lda_linear_combined,0.99,0.79,0.43
3926,tsne,lda_linear_combined,0.99,0.81,0.48
3927,tsne,lda_linear_combined,0.99,0.77,0.44
3928,tsne,lda_linear_combined,0.96,0.64,0.44
3929,tsne,lda_linear_combined,0.99,0.81,0.48
3930,tsne,lda_linear_combined,0.99,0.81,0.47
3931,tsne,lda_linear_combined,0.99,0.72,0.38
3932,tsne,lda_linear_combined,0.99,0.81,0.48
3933,tsne,lda_linear_combined,0.99,0.79,0.43
3934,tsne,lda_linear_combined,0.99,0.81,0.48
3935,tsne,lda_linear_combined,0.99,0.72,0.46
3936,tsne,lda_linear_combined,0.99,0.81,0.48
3937,tsne,lda_linear_combined,0.99,0.73,0.42
3938,tsne,lda_linear_combined,0.99,0.74,0.42
3939,tsne,lda_linear_combined,0.99,0.76,0.43
3940,tsne,lda_linear_combined,0.99,0.74,0.42
3941,tsne,lda_linear_combined,0.99,0.72,0.46
3942,tsne,lda_linear_combined,0.99,0.8,0.48
3943,tsne,lda_linear_combined,0.99,0.81,0.45
3944,tsne,lda_linear_combined,0.96,0.64,0.47
3945,tsne,lda_linear_combined,0.99,0.81,0.48
3946,tsne,lda_linear_combined,0.99,0.81,0.48
3947,tsne,lda_linear_combined,0.99,0.8,0.48
3948,tsne,lda_linear_combined,0.99,0.81,0.44
3949,tsne,lda_linear_combined,0.96,0.65,0.47
3950,tsne,lda_linear_combined,0.99,0.81,0.49
3951,tsne,lda_linear_combined,0.99,0.81,0.48
7429,tsne,lda_linear_combined,0.98,0.74,0.54
7430,tsne,lda_linear_combined,0.98,0.73,0.53
7431,tsne,lda_linear_combined,0.98,0.75,0.52
7432,tsne,lda_linear_combined,0.98,0.74,0.53
7433,tsne,lda_linear_combined,0.98,0.69,0.53
7434,tsne,lda_linear_combined,0.98,0.72,0.5
7435,tsne,lda_linear_combined,0.98,0.75,0.52
7436,tsne,lda_linear_combined,0.97,0.66,0.5
7437,tsne,lda_linear_combined,0.98,0.75,0.52
7438,tsne,lda_linear_combined,0.98,0.75,0.52
7439,tsne,lda_linear_combined,0.98,0.73,0.52
7440,tsne,lda_linear_combined,0.96,0.65,0.46
7441,tsne,lda_linear_combined,0.98,0.74,0.52
7442,tsne,lda_linear_combined,0.98,0.69,0.52
7443,tsne,lda_linear_combined,0.97,0.67,0.49
7444,tsne,lda_linear_combined,0.98,0.74,0.52
7445,tsne,lda_linear_combined,0.98,0.74,0.52
7446,tsne,lda_linear_combined,0.95,0.64,0.47
7447,tsne,lda_linear_combined,0.98,0.74,0.53
7448,tsne,lda_linear_combined,0.98,0.74,0.53
7449,tsne,lda_linear_combined,0.96,0.65,0.46
7450,tsne,lda_linear_combined,0.98,0.75,0.52
7451,tsne,lda_linear_combined,0.98,0.74,0.53
7452,tsne,lda_linear_combined,0.98,0.75,0.52
7453,tsne,lda_linear_combined,0.98,0.74,0.53
7454,tsne,lda_linear_combined,0.98,0.75,0.52
7455,tsne,lda_linear_combined,0.98,0.74,0.52
7456,tsne,lda_linear_combined,0.98,0.75,0.52
7457,tsne,lda_linear_combined,0.98,0.72,0.5
7458,tsne,lda_linear_combined,0.98,0.74,0.52
7459,tsne,lda_linear_combined,0.98,0.75,0.52
7460,tsne,lda_linear_combined,0.98,0.68,0.53
7461,tsne,lda_linear_combined,0.98,0.74,0.52
7462,tsne,lda_linear_combined,0.98,0.74,0.52
7463,tsne,lda_linear_combined,0.98,0.74,0.52
7464,tsne,lda_linear_combined,0.98,0.75,0.52
7465,tsne,lda_linear_combined,0.98,0.69,0.54
7466,tsne,lda_linear_combined,0.97,0.66,0.5
7467,tsne,lda_linear_combined,0.96,0.65,0.5
