,DR,TM,accuracy_local,accuracy_global,perception
923,tsne,lsi,0.97,0.81,0.36
924,tsne,lsi,0.97,0.81,0.36
925,tsne,lsi,0.97,0.81,0.35
926,tsne,lsi,0.97,0.8,0.35
927,tsne,lsi,0.97,0.81,0.36
928,tsne,lsi,0.97,0.81,0.35
929,tsne,lsi,0.97,0.81,0.36
930,tsne,lsi,0.97,0.81,0.36
931,tsne,lsi,0.97,0.8,0.36
932,tsne,lsi,0.97,0.81,0.35
933,tsne,lsi,0.97,0.81,0.36
934,tsne,lsi,0.97,0.81,0.36
935,tsne,lsi,0.97,0.81,0.36
936,tsne,lsi,0.97,0.81,0.35
937,tsne,lsi,0.97,0.81,0.35
938,tsne,lsi,0.97,0.8,0.35
939,tsne,lsi,0.97,0.81,0.36
940,tsne,lsi,0.97,0.81,0.36
941,tsne,lsi,0.97,0.81,0.35
942,tsne,lsi,0.97,0.8,0.36
943,tsne,lsi,0.97,0.81,0.36
944,tsne,lsi,0.97,0.81,0.35
945,tsne,lsi,0.97,0.81,0.36
946,tsne,lsi,0.97,0.81,0.36
947,tsne,lsi,0.97,0.79,0.35
948,tsne,lsi,0.97,0.8,0.36
949,tsne,lsi,0.97,0.8,0.35
950,tsne,lsi,0.97,0.8,0.35
951,tsne,lsi,0.97,0.81,0.36
952,tsne,lsi,0.97,0.8,0.35
953,tsne,lsi,0.97,0.81,0.36
954,tsne,lsi,0.97,0.81,0.36
955,tsne,lsi,0.97,0.81,0.35
956,tsne,lsi,0.97,0.8,0.36
957,tsne,lsi,0.97,0.81,0.36
958,tsne,lsi,0.97,0.8,0.35
959,tsne,lsi,0.97,0.8,0.36
960,tsne,lsi,0.97,0.8,0.36
961,tsne,lsi,0.97,0.81,0.35
962,tsne,lsi,0.97,0.79,0.35
963,tsne,lsi,0.97,0.81,0.36
964,tsne,lsi,0.97,0.81,0.36
965,tsne,lsi,0.97,0.81,0.35
966,tsne,lsi,0.97,0.8,0.35
967,tsne,lsi,0.97,0.81,0.36
968,tsne,lsi,0.97,0.79,0.35
969,tsne,lsi,0.97,0.81,0.35
970,tsne,lsi,0.97,0.81,0.36
971,tsne,lsi,0.97,0.81,0.35
972,tsne,lsi,0.97,0.81,0.36
973,tsne,lsi,0.97,0.81,0.36
974,tsne,lsi,0.97,0.81,0.36
975,tsne,lsi,0.97,0.81,0.36
976,tsne,lsi,0.97,0.8,0.36
977,tsne,lsi,0.97,0.81,0.36
978,tsne,lsi,0.97,0.81,0.35
