,DR,TM,accuracy_local,accuracy_global,perception
479,tsne,lsi_linear_combined,0.97,0.79,0.35
480,tsne,lsi_linear_combined,0.97,0.8,0.36
481,tsne,lsi_linear_combined,0.97,0.8,0.35
482,tsne,lsi_linear_combined,0.97,0.8,0.36
483,tsne,lsi_linear_combined,0.97,0.8,0.36
484,tsne,lsi_linear_combined,0.97,0.8,0.36
485,tsne,lsi_linear_combined,0.97,0.8,0.35
486,tsne,lsi_linear_combined,0.97,0.8,0.36
487,tsne,lsi_linear_combined,0.97,0.8,0.36
488,tsne,lsi_linear_combined,0.97,0.81,0.36
489,tsne,lsi_linear_combined,0.97,0.81,0.36
490,tsne,lsi_linear_combined,0.97,0.81,0.36
491,tsne,lsi_linear_combined,0.97,0.81,0.36
492,tsne,lsi_linear_combined,0.97,0.81,0.35
493,tsne,lsi_linear_combined,0.97,0.81,0.35
494,tsne,lsi_linear_combined,0.97,0.81,0.35
495,tsne,lsi_linear_combined,0.97,0.81,0.36
496,tsne,lsi_linear_combined,0.97,0.8,0.35
497,tsne,lsi_linear_combined,0.97,0.8,0.35
498,tsne,lsi_linear_combined,0.97,0.8,0.36
499,tsne,lsi_linear_combined,0.97,0.81,0.35
500,tsne,lsi_linear_combined,0.97,0.81,0.36
501,tsne,lsi_linear_combined,0.97,0.81,0.36
502,tsne,lsi_linear_combined,0.97,0.8,0.36
503,tsne,lsi_linear_combined,0.97,0.81,0.36
504,tsne,lsi_linear_combined,0.97,0.81,0.36
505,tsne,lsi_linear_combined,0.97,0.81,0.34
506,tsne,lsi_linear_combined,0.97,0.8,0.35
507,tsne,lsi_linear_combined,0.97,0.8,0.36
508,tsne,lsi_linear_combined,0.97,0.8,0.35
509,tsne,lsi_linear_combined,0.97,0.8,0.35
510,tsne,lsi_linear_combined,0.97,0.81,0.35
511,tsne,lsi_linear_combined,0.97,0.81,0.35
512,tsne,lsi_linear_combined,0.97,0.81,0.35
513,tsne,lsi_linear_combined,0.97,0.8,0.36
514,tsne,lsi_linear_combined,0.97,0.8,0.35
515,tsne,lsi_linear_combined,0.97,0.8,0.36
516,tsne,lsi_linear_combined,0.97,0.8,0.35
517,tsne,lsi_linear_combined,0.97,0.8,0.35
518,tsne,lsi_linear_combined,0.97,0.8,0.36
519,tsne,lsi_linear_combined,0.97,0.81,0.36
520,tsne,lsi_linear_combined,0.97,0.81,0.36
521,tsne,lsi_linear_combined,0.97,0.81,0.36
522,tsne,lsi_linear_combined,0.97,0.8,0.35
523,tsne,lsi_linear_combined,0.97,0.8,0.35
524,tsne,lsi_linear_combined,0.97,0.8,0.35
525,tsne,lsi_linear_combined,0.97,0.81,0.35
526,tsne,lsi_linear_combined,0.97,0.79,0.35
527,tsne,lsi_linear_combined,0.97,0.8,0.36
528,tsne,lsi_linear_combined,0.97,0.8,0.36
529,tsne,lsi_linear_combined,0.97,0.81,0.35
530,tsne,lsi_linear_combined,0.97,0.81,0.36
531,tsne,lsi_linear_combined,0.97,0.81,0.36
532,tsne,lsi_linear_combined,0.97,0.81,0.36
533,tsne,lsi_linear_combined,0.97,0.81,0.35
534,tsne,lsi_linear_combined,0.97,0.8,0.36
535,tsne,lsi_linear_combined,0.97,0.81,0.35
536,tsne,lsi_linear_combined,0.97,0.79,0.35
537,tsne,lsi_linear_combined,0.97,0.8,0.36
538,tsne,lsi_linear_combined,0.97,0.81,0.35
539,tsne,lsi_linear_combined,0.97,0.8,0.36
540,tsne,lsi_linear_combined,0.97,0.8,0.35
541,tsne,lsi_linear_combined,0.97,0.8,0.35
542,tsne,lsi_linear_combined,0.97,0.81,0.36
543,tsne,lsi_linear_combined,0.97,0.81,0.36
544,tsne,lsi_linear_combined,0.97,0.81,0.36
545,tsne,lsi_linear_combined,0.97,0.81,0.36
546,tsne,lsi_linear_combined,0.97,0.79,0.35
547,tsne,lsi_linear_combined,0.97,0.81,0.36
548,tsne,lsi_linear_combined,0.97,0.81,0.35
549,tsne,lsi_linear_combined,0.97,0.8,0.35
550,tsne,lsi_linear_combined,0.97,0.79,0.35
551,tsne,lsi_linear_combined,0.97,0.8,0.35
552,tsne,lsi_linear_combined,0.97,0.81,0.36
553,tsne,lsi_linear_combined,0.97,0.81,0.35
554,tsne,lsi_linear_combined,0.97,0.8,0.35
555,tsne,lsi_linear_combined,0.97,0.8,0.36
556,tsne,lsi_linear_combined,0.97,0.81,0.36
557,tsne,lsi_linear_combined,0.97,0.81,0.36
558,tsne,lsi_linear_combined,0.97,0.8,0.35
559,tsne,lsi_linear_combined,0.97,0.81,0.36
560,tsne,lsi_linear_combined,0.97,0.81,0.35
561,tsne,lsi_linear_combined,0.97,0.8,0.35
562,tsne,lsi_linear_combined,0.97,0.81,0.36
563,tsne,lsi_linear_combined,0.97,0.81,0.36
564,tsne,lsi_linear_combined,0.97,0.81,0.36
565,tsne,lsi_linear_combined,0.97,0.8,0.36
566,tsne,lsi_linear_combined,0.97,0.81,0.36
567,tsne,lsi_linear_combined,0.97,0.81,0.36
568,tsne,lsi_linear_combined,0.97,0.81,0.36
569,tsne,lsi_linear_combined,0.97,0.8,0.35
570,tsne,lsi_linear_combined,0.97,0.81,0.36
571,tsne,lsi_linear_combined,0.97,0.8,0.36
572,tsne,lsi_linear_combined,0.97,0.79,0.35
573,tsne,lsi_linear_combined,0.97,0.81,0.36
574,tsne,lsi_linear_combined,0.97,0.81,0.36
575,tsne,lsi_linear_combined,0.97,0.81,0.36
576,tsne,lsi_linear_combined,0.97,0.79,0.35
577,tsne,lsi_linear_combined,0.97,0.81,0.35
578,tsne,lsi_linear_combined,0.97,0.8,0.36
579,tsne,lsi_linear_combined,0.97,0.8,0.35
580,tsne,lsi_linear_combined,0.97,0.81,0.36
581,tsne,lsi_linear_combined,0.97,0.81,0.35
