,DR,TM,accuracy_local,accuracy_global,perception
1145,tsne,lsi_tfidf,0.99,0.76,0.6
1146,tsne,lsi_tfidf,0.98,0.75,0.58
1147,tsne,lsi_tfidf,0.99,0.76,0.6
1148,tsne,lsi_tfidf,0.99,0.76,0.61
1149,tsne,lsi_tfidf,0.99,0.76,0.6
1150,tsne,lsi_tfidf,0.99,0.75,0.6
1151,tsne,lsi_tfidf,0.98,0.76,0.58
1152,tsne,lsi_tfidf,0.99,0.76,0.61
1153,tsne,lsi_tfidf,0.99,0.76,0.6
1154,tsne,lsi_tfidf,0.99,0.75,0.61
1155,tsne,lsi_tfidf,0.99,0.76,0.6
1156,tsne,lsi_tfidf,0.98,0.75,0.58
1157,tsne,lsi_tfidf,0.98,0.75,0.59
1158,tsne,lsi_tfidf,0.99,0.76,0.6
1159,tsne,lsi_tfidf,0.99,0.76,0.6
1160,tsne,lsi_tfidf,0.99,0.75,0.61
1161,tsne,lsi_tfidf,0.99,0.75,0.61
1162,tsne,lsi_tfidf,0.99,0.76,0.6
1163,tsne,lsi_tfidf,0.98,0.75,0.57
1164,tsne,lsi_tfidf,0.99,0.75,0.61
1165,tsne,lsi_tfidf,0.98,0.73,0.59
1166,tsne,lsi_tfidf,0.99,0.75,0.61
1167,tsne,lsi_tfidf,0.99,0.76,0.6
1168,tsne,lsi_tfidf,0.98,0.76,0.6
1169,tsne,lsi_tfidf,0.99,0.76,0.59
1170,tsne,lsi_tfidf,0.99,0.75,0.59
1171,tsne,lsi_tfidf,0.99,0.76,0.58
1172,tsne,lsi_tfidf,0.98,0.75,0.56
1173,tsne,lsi_tfidf,0.99,0.75,0.61
1174,tsne,lsi_tfidf,0.99,0.75,0.61
1175,tsne,lsi_tfidf,0.99,0.75,0.61
1176,tsne,lsi_tfidf,0.99,0.75,0.6
1177,tsne,lsi_tfidf,0.99,0.76,0.59
1178,tsne,lsi_tfidf,0.98,0.75,0.56
1179,tsne,lsi_tfidf,0.99,0.76,0.6
1180,tsne,lsi_tfidf,0.98,0.75,0.59
1181,tsne,lsi_tfidf,0.99,0.76,0.6
1182,tsne,lsi_tfidf,0.99,0.76,0.6
1183,tsne,lsi_tfidf,0.99,0.76,0.6
1184,tsne,lsi_tfidf,0.99,0.76,0.6
1185,tsne,lsi_tfidf,0.99,0.75,0.6
1186,tsne,lsi_tfidf,0.99,0.75,0.61
1187,tsne,lsi_tfidf,0.99,0.75,0.6
1188,tsne,lsi_tfidf,0.99,0.76,0.6
1189,tsne,lsi_tfidf,0.98,0.76,0.59
1190,tsne,lsi_tfidf,0.99,0.75,0.6
1191,tsne,lsi_tfidf,0.99,0.76,0.6
1192,tsne,lsi_tfidf,0.99,0.76,0.6
1193,tsne,lsi_tfidf,0.99,0.76,0.61
1194,tsne,lsi_tfidf,0.99,0.75,0.61
1195,tsne,lsi_tfidf,0.99,0.75,0.61
1196,tsne,lsi_tfidf,0.99,0.75,0.61
1197,tsne,lsi_tfidf,0.99,0.76,0.6
1198,tsne,lsi_tfidf,0.98,0.76,0.6
1199,tsne,lsi_tfidf,0.99,0.75,0.61
1200,tsne,lsi_tfidf,0.99,0.76,0.6
1201,tsne,lsi_tfidf,0.99,0.75,0.6
1202,tsne,lsi_tfidf,0.98,0.73,0.59
1203,tsne,lsi_tfidf,0.99,0.76,0.6
1204,tsne,lsi_tfidf,0.99,0.75,0.61
1205,tsne,lsi_tfidf,0.99,0.75,0.61
1206,tsne,lsi_tfidf,0.99,0.76,0.6
1207,tsne,lsi_tfidf,0.98,0.76,0.58
1208,tsne,lsi_tfidf,0.99,0.75,0.61
1209,tsne,lsi_tfidf,0.98,0.75,0.58
1210,tsne,lsi_tfidf,0.99,0.76,0.61
1211,tsne,lsi_tfidf,0.99,0.75,0.61
1212,tsne,lsi_tfidf,0.99,0.75,0.59
1213,tsne,lsi_tfidf,0.99,0.75,0.6
1214,tsne,lsi_tfidf,0.99,0.75,0.61
1215,tsne,lsi_tfidf,0.98,0.76,0.57
1216,tsne,lsi_tfidf,0.99,0.76,0.61
1217,tsne,lsi_tfidf,0.99,0.76,0.6
1218,tsne,lsi_tfidf,0.99,0.76,0.6
1219,tsne,lsi_tfidf,0.99,0.75,0.61
1220,tsne,lsi_tfidf,0.99,0.76,0.6
1221,tsne,lsi_tfidf,0.98,0.75,0.59
1222,tsne,lsi_tfidf,0.99,0.76,0.6
1223,tsne,lsi_tfidf,0.99,0.75,0.61
1224,tsne,lsi_tfidf,0.98,0.75,0.58
1225,tsne,lsi_tfidf,0.99,0.76,0.6
1226,tsne,lsi_tfidf,0.99,0.75,0.6
1227,tsne,lsi_tfidf,0.99,0.75,0.6
1228,tsne,lsi_tfidf,0.99,0.75,0.61
1229,tsne,lsi_tfidf,0.99,0.76,0.61
1230,tsne,lsi_tfidf,0.99,0.74,0.61
1231,tsne,lsi_tfidf,0.99,0.75,0.6
1232,tsne,lsi_tfidf,0.99,0.75,0.61
1233,tsne,lsi_tfidf,0.99,0.76,0.6
1234,tsne,lsi_tfidf,0.99,0.75,0.6
1235,tsne,lsi_tfidf,0.99,0.76,0.6
1236,tsne,lsi_tfidf,0.99,0.75,0.6
1237,tsne,lsi_tfidf,0.99,0.76,0.6
1238,tsne,lsi_tfidf,0.99,0.75,0.61
1239,tsne,lsi_tfidf,0.99,0.76,0.61
1240,tsne,lsi_tfidf,0.99,0.76,0.6
1241,tsne,lsi_tfidf,0.98,0.76,0.59
1242,tsne,lsi_tfidf,0.98,0.76,0.58
1243,tsne,lsi_tfidf,0.99,0.76,0.61
1244,tsne,lsi_tfidf,0.99,0.75,0.61
1245,tsne,lsi_tfidf,0.98,0.73,0.59
1246,tsne,lsi_tfidf,0.99,0.75,0.59
1247,tsne,lsi_tfidf,0.99,0.76,0.6
1248,tsne,lsi_tfidf,0.99,0.76,0.6
1249,tsne,lsi_tfidf,0.99,0.76,0.6
1250,tsne,lsi_tfidf,0.99,0.75,0.61
1251,tsne,lsi_tfidf,0.99,0.76,0.6
1252,tsne,lsi_tfidf,0.99,0.75,0.6
1253,tsne,lsi_tfidf,0.99,0.75,0.6
1254,tsne,lsi_tfidf,0.99,0.76,0.6
1255,tsne,lsi_tfidf,0.99,0.75,0.6
1256,tsne,lsi_tfidf,0.99,0.76,0.6
1257,tsne,lsi_tfidf,0.99,0.76,0.6
1258,tsne,lsi_tfidf,0.99,0.75,0.59
1259,tsne,lsi_tfidf,0.99,0.76,0.6
