,DR,TM,accuracy_local,accuracy_global,perception
701,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.6
702,tsne,lsi_tfidf_linear_combined,0.99,0.74,0.61
703,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
704,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.59
705,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.6
706,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
707,tsne,lsi_tfidf_linear_combined,0.98,0.76,0.57
708,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.6
709,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.59
710,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.6
711,tsne,lsi_tfidf_linear_combined,0.98,0.76,0.6
712,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.61
713,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.6
714,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
715,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.6
716,tsne,lsi_tfidf_linear_combined,0.98,0.73,0.59
717,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
718,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
719,tsne,lsi_tfidf_linear_combined,0.98,0.76,0.58
720,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
721,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
722,tsne,lsi_tfidf_linear_combined,0.98,0.75,0.59
723,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.6
724,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.6
725,tsne,lsi_tfidf_linear_combined,0.98,0.75,0.58
726,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.6
727,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
728,tsne,lsi_tfidf_linear_combined,0.98,0.76,0.59
729,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
730,tsne,lsi_tfidf_linear_combined,0.98,0.76,0.58
731,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.6
732,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
733,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.6
734,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
735,tsne,lsi_tfidf_linear_combined,0.98,0.75,0.59
736,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.6
737,tsne,lsi_tfidf_linear_combined,0.98,0.73,0.59
738,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.61
739,tsne,lsi_tfidf_linear_combined,0.99,0.76,0.6
740,tsne,lsi_tfidf_linear_combined,0.99,0.75,0.6
