,DR,TM,accuracy_local,accuracy_global,perception
1810,tsne,nmf,0.98,0.8,0.26
1811,tsne,nmf,0.98,0.8,0.26
1812,tsne,nmf,0.98,0.8,0.26
1813,tsne,nmf,0.98,0.8,0.26
1814,tsne,nmf,0.98,0.8,0.26
1815,tsne,nmf,0.97,0.8,0.27
1816,tsne,nmf,0.98,0.8,0.26
1817,tsne,nmf,0.98,0.8,0.26
1818,tsne,nmf,0.98,0.8,0.26
1819,tsne,nmf,0.98,0.8,0.26
1820,tsne,nmf,0.98,0.8,0.26
1821,tsne,nmf,0.98,0.8,0.26
1822,tsne,nmf,0.98,0.8,0.26
1823,tsne,nmf,0.98,0.8,0.26
1824,tsne,nmf,0.98,0.8,0.26
1825,tsne,nmf,0.98,0.8,0.26
1826,tsne,nmf,0.98,0.8,0.26
1827,tsne,nmf,0.98,0.8,0.26
1828,tsne,nmf,0.98,0.8,0.26
1829,tsne,nmf,0.98,0.8,0.26
1830,tsne,nmf,0.97,0.81,0.27
1831,tsne,nmf,0.98,0.8,0.26
1832,tsne,nmf,0.98,0.8,0.26
1833,tsne,nmf,0.98,0.8,0.26
1834,tsne,nmf,0.97,0.81,0.27
1835,tsne,nmf,0.98,0.8,0.26
1836,tsne,nmf,0.98,0.8,0.26
1837,tsne,nmf,0.98,0.8,0.26
1838,tsne,nmf,0.97,0.8,0.26
1839,tsne,nmf,0.98,0.8,0.26
1840,tsne,nmf,0.98,0.8,0.26
1841,tsne,nmf,0.98,0.8,0.26
1842,tsne,nmf,0.98,0.8,0.26
1843,tsne,nmf,0.98,0.8,0.26
1844,tsne,nmf,0.98,0.8,0.26
1845,tsne,nmf,0.98,0.8,0.27
1846,tsne,nmf,0.98,0.8,0.26
1847,tsne,nmf,0.98,0.8,0.26
1848,tsne,nmf,0.98,0.8,0.26
1849,tsne,nmf,0.98,0.8,0.26
1850,tsne,nmf,0.98,0.8,0.26
1851,tsne,nmf,0.98,0.8,0.26
1852,tsne,nmf,0.98,0.8,0.26
1853,tsne,nmf,0.98,0.8,0.26
1854,tsne,nmf,0.98,0.8,0.26
1855,tsne,nmf,0.97,0.8,0.27
1856,tsne,nmf,0.98,0.8,0.26
1857,tsne,nmf,0.98,0.8,0.26
1858,tsne,nmf,0.98,0.8,0.26
1859,tsne,nmf,0.98,0.8,0.26
1860,tsne,nmf,0.98,0.8,0.27
1861,tsne,nmf,0.98,0.8,0.27
1862,tsne,nmf,0.98,0.8,0.26
1863,tsne,nmf,0.98,0.8,0.26
1864,tsne,nmf,0.98,0.8,0.26
