,DR,TM,accuracy_local,accuracy_global,perception
1366,tsne,nmf_linear_combined,0.98,0.84,0.26
1367,tsne,nmf_linear_combined,0.98,0.83,0.26
1368,tsne,nmf_linear_combined,0.98,0.84,0.26
1369,tsne,nmf_linear_combined,0.98,0.84,0.26
1370,tsne,nmf_linear_combined,0.98,0.83,0.26
1371,tsne,nmf_linear_combined,0.98,0.84,0.26
1372,tsne,nmf_linear_combined,0.98,0.84,0.26
1373,tsne,nmf_linear_combined,0.98,0.84,0.26
1374,tsne,nmf_linear_combined,0.98,0.84,0.26
1375,tsne,nmf_linear_combined,0.98,0.84,0.26
1376,tsne,nmf_linear_combined,0.98,0.84,0.26
1377,tsne,nmf_linear_combined,0.98,0.84,0.26
1378,tsne,nmf_linear_combined,0.98,0.84,0.26
1379,tsne,nmf_linear_combined,0.98,0.83,0.26
1380,tsne,nmf_linear_combined,0.98,0.82,0.24
1381,tsne,nmf_linear_combined,0.98,0.84,0.26
1382,tsne,nmf_linear_combined,0.98,0.84,0.25
1383,tsne,nmf_linear_combined,0.98,0.84,0.26
1384,tsne,nmf_linear_combined,0.98,0.84,0.26
1385,tsne,nmf_linear_combined,0.98,0.84,0.26
1386,tsne,nmf_linear_combined,0.98,0.84,0.26
1387,tsne,nmf_linear_combined,0.98,0.83,0.26
1388,tsne,nmf_linear_combined,0.98,0.84,0.26
1389,tsne,nmf_linear_combined,0.98,0.84,0.26
1390,tsne,nmf_linear_combined,0.98,0.84,0.26
1391,tsne,nmf_linear_combined,0.98,0.84,0.26
1392,tsne,nmf_linear_combined,0.98,0.83,0.26
1393,tsne,nmf_linear_combined,0.98,0.84,0.26
1394,tsne,nmf_linear_combined,0.98,0.84,0.26
1395,tsne,nmf_linear_combined,0.98,0.83,0.26
1396,tsne,nmf_linear_combined,0.98,0.83,0.26
1397,tsne,nmf_linear_combined,0.98,0.84,0.26
1398,tsne,nmf_linear_combined,0.98,0.84,0.26
1399,tsne,nmf_linear_combined,0.98,0.84,0.26
1400,tsne,nmf_linear_combined,0.98,0.84,0.26
1401,tsne,nmf_linear_combined,0.98,0.84,0.26
1402,tsne,nmf_linear_combined,0.98,0.84,0.26
1403,tsne,nmf_linear_combined,0.98,0.84,0.26
1404,tsne,nmf_linear_combined,0.98,0.84,0.26
1405,tsne,nmf_linear_combined,0.98,0.84,0.26
1406,tsne,nmf_linear_combined,0.98,0.84,0.26
1407,tsne,nmf_linear_combined,0.98,0.84,0.26
1408,tsne,nmf_linear_combined,0.98,0.84,0.26
1409,tsne,nmf_linear_combined,0.98,0.84,0.26
1410,tsne,nmf_linear_combined,0.98,0.82,0.25
1411,tsne,nmf_linear_combined,0.98,0.84,0.26
1412,tsne,nmf_linear_combined,0.98,0.84,0.26
1413,tsne,nmf_linear_combined,0.98,0.84,0.26
1414,tsne,nmf_linear_combined,0.98,0.84,0.26
1415,tsne,nmf_linear_combined,0.98,0.84,0.26
1416,tsne,nmf_linear_combined,0.98,0.84,0.26
1417,tsne,nmf_linear_combined,0.98,0.84,0.26
1418,tsne,nmf_linear_combined,0.98,0.84,0.26
1419,tsne,nmf_linear_combined,0.98,0.84,0.26
1420,tsne,nmf_linear_combined,0.98,0.83,0.26
1421,tsne,nmf_linear_combined,0.98,0.84,0.26
1422,tsne,nmf_linear_combined,0.98,0.84,0.26
1423,tsne,nmf_linear_combined,0.98,0.84,0.26
1424,tsne,nmf_linear_combined,0.98,0.84,0.26
1425,tsne,nmf_linear_combined,0.98,0.83,0.26
1426,tsne,nmf_linear_combined,0.98,0.84,0.26
1427,tsne,nmf_linear_combined,0.98,0.82,0.25
1428,tsne,nmf_linear_combined,0.98,0.82,0.26
1429,tsne,nmf_linear_combined,0.98,0.84,0.26
1430,tsne,nmf_linear_combined,0.98,0.84,0.26
1431,tsne,nmf_linear_combined,0.98,0.84,0.26
1432,tsne,nmf_linear_combined,0.98,0.84,0.26
1433,tsne,nmf_linear_combined,0.98,0.84,0.26
1434,tsne,nmf_linear_combined,0.98,0.84,0.26
1435,tsne,nmf_linear_combined,0.98,0.84,0.26
1436,tsne,nmf_linear_combined,0.98,0.83,0.26
1437,tsne,nmf_linear_combined,0.98,0.84,0.26
1438,tsne,nmf_linear_combined,0.98,0.83,0.26
1439,tsne,nmf_linear_combined,0.98,0.84,0.26
1440,tsne,nmf_linear_combined,0.98,0.84,0.26
1441,tsne,nmf_linear_combined,0.98,0.84,0.26
1442,tsne,nmf_linear_combined,0.98,0.84,0.26
1443,tsne,nmf_linear_combined,0.98,0.84,0.26
1444,tsne,nmf_linear_combined,0.98,0.83,0.26
1445,tsne,nmf_linear_combined,0.98,0.84,0.26
1446,tsne,nmf_linear_combined,0.98,0.84,0.26
1447,tsne,nmf_linear_combined,0.98,0.84,0.26
1448,tsne,nmf_linear_combined,0.98,0.84,0.26
1449,tsne,nmf_linear_combined,0.98,0.84,0.26
1450,tsne,nmf_linear_combined,0.98,0.84,0.26
1451,tsne,nmf_linear_combined,0.98,0.82,0.25
1452,tsne,nmf_linear_combined,0.98,0.84,0.26
1453,tsne,nmf_linear_combined,0.98,0.84,0.26
1454,tsne,nmf_linear_combined,0.98,0.84,0.26
1455,tsne,nmf_linear_combined,0.98,0.83,0.25
1456,tsne,nmf_linear_combined,0.98,0.84,0.26
1457,tsne,nmf_linear_combined,0.98,0.84,0.26
1458,tsne,nmf_linear_combined,0.98,0.84,0.26
1459,tsne,nmf_linear_combined,0.98,0.84,0.26
1460,tsne,nmf_linear_combined,0.98,0.84,0.26
1461,tsne,nmf_linear_combined,0.98,0.84,0.26
1462,tsne,nmf_linear_combined,0.98,0.84,0.26
1463,tsne,nmf_linear_combined,0.98,0.83,0.26
1464,tsne,nmf_linear_combined,0.98,0.84,0.26
1465,tsne,nmf_linear_combined,0.98,0.84,0.26
1466,tsne,nmf_linear_combined,0.98,0.84,0.26
1467,tsne,nmf_linear_combined,0.98,0.84,0.26
