,DR,TM,accuracy_local,accuracy_global,perception
1588,tsne,nmf_tfidf_linear_combined,0.99,0.79,0.48
1589,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1590,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1591,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1592,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1593,tsne,nmf_tfidf_linear_combined,0.98,0.76,0.49
1594,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1595,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1596,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1597,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1598,tsne,nmf_tfidf_linear_combined,0.98,0.77,0.49
1599,tsne,nmf_tfidf_linear_combined,0.98,0.75,0.47
1600,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1601,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1602,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1603,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1604,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1605,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1606,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1607,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1608,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.49
1609,tsne,nmf_tfidf_linear_combined,0.98,0.76,0.47
1610,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1611,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1612,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.48
1613,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1614,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1615,tsne,nmf_tfidf_linear_combined,0.99,0.79,0.48
1616,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1617,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.51
1618,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.47
1619,tsne,nmf_tfidf_linear_combined,0.98,0.74,0.46
1620,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1621,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1622,tsne,nmf_tfidf_linear_combined,0.98,0.77,0.49
1623,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1624,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1625,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.48
1626,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.47
1627,tsne,nmf_tfidf_linear_combined,0.98,0.76,0.49
1628,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1629,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1630,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1631,tsne,nmf_tfidf_linear_combined,0.98,0.76,0.49
1632,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1633,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
1634,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1635,tsne,nmf_tfidf_linear_combined,0.99,0.79,0.48
1636,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1637,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.48
1638,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.49
1639,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1640,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1641,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.49
1642,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.51
1643,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.48
1644,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.51
1645,tsne,nmf_tfidf_linear_combined,0.99,0.78,0.5
1646,tsne,nmf_tfidf_linear_combined,0.99,0.77,0.5
