,DR,TM,accuracy_local,accuracy_global,perception
2393,umap,bert,0.92,0.73,0.6
2394,umap,bert,0.93,0.72,0.62
2395,umap,bert,0.89,0.72,0.52
2396,umap,bert,0.92,0.73,0.6
2397,umap,bert,0.75,0.6,0.29
2398,umap,bert,0.91,0.75,0.55
2399,umap,bert,0.9,0.73,0.52
2400,umap,bert,0.92,0.71,0.57
2401,umap,bert,0.94,0.71,0.63
2402,umap,bert,0.82,0.6,0.36
2403,umap,bert,0.79,0.6,0.35
2404,umap,bert,0.9,0.75,0.53
2405,umap,bert,0.95,0.71,0.66
2406,umap,bert,0.91,0.74,0.56
2407,umap,bert,0.81,0.59,0.36
2408,umap,bert,0.92,0.74,0.55
2409,umap,bert,0.92,0.74,0.59
2410,umap,bert,0.91,0.73,0.57
2411,umap,bert,0.82,0.61,0.36
2412,umap,bert,0.94,0.68,0.57
2413,umap,bert,0.92,0.73,0.59
2414,umap,bert,0.92,0.73,0.58
2415,umap,bert,0.91,0.73,0.57
2416,umap,bert,0.91,0.74,0.56
2417,umap,bert,0.94,0.71,0.65
2418,umap,bert,0.93,0.71,0.61
2419,umap,bert,0.75,0.61,0.28
2420,umap,bert,0.94,0.72,0.63
2421,umap,bert,0.94,0.71,0.65
2422,umap,bert,0.9,0.75,0.55
2423,umap,bert,0.91,0.75,0.54
2424,umap,bert,0.94,0.71,0.64
2425,umap,bert,0.92,0.72,0.61
2426,umap,bert,0.9,0.75,0.52
2427,umap,bert,0.93,0.72,0.62
2428,umap,bert,0.91,0.73,0.58
2429,umap,bert,0.93,0.73,0.61
2430,umap,bert,0.93,0.72,0.62
2431,umap,bert,0.91,0.75,0.55
2432,umap,bert,0.92,0.74,0.58
2433,umap,bert,0.93,0.69,0.6
2434,umap,bert,0.93,0.73,0.59
2615,umap,bert,0.92,0.78,0.54
2616,umap,bert,0.94,0.76,0.61
2617,umap,bert,0.95,0.75,0.63
2618,umap,bert,0.92,0.78,0.53
2619,umap,bert,0.92,0.78,0.55
2620,umap,bert,0.94,0.77,0.59
2621,umap,bert,0.75,0.59,0.28
2622,umap,bert,0.79,0.57,0.34
2623,umap,bert,0.92,0.78,0.53
2624,umap,bert,0.95,0.76,0.61
2625,umap,bert,0.93,0.76,0.6
2626,umap,bert,0.93,0.77,0.56
2627,umap,bert,0.96,0.74,0.63
2628,umap,bert,0.93,0.77,0.59
2629,umap,bert,0.93,0.76,0.55
