,DR,TM,accuracy_local,accuracy_global,perception
180,umap,lda_linear_combined,0.96,0.85,0.33
181,umap,lda_linear_combined,0.94,0.84,0.31
182,umap,lda_linear_combined,0.95,0.85,0.32
183,umap,lda_linear_combined,0.96,0.85,0.33
184,umap,lda_linear_combined,0.81,0.64,0.25
185,umap,lda_linear_combined,0.85,0.69,0.27
186,umap,lda_linear_combined,0.96,0.85,0.32
187,umap,lda_linear_combined,0.95,0.85,0.32
188,umap,lda_linear_combined,0.97,0.84,0.32
189,umap,lda_linear_combined,0.98,0.83,0.33
190,umap,lda_linear_combined,0.77,0.63,0.22
191,umap,lda_linear_combined,0.94,0.85,0.32
192,umap,lda_linear_combined,0.97,0.84,0.33
193,umap,lda_linear_combined,0.97,0.84,0.33
194,umap,lda_linear_combined,0.98,0.82,0.33
195,umap,lda_linear_combined,0.94,0.83,0.32
196,umap,lda_linear_combined,0.98,0.84,0.33
197,umap,lda_linear_combined,0.95,0.85,0.32
198,umap,lda_linear_combined,0.95,0.85,0.32
199,umap,lda_linear_combined,0.95,0.85,0.32
200,umap,lda_linear_combined,0.75,0.63,0.21
201,umap,lda_linear_combined,0.96,0.85,0.32
202,umap,lda_linear_combined,0.96,0.85,0.32
203,umap,lda_linear_combined,0.97,0.84,0.33
204,umap,lda_linear_combined,0.94,0.85,0.31
205,umap,lda_linear_combined,0.98,0.84,0.33
206,umap,lda_linear_combined,0.97,0.84,0.33
207,umap,lda_linear_combined,0.98,0.83,0.33
208,umap,lda_linear_combined,0.98,0.82,0.32
209,umap,lda_linear_combined,0.85,0.68,0.26
210,umap,lda_linear_combined,0.96,0.84,0.32
211,umap,lda_linear_combined,0.97,0.82,0.33
212,umap,lda_linear_combined,0.98,0.83,0.33
213,umap,lda_linear_combined,0.83,0.67,0.26
214,umap,lda_linear_combined,0.98,0.83,0.33
215,umap,lda_linear_combined,0.98,0.83,0.33
216,umap,lda_linear_combined,0.98,0.82,0.33
217,umap,lda_linear_combined,0.94,0.85,0.31
218,umap,lda_linear_combined,0.98,0.83,0.33
219,umap,lda_linear_combined,0.95,0.85,0.32
220,umap,lda_linear_combined,0.95,0.85,0.32
221,umap,lda_linear_combined,0.98,0.82,0.33
3952,umap,lda_linear_combined,0.77,0.64,0.41
3953,umap,lda_linear_combined,0.98,0.81,0.46
3954,umap,lda_linear_combined,0.97,0.83,0.45
3955,umap,lda_linear_combined,0.96,0.76,0.47
3956,umap,lda_linear_combined,0.83,0.7,0.45
3957,umap,lda_linear_combined,0.99,0.82,0.48
3958,umap,lda_linear_combined,0.99,0.83,0.48
3959,umap,lda_linear_combined,0.95,0.82,0.46
3960,umap,lda_linear_combined,0.97,0.72,0.44
3961,umap,lda_linear_combined,0.95,0.7,0.42
3962,umap,lda_linear_combined,0.84,0.71,0.44
3963,umap,lda_linear_combined,0.81,0.67,0.44
3964,umap,lda_linear_combined,0.97,0.73,0.49
3965,umap,lda_linear_combined,0.98,0.84,0.46
3966,umap,lda_linear_combined,0.97,0.72,0.44
3967,umap,lda_linear_combined,0.96,0.85,0.47
3968,umap,lda_linear_combined,0.95,0.8,0.47
3969,umap,lda_linear_combined,0.94,0.69,0.44
3970,umap,lda_linear_combined,0.98,0.8,0.48
3971,umap,lda_linear_combined,0.98,0.81,0.47
3972,umap,lda_linear_combined,0.97,0.77,0.48
3973,umap,lda_linear_combined,0.96,0.83,0.47
3974,umap,lda_linear_combined,0.8,0.65,0.45
