,DR,TM,accuracy_local,accuracy_global,perception
1067,umap,lsi,0.86,0.74,0.25
1068,umap,lsi,0.8,0.74,0.24
1069,umap,lsi,0.84,0.75,0.27
1070,umap,lsi,0.83,0.74,0.27
1071,umap,lsi,0.79,0.74,0.22
1072,umap,lsi,0.82,0.75,0.25
1073,umap,lsi,0.79,0.73,0.23
1074,umap,lsi,0.72,0.54,0.21
1075,umap,lsi,0.73,0.53,0.21
1076,umap,lsi,0.8,0.74,0.22
1077,umap,lsi,0.8,0.74,0.24
1078,umap,lsi,0.84,0.73,0.27
1079,umap,lsi,0.83,0.74,0.26
1080,umap,lsi,0.84,0.74,0.27
1081,umap,lsi,0.81,0.73,0.24
1082,umap,lsi,0.83,0.74,0.26
1083,umap,lsi,0.85,0.74,0.28
1084,umap,lsi,0.84,0.73,0.26
1085,umap,lsi,0.82,0.74,0.25
1086,umap,lsi,0.85,0.73,0.27
1087,umap,lsi,0.81,0.74,0.24
1088,umap,lsi,0.83,0.75,0.26
1089,umap,lsi,0.85,0.73,0.27
1090,umap,lsi,0.8,0.74,0.23
1091,umap,lsi,0.64,0.53,0.18
1092,umap,lsi,0.73,0.52,0.21
1093,umap,lsi,0.61,0.54,0.16
1094,umap,lsi,0.8,0.73,0.23
1095,umap,lsi,0.8,0.75,0.24
1096,umap,lsi,0.69,0.53,0.2
1097,umap,lsi,0.8,0.73,0.24
1098,umap,lsi,0.87,0.74,0.28
1099,umap,lsi,0.86,0.75,0.27
1100,umap,lsi,0.8,0.73,0.23
1101,umap,lsi,0.8,0.75,0.23
1102,umap,lsi,0.82,0.75,0.26
1103,umap,lsi,0.84,0.75,0.26
1104,umap,lsi,0.82,0.73,0.25
1105,umap,lsi,0.86,0.74,0.28
1106,umap,lsi,0.82,0.75,0.25
1107,umap,lsi,0.84,0.73,0.26
1108,umap,lsi,0.8,0.75,0.24
4859,umap,lsi,0.69,0.54,0.34
4860,umap,lsi,0.75,0.67,0.42
4861,umap,lsi,0.79,0.68,0.42
4862,umap,lsi,0.75,0.65,0.43
4863,umap,lsi,0.77,0.65,0.42
4864,umap,lsi,0.75,0.65,0.43
4865,umap,lsi,0.76,0.67,0.42
4866,umap,lsi,0.68,0.54,0.35
4867,umap,lsi,0.76,0.64,0.43
4868,umap,lsi,0.79,0.68,0.41
4869,umap,lsi,0.76,0.65,0.44
4870,umap,lsi,0.81,0.68,0.44
4871,umap,lsi,0.78,0.66,0.44
4872,umap,lsi,0.75,0.66,0.43
4873,umap,lsi,0.76,0.65,0.44
4874,umap,lsi,0.81,0.69,0.45
4875,umap,lsi,0.75,0.65,0.43
4876,umap,lsi,0.79,0.66,0.45
4877,umap,lsi,0.77,0.67,0.41
4878,umap,lsi,0.75,0.67,0.44
4879,umap,lsi,0.78,0.65,0.44
4880,umap,lsi,0.65,0.52,0.38
4881,umap,lsi,0.75,0.66,0.44
4882,umap,lsi,0.8,0.66,0.44
4883,umap,lsi,0.82,0.68,0.42
4884,umap,lsi,0.75,0.66,0.39
4885,umap,lsi,0.78,0.67,0.43
4886,umap,lsi,0.74,0.65,0.43
4887,umap,lsi,0.74,0.66,0.41
4888,umap,lsi,0.79,0.68,0.4
4889,umap,lsi,0.75,0.67,0.41
4890,umap,lsi,0.8,0.68,0.44
4891,umap,lsi,0.67,0.54,0.33
4892,umap,lsi,0.68,0.53,0.32
4893,umap,lsi,0.77,0.66,0.44
4894,umap,lsi,0.81,0.66,0.41
4895,umap,lsi,0.77,0.69,0.41
4896,umap,lsi,0.76,0.66,0.44
4897,umap,lsi,0.79,0.65,0.45
4898,umap,lsi,0.78,0.68,0.44
4899,umap,lsi,0.82,0.66,0.34
4900,umap,lsi,0.68,0.53,0.36
8475,umap,lsi,0.93,0.78,0.85
8476,umap,lsi,0.92,0.81,0.84
8477,umap,lsi,0.9,0.79,0.82
8478,umap,lsi,0.69,0.49,0.46
8479,umap,lsi,0.69,0.49,0.44
8480,umap,lsi,0.7,0.5,0.46
8481,umap,lsi,0.91,0.82,0.81
8482,umap,lsi,0.91,0.79,0.81
8483,umap,lsi,0.93,0.78,0.85
8484,umap,lsi,0.92,0.77,0.82
8485,umap,lsi,0.92,0.78,0.83
8486,umap,lsi,0.92,0.8,0.84
8487,umap,lsi,0.9,0.81,0.8
8488,umap,lsi,0.92,0.81,0.83
8489,umap,lsi,0.91,0.82,0.82
8490,umap,lsi,0.92,0.8,0.83
8491,umap,lsi,0.91,0.82,0.81
8492,umap,lsi,0.69,0.5,0.46
8493,umap,lsi,0.92,0.81,0.84
8494,umap,lsi,0.92,0.81,0.83
8495,umap,lsi,0.9,0.81,0.8
8496,umap,lsi,0.92,0.81,0.83
8497,umap,lsi,0.93,0.8,0.83
8498,umap,lsi,0.69,0.49,0.46
8499,umap,lsi,0.92,0.81,0.83
8500,umap,lsi,0.93,0.79,0.84
8501,umap,lsi,0.91,0.79,0.82
8502,umap,lsi,0.91,0.82,0.8
8503,umap,lsi,0.9,0.81,0.79
8504,umap,lsi,0.92,0.8,0.84
8505,umap,lsi,0.93,0.78,0.85
8506,umap,lsi,0.9,0.81,0.81
