,DR,TM,accuracy_local,accuracy_global,perception
623,umap,lsi_linear_combined,0.83,0.75,0.26
624,umap,lsi_linear_combined,0.84,0.74,0.27
625,umap,lsi_linear_combined,0.84,0.73,0.26
626,umap,lsi_linear_combined,0.79,0.73,0.23
627,umap,lsi_linear_combined,0.85,0.74,0.28
628,umap,lsi_linear_combined,0.8,0.74,0.23
629,umap,lsi_linear_combined,0.8,0.74,0.24
630,umap,lsi_linear_combined,0.81,0.74,0.24
631,umap,lsi_linear_combined,0.83,0.74,0.26
632,umap,lsi_linear_combined,0.64,0.54,0.17
633,umap,lsi_linear_combined,0.8,0.75,0.24
634,umap,lsi_linear_combined,0.8,0.75,0.23
635,umap,lsi_linear_combined,0.8,0.74,0.22
636,umap,lsi_linear_combined,0.83,0.74,0.26
637,umap,lsi_linear_combined,0.78,0.72,0.22
638,umap,lsi_linear_combined,0.62,0.54,0.16
639,umap,lsi_linear_combined,0.84,0.75,0.26
640,umap,lsi_linear_combined,0.8,0.74,0.24
641,umap,lsi_linear_combined,0.84,0.73,0.27
642,umap,lsi_linear_combined,0.85,0.73,0.27
643,umap,lsi_linear_combined,0.86,0.73,0.27
644,umap,lsi_linear_combined,0.73,0.54,0.21
645,umap,lsi_linear_combined,0.86,0.75,0.27
646,umap,lsi_linear_combined,0.85,0.74,0.27
647,umap,lsi_linear_combined,0.85,0.74,0.24
648,umap,lsi_linear_combined,0.83,0.73,0.26
649,umap,lsi_linear_combined,0.85,0.73,0.27
650,umap,lsi_linear_combined,0.82,0.74,0.25
651,umap,lsi_linear_combined,0.72,0.53,0.21
652,umap,lsi_linear_combined,0.84,0.72,0.26
653,umap,lsi_linear_combined,0.82,0.75,0.25
654,umap,lsi_linear_combined,0.81,0.74,0.25
655,umap,lsi_linear_combined,0.8,0.75,0.23
656,umap,lsi_linear_combined,0.73,0.53,0.22
657,umap,lsi_linear_combined,0.8,0.74,0.23
658,umap,lsi_linear_combined,0.82,0.74,0.25
659,umap,lsi_linear_combined,0.8,0.74,0.25
660,umap,lsi_linear_combined,0.8,0.73,0.23
661,umap,lsi_linear_combined,0.68,0.54,0.2
662,umap,lsi_linear_combined,0.82,0.73,0.25
663,umap,lsi_linear_combined,0.85,0.72,0.27
664,umap,lsi_linear_combined,0.82,0.75,0.25
4406,umap,lsi_linear_combined,0.75,0.67,0.42
4407,umap,lsi_linear_combined,0.78,0.66,0.4
4408,umap,lsi_linear_combined,0.82,0.66,0.44
4409,umap,lsi_linear_combined,0.81,0.68,0.45
4410,umap,lsi_linear_combined,0.68,0.53,0.36
4411,umap,lsi_linear_combined,0.76,0.65,0.44
4412,umap,lsi_linear_combined,0.78,0.65,0.45
4413,umap,lsi_linear_combined,0.77,0.67,0.43
4414,umap,lsi_linear_combined,0.76,0.65,0.44
4415,umap,lsi_linear_combined,0.76,0.67,0.39
4416,umap,lsi_linear_combined,0.79,0.65,0.45
4417,umap,lsi_linear_combined,0.75,0.65,0.43
4418,umap,lsi_linear_combined,0.8,0.66,0.4
4419,umap,lsi_linear_combined,0.75,0.67,0.43
4420,umap,lsi_linear_combined,0.79,0.67,0.42
4421,umap,lsi_linear_combined,0.75,0.65,0.43
4422,umap,lsi_linear_combined,0.76,0.67,0.41
4423,umap,lsi_linear_combined,0.67,0.54,0.35
4424,umap,lsi_linear_combined,0.8,0.67,0.45
4425,umap,lsi_linear_combined,0.76,0.68,0.44
4426,umap,lsi_linear_combined,0.69,0.53,0.35
4427,umap,lsi_linear_combined,0.68,0.53,0.36
4428,umap,lsi_linear_combined,0.69,0.54,0.35
4429,umap,lsi_linear_combined,0.78,0.67,0.41
4430,umap,lsi_linear_combined,0.76,0.64,0.43
4431,umap,lsi_linear_combined,0.81,0.68,0.45
4432,umap,lsi_linear_combined,0.74,0.66,0.38
4433,umap,lsi_linear_combined,0.81,0.66,0.46
4434,umap,lsi_linear_combined,0.78,0.66,0.45
4435,umap,lsi_linear_combined,0.77,0.66,0.44
4436,umap,lsi_linear_combined,0.76,0.64,0.41
4437,umap,lsi_linear_combined,0.74,0.65,0.43
4438,umap,lsi_linear_combined,0.76,0.67,0.43
4439,umap,lsi_linear_combined,0.66,0.54,0.35
4440,umap,lsi_linear_combined,0.75,0.65,0.43
4441,umap,lsi_linear_combined,0.75,0.67,0.43
4442,umap,lsi_linear_combined,0.78,0.68,0.43
4443,umap,lsi_linear_combined,0.8,0.68,0.43
4444,umap,lsi_linear_combined,0.75,0.65,0.44
4445,umap,lsi_linear_combined,0.8,0.68,0.42
4446,umap,lsi_linear_combined,0.82,0.69,0.39
4447,umap,lsi_linear_combined,0.79,0.69,0.43
8023,umap,lsi_linear_combined,0.69,0.49,0.46
8024,umap,lsi_linear_combined,0.93,0.77,0.84
8025,umap,lsi_linear_combined,0.93,0.78,0.84
8026,umap,lsi_linear_combined,0.9,0.82,0.8
8027,umap,lsi_linear_combined,0.92,0.81,0.82
8028,umap,lsi_linear_combined,0.92,0.8,0.84
8029,umap,lsi_linear_combined,0.92,0.81,0.83
8030,umap,lsi_linear_combined,0.91,0.82,0.81
8031,umap,lsi_linear_combined,0.9,0.81,0.81
8032,umap,lsi_linear_combined,0.68,0.51,0.44
8033,umap,lsi_linear_combined,0.92,0.81,0.84
8034,umap,lsi_linear_combined,0.92,0.79,0.83
8035,umap,lsi_linear_combined,0.93,0.79,0.84
8036,umap,lsi_linear_combined,0.92,0.81,0.83
8037,umap,lsi_linear_combined,0.92,0.81,0.84
8038,umap,lsi_linear_combined,0.9,0.81,0.8
8039,umap,lsi_linear_combined,0.9,0.8,0.82
8040,umap,lsi_linear_combined,0.9,0.81,0.79
8041,umap,lsi_linear_combined,0.92,0.81,0.83
8042,umap,lsi_linear_combined,0.92,0.79,0.82
8043,umap,lsi_linear_combined,0.91,0.8,0.82
8044,umap,lsi_linear_combined,0.69,0.51,0.46
8045,umap,lsi_linear_combined,0.69,0.5,0.46
8046,umap,lsi_linear_combined,0.92,0.81,0.83
8047,umap,lsi_linear_combined,0.9,0.81,0.79
8048,umap,lsi_linear_combined,0.91,0.79,0.81
8049,umap,lsi_linear_combined,0.91,0.82,0.81
8050,umap,lsi_linear_combined,0.91,0.82,0.82
8051,umap,lsi_linear_combined,0.89,0.8,0.75
8052,umap,lsi_linear_combined,0.69,0.49,0.46
8053,umap,lsi_linear_combined,0.68,0.5,0.44
8054,umap,lsi_linear_combined,0.93,0.78,0.85
8055,umap,lsi_linear_combined,0.93,0.78,0.84
8056,umap,lsi_linear_combined,0.9,0.81,0.8
8057,umap,lsi_linear_combined,0.91,0.8,0.83
8058,umap,lsi_linear_combined,0.92,0.78,0.83
8059,umap,lsi_linear_combined,0.91,0.82,0.82
8060,umap,lsi_linear_combined,0.93,0.79,0.85
8061,umap,lsi_linear_combined,0.92,0.8,0.84
8062,umap,lsi_linear_combined,0.92,0.81,0.83
8063,umap,lsi_linear_combined,0.92,0.81,0.83
8064,umap,lsi_linear_combined,0.92,0.81,0.83
11861,umap,lsi_linear_combined,0.61,0.5,0.34
11862,umap,lsi_linear_combined,0.82,0.74,0.55
11863,umap,lsi_linear_combined,0.67,0.5,0.38
11864,umap,lsi_linear_combined,0.63,0.51,0.35
11865,umap,lsi_linear_combined,0.71,0.51,0.39
11866,umap,lsi_linear_combined,0.84,0.73,0.55
11867,umap,lsi_linear_combined,0.89,0.75,0.55
11868,umap,lsi_linear_combined,0.88,0.75,0.55
11869,umap,lsi_linear_combined,0.88,0.74,0.55
11870,umap,lsi_linear_combined,0.82,0.74,0.55
11871,umap,lsi_linear_combined,0.88,0.75,0.55
11872,umap,lsi_linear_combined,0.9,0.71,0.55
11873,umap,lsi_linear_combined,0.82,0.74,0.55
11874,umap,lsi_linear_combined,0.82,0.73,0.54
11875,umap,lsi_linear_combined,0.9,0.72,0.56
11876,umap,lsi_linear_combined,0.84,0.75,0.55
11877,umap,lsi_linear_combined,0.89,0.69,0.55
11878,umap,lsi_linear_combined,0.84,0.74,0.55
11879,umap,lsi_linear_combined,0.71,0.51,0.39
11880,umap,lsi_linear_combined,0.86,0.74,0.55
11881,umap,lsi_linear_combined,0.83,0.73,0.54
11882,umap,lsi_linear_combined,0.83,0.74,0.55
11883,umap,lsi_linear_combined,0.87,0.72,0.55
11884,umap,lsi_linear_combined,0.89,0.74,0.55
11885,umap,lsi_linear_combined,0.86,0.75,0.55
11886,umap,lsi_linear_combined,0.84,0.75,0.55
11887,umap,lsi_linear_combined,0.84,0.74,0.55
11888,umap,lsi_linear_combined,0.81,0.72,0.54
11889,umap,lsi_linear_combined,0.83,0.74,0.55
11890,umap,lsi_linear_combined,0.7,0.5,0.39
11891,umap,lsi_linear_combined,0.86,0.75,0.55
11892,umap,lsi_linear_combined,0.82,0.73,0.55
11893,umap,lsi_linear_combined,0.82,0.74,0.55
11894,umap,lsi_linear_combined,0.89,0.71,0.55
11895,umap,lsi_linear_combined,0.88,0.73,0.55
11896,umap,lsi_linear_combined,0.87,0.74,0.55
11897,umap,lsi_linear_combined,0.82,0.74,0.55
11898,umap,lsi_linear_combined,0.89,0.72,0.55
11899,umap,lsi_linear_combined,0.87,0.71,0.55
11900,umap,lsi_linear_combined,0.83,0.75,0.55
11901,umap,lsi_linear_combined,0.89,0.74,0.55
11902,umap,lsi_linear_combined,0.84,0.72,0.54
15711,umap,lsi_linear_combined,0.7,0.51,0.23
15712,umap,lsi_linear_combined,0.95,0.79,0.22
15713,umap,lsi_linear_combined,0.94,0.82,0.23
15714,umap,lsi_linear_combined,0.93,0.79,0.29
15715,umap,lsi_linear_combined,0.93,0.79,0.23
15716,umap,lsi_linear_combined,0.92,0.8,0.23
15717,umap,lsi_linear_combined,0.92,0.79,0.22
15718,umap,lsi_linear_combined,0.68,0.51,0.22
15719,umap,lsi_linear_combined,0.92,0.78,0.23
15720,umap,lsi_linear_combined,0.94,0.78,0.23
15721,umap,lsi_linear_combined,0.92,0.78,0.23
15722,umap,lsi_linear_combined,0.92,0.79,0.23
15723,umap,lsi_linear_combined,0.72,0.51,0.23
15724,umap,lsi_linear_combined,0.73,0.52,0.23
15725,umap,lsi_linear_combined,0.91,0.77,0.22
15726,umap,lsi_linear_combined,0.91,0.78,0.22
15727,umap,lsi_linear_combined,0.93,0.74,0.23
15728,umap,lsi_linear_combined,0.95,0.8,0.23
15729,umap,lsi_linear_combined,0.95,0.79,0.22
15730,umap,lsi_linear_combined,0.92,0.79,0.22
15731,umap,lsi_linear_combined,0.95,0.79,0.22
15732,umap,lsi_linear_combined,0.95,0.81,0.24
15733,umap,lsi_linear_combined,0.93,0.81,0.22
15734,umap,lsi_linear_combined,0.95,0.79,0.22
15735,umap,lsi_linear_combined,0.94,0.8,0.23
15736,umap,lsi_linear_combined,0.95,0.79,0.23
15737,umap,lsi_linear_combined,0.94,0.8,0.23
15738,umap,lsi_linear_combined,0.94,0.8,0.22
15739,umap,lsi_linear_combined,0.72,0.52,0.23
15740,umap,lsi_linear_combined,0.9,0.78,0.22
15741,umap,lsi_linear_combined,0.93,0.8,0.23
15742,umap,lsi_linear_combined,0.72,0.52,0.23
15743,umap,lsi_linear_combined,0.89,0.75,0.23
15744,umap,lsi_linear_combined,0.96,0.79,0.25
15745,umap,lsi_linear_combined,0.94,0.8,0.23
15746,umap,lsi_linear_combined,0.92,0.8,0.23
15747,umap,lsi_linear_combined,0.95,0.79,0.23
15748,umap,lsi_linear_combined,0.95,0.79,0.23
15749,umap,lsi_linear_combined,0.95,0.8,0.22
15750,umap,lsi_linear_combined,0.93,0.81,0.22
15751,umap,lsi_linear_combined,0.93,0.79,0.23
15752,umap,lsi_linear_combined,0.95,0.79,0.23
19541,umap,lsi_linear_combined,0.96,0.81,0.67
19542,umap,lsi_linear_combined,0.96,0.81,0.66
19543,umap,lsi_linear_combined,0.94,0.78,0.62
19544,umap,lsi_linear_combined,0.94,0.8,0.63
19545,umap,lsi_linear_combined,0.95,0.79,0.63
19546,umap,lsi_linear_combined,0.96,0.81,0.65
19547,umap,lsi_linear_combined,0.94,0.79,0.64
19548,umap,lsi_linear_combined,0.71,0.51,0.35
19549,umap,lsi_linear_combined,0.7,0.51,0.35
19550,umap,lsi_linear_combined,0.95,0.79,0.63
19551,umap,lsi_linear_combined,0.96,0.81,0.67
19552,umap,lsi_linear_combined,0.69,0.51,0.34
19553,umap,lsi_linear_combined,0.95,0.79,0.65
19554,umap,lsi_linear_combined,0.96,0.82,0.66
19555,umap,lsi_linear_combined,0.95,0.8,0.64
19556,umap,lsi_linear_combined,0.95,0.8,0.62
19557,umap,lsi_linear_combined,0.95,0.81,0.63
19558,umap,lsi_linear_combined,0.94,0.79,0.63
19559,umap,lsi_linear_combined,0.7,0.5,0.33
19560,umap,lsi_linear_combined,0.71,0.51,0.4
19561,umap,lsi_linear_combined,0.96,0.8,0.64
19562,umap,lsi_linear_combined,0.94,0.79,0.63
19563,umap,lsi_linear_combined,0.95,0.81,0.65
19564,umap,lsi_linear_combined,0.95,0.8,0.66
19565,umap,lsi_linear_combined,0.94,0.77,0.61
19566,umap,lsi_linear_combined,0.96,0.8,0.65
19567,umap,lsi_linear_combined,0.95,0.81,0.64
19568,umap,lsi_linear_combined,0.95,0.79,0.64
19569,umap,lsi_linear_combined,0.95,0.8,0.64
19570,umap,lsi_linear_combined,0.94,0.79,0.64
19571,umap,lsi_linear_combined,0.94,0.8,0.59
19572,umap,lsi_linear_combined,0.7,0.51,0.38
19573,umap,lsi_linear_combined,0.95,0.77,0.63
19574,umap,lsi_linear_combined,0.94,0.77,0.63
19575,umap,lsi_linear_combined,0.95,0.78,0.63
19576,umap,lsi_linear_combined,0.95,0.83,0.65
19577,umap,lsi_linear_combined,0.96,0.81,0.66
19578,umap,lsi_linear_combined,0.96,0.82,0.65
19579,umap,lsi_linear_combined,0.96,0.82,0.66
19580,umap,lsi_linear_combined,0.95,0.77,0.64
19581,umap,lsi_linear_combined,0.94,0.79,0.62
19582,umap,lsi_linear_combined,0.95,0.83,0.64
