,DR,TM,accuracy_local,accuracy_global,perception
845,umap,lsi_tfidf_linear_combined,0.96,0.76,0.55
846,umap,lsi_tfidf_linear_combined,0.92,0.76,0.45
847,umap,lsi_tfidf_linear_combined,0.95,0.78,0.52
848,umap,lsi_tfidf_linear_combined,0.95,0.77,0.51
849,umap,lsi_tfidf_linear_combined,0.81,0.62,0.35
850,umap,lsi_tfidf_linear_combined,0.94,0.78,0.51
851,umap,lsi_tfidf_linear_combined,0.94,0.77,0.49
852,umap,lsi_tfidf_linear_combined,0.96,0.75,0.56
853,umap,lsi_tfidf_linear_combined,0.74,0.6,0.28
854,umap,lsi_tfidf_linear_combined,0.95,0.77,0.54
855,umap,lsi_tfidf_linear_combined,0.96,0.76,0.54
856,umap,lsi_tfidf_linear_combined,0.95,0.77,0.55
857,umap,lsi_tfidf_linear_combined,0.95,0.77,0.54
858,umap,lsi_tfidf_linear_combined,0.93,0.78,0.48
859,umap,lsi_tfidf_linear_combined,0.94,0.78,0.49
860,umap,lsi_tfidf_linear_combined,0.93,0.78,0.48
861,umap,lsi_tfidf_linear_combined,0.95,0.75,0.52
862,umap,lsi_tfidf_linear_combined,0.94,0.78,0.51
863,umap,lsi_tfidf_linear_combined,0.92,0.78,0.47
864,umap,lsi_tfidf_linear_combined,0.92,0.77,0.46
865,umap,lsi_tfidf_linear_combined,0.95,0.77,0.52
866,umap,lsi_tfidf_linear_combined,0.93,0.78,0.46
867,umap,lsi_tfidf_linear_combined,0.8,0.61,0.35
868,umap,lsi_tfidf_linear_combined,0.96,0.77,0.54
869,umap,lsi_tfidf_linear_combined,0.93,0.78,0.47
870,umap,lsi_tfidf_linear_combined,0.93,0.78,0.47
871,umap,lsi_tfidf_linear_combined,0.95,0.75,0.53
872,umap,lsi_tfidf_linear_combined,0.95,0.76,0.53
873,umap,lsi_tfidf_linear_combined,0.96,0.75,0.53
874,umap,lsi_tfidf_linear_combined,0.93,0.78,0.48
875,umap,lsi_tfidf_linear_combined,0.95,0.74,0.51
876,umap,lsi_tfidf_linear_combined,0.93,0.78,0.49
877,umap,lsi_tfidf_linear_combined,0.93,0.71,0.46
878,umap,lsi_tfidf_linear_combined,0.94,0.78,0.5
879,umap,lsi_tfidf_linear_combined,0.92,0.78,0.46
880,umap,lsi_tfidf_linear_combined,0.96,0.76,0.54
881,umap,lsi_tfidf_linear_combined,0.81,0.61,0.36
882,umap,lsi_tfidf_linear_combined,0.95,0.75,0.53
883,umap,lsi_tfidf_linear_combined,0.71,0.6,0.26
884,umap,lsi_tfidf_linear_combined,0.78,0.6,0.32
885,umap,lsi_tfidf_linear_combined,0.94,0.77,0.5
886,umap,lsi_tfidf_linear_combined,0.93,0.78,0.47
4632,umap,lsi_tfidf_linear_combined,0.9,0.85,0.57
4633,umap,lsi_tfidf_linear_combined,0.93,0.84,0.58
4634,umap,lsi_tfidf_linear_combined,0.92,0.85,0.58
4635,umap,lsi_tfidf_linear_combined,0.9,0.79,0.54
4636,umap,lsi_tfidf_linear_combined,0.93,0.8,0.54
4637,umap,lsi_tfidf_linear_combined,0.75,0.6,0.47
4638,umap,lsi_tfidf_linear_combined,0.91,0.85,0.58
4639,umap,lsi_tfidf_linear_combined,0.92,0.78,0.55
4640,umap,lsi_tfidf_linear_combined,0.74,0.6,0.46
4641,umap,lsi_tfidf_linear_combined,0.91,0.85,0.57
4642,umap,lsi_tfidf_linear_combined,0.9,0.85,0.56
4643,umap,lsi_tfidf_linear_combined,0.92,0.8,0.5
4644,umap,lsi_tfidf_linear_combined,0.92,0.8,0.55
4645,umap,lsi_tfidf_linear_combined,0.89,0.8,0.54
4646,umap,lsi_tfidf_linear_combined,0.76,0.61,0.47
4647,umap,lsi_tfidf_linear_combined,0.89,0.78,0.5
4648,umap,lsi_tfidf_linear_combined,0.93,0.86,0.58
4649,umap,lsi_tfidf_linear_combined,0.92,0.79,0.51
4650,umap,lsi_tfidf_linear_combined,0.9,0.79,0.54
4651,umap,lsi_tfidf_linear_combined,0.93,0.85,0.58
4652,umap,lsi_tfidf_linear_combined,0.93,0.84,0.58
4653,umap,lsi_tfidf_linear_combined,0.91,0.85,0.57
4654,umap,lsi_tfidf_linear_combined,0.93,0.86,0.58
4655,umap,lsi_tfidf_linear_combined,0.9,0.85,0.57
4656,umap,lsi_tfidf_linear_combined,0.92,0.81,0.57
4657,umap,lsi_tfidf_linear_combined,0.93,0.86,0.58
4658,umap,lsi_tfidf_linear_combined,0.93,0.85,0.57
4659,umap,lsi_tfidf_linear_combined,0.93,0.84,0.58
4660,umap,lsi_tfidf_linear_combined,0.89,0.79,0.53
4661,umap,lsi_tfidf_linear_combined,0.76,0.61,0.46
4662,umap,lsi_tfidf_linear_combined,0.9,0.81,0.53
4663,umap,lsi_tfidf_linear_combined,0.92,0.81,0.55
4664,umap,lsi_tfidf_linear_combined,0.92,0.81,0.53
4665,umap,lsi_tfidf_linear_combined,0.92,0.85,0.57
4666,umap,lsi_tfidf_linear_combined,0.89,0.8,0.53
4667,umap,lsi_tfidf_linear_combined,0.72,0.59,0.44
4668,umap,lsi_tfidf_linear_combined,0.9,0.85,0.57
4669,umap,lsi_tfidf_linear_combined,0.94,0.84,0.58
4670,umap,lsi_tfidf_linear_combined,0.72,0.59,0.45
4671,umap,lsi_tfidf_linear_combined,0.92,0.81,0.53
4672,umap,lsi_tfidf_linear_combined,0.91,0.79,0.51
4673,umap,lsi_tfidf_linear_combined,0.91,0.79,0.57
8249,umap,lsi_tfidf_linear_combined,0.97,0.82,0.91
8250,umap,lsi_tfidf_linear_combined,0.73,0.57,0.55
8251,umap,lsi_tfidf_linear_combined,0.97,0.83,0.92
8252,umap,lsi_tfidf_linear_combined,0.78,0.62,0.61
8253,umap,lsi_tfidf_linear_combined,0.98,0.83,0.93
8254,umap,lsi_tfidf_linear_combined,0.97,0.84,0.92
8255,umap,lsi_tfidf_linear_combined,0.98,0.83,0.93
