,DR,TM,accuracy_local,accuracy_global,perception
1510,umap,nmf_linear_combined,0.92,0.86,0.21
1511,umap,nmf_linear_combined,0.96,0.84,0.24
1512,umap,nmf_linear_combined,0.74,0.63,0.17
1513,umap,nmf_linear_combined,0.84,0.68,0.2
1514,umap,nmf_linear_combined,0.95,0.85,0.23
1515,umap,nmf_linear_combined,0.91,0.83,0.19
1516,umap,nmf_linear_combined,0.95,0.85,0.23
1517,umap,nmf_linear_combined,0.95,0.85,0.24
1518,umap,nmf_linear_combined,0.92,0.86,0.22
1519,umap,nmf_linear_combined,0.94,0.85,0.22
1520,umap,nmf_linear_combined,0.94,0.86,0.22
1521,umap,nmf_linear_combined,0.96,0.84,0.24
1522,umap,nmf_linear_combined,0.83,0.68,0.2
1523,umap,nmf_linear_combined,0.92,0.86,0.22
1524,umap,nmf_linear_combined,0.95,0.84,0.23
1525,umap,nmf_linear_combined,0.92,0.86,0.22
1526,umap,nmf_linear_combined,0.92,0.85,0.22
1527,umap,nmf_linear_combined,0.93,0.84,0.22
1528,umap,nmf_linear_combined,0.93,0.86,0.22
1529,umap,nmf_linear_combined,0.95,0.84,0.22
1530,umap,nmf_linear_combined,0.96,0.81,0.22
1531,umap,nmf_linear_combined,0.92,0.86,0.21
1532,umap,nmf_linear_combined,0.92,0.85,0.22
1533,umap,nmf_linear_combined,0.93,0.86,0.23
1534,umap,nmf_linear_combined,0.92,0.86,0.21
1535,umap,nmf_linear_combined,0.93,0.86,0.22
1536,umap,nmf_linear_combined,0.95,0.84,0.23
1537,umap,nmf_linear_combined,0.96,0.83,0.23
1538,umap,nmf_linear_combined,0.8,0.66,0.19
1539,umap,nmf_linear_combined,0.94,0.85,0.23
1540,umap,nmf_linear_combined,0.93,0.86,0.23
1541,umap,nmf_linear_combined,0.94,0.85,0.23
1542,umap,nmf_linear_combined,0.76,0.64,0.18
1543,umap,nmf_linear_combined,0.95,0.85,0.23
1544,umap,nmf_linear_combined,0.93,0.85,0.23
1545,umap,nmf_linear_combined,0.94,0.85,0.23
1546,umap,nmf_linear_combined,0.85,0.7,0.21
1547,umap,nmf_linear_combined,0.92,0.86,0.22
1548,umap,nmf_linear_combined,0.95,0.84,0.23
1549,umap,nmf_linear_combined,0.92,0.86,0.22
1550,umap,nmf_linear_combined,0.96,0.85,0.24
1551,umap,nmf_linear_combined,0.95,0.83,0.22
5310,umap,nmf_linear_combined,0.98,0.84,0.5
5311,umap,nmf_linear_combined,0.83,0.68,0.43
