,DR,TM,accuracy_local,accuracy_global,perception
1732,umap,nmf_tfidf_linear_combined,0.95,0.86,0.43
1733,umap,nmf_tfidf_linear_combined,0.94,0.86,0.41
1734,umap,nmf_tfidf_linear_combined,0.98,0.82,0.48
1735,umap,nmf_tfidf_linear_combined,0.76,0.61,0.25
1736,umap,nmf_tfidf_linear_combined,0.98,0.82,0.46
1737,umap,nmf_tfidf_linear_combined,0.83,0.65,0.32
1738,umap,nmf_tfidf_linear_combined,0.95,0.86,0.44
1739,umap,nmf_tfidf_linear_combined,0.97,0.82,0.44
1740,umap,nmf_tfidf_linear_combined,0.83,0.64,0.31
1741,umap,nmf_tfidf_linear_combined,0.94,0.83,0.39
1742,umap,nmf_tfidf_linear_combined,0.98,0.82,0.49
1743,umap,nmf_tfidf_linear_combined,0.95,0.83,0.4
1744,umap,nmf_tfidf_linear_combined,0.97,0.84,0.47
1745,umap,nmf_tfidf_linear_combined,0.97,0.83,0.47
1746,umap,nmf_tfidf_linear_combined,0.79,0.62,0.29
1747,umap,nmf_tfidf_linear_combined,0.98,0.81,0.48
1748,umap,nmf_tfidf_linear_combined,0.73,0.61,0.24
1749,umap,nmf_tfidf_linear_combined,0.96,0.86,0.44
1750,umap,nmf_tfidf_linear_combined,0.82,0.63,0.31
1751,umap,nmf_tfidf_linear_combined,0.98,0.83,0.47
1752,umap,nmf_tfidf_linear_combined,0.98,0.83,0.48
1753,umap,nmf_tfidf_linear_combined,0.95,0.85,0.42
1754,umap,nmf_tfidf_linear_combined,0.97,0.83,0.46
1755,umap,nmf_tfidf_linear_combined,0.94,0.86,0.41
1756,umap,nmf_tfidf_linear_combined,0.98,0.82,0.48
1757,umap,nmf_tfidf_linear_combined,0.96,0.77,0.37
1758,umap,nmf_tfidf_linear_combined,0.98,0.83,0.48
1759,umap,nmf_tfidf_linear_combined,0.96,0.86,0.45
1760,umap,nmf_tfidf_linear_combined,0.96,0.85,0.45
1761,umap,nmf_tfidf_linear_combined,0.95,0.86,0.43
1762,umap,nmf_tfidf_linear_combined,0.97,0.85,0.48
1763,umap,nmf_tfidf_linear_combined,0.95,0.83,0.42
1764,umap,nmf_tfidf_linear_combined,0.97,0.85,0.47
1765,umap,nmf_tfidf_linear_combined,0.96,0.86,0.45
1766,umap,nmf_tfidf_linear_combined,0.97,0.81,0.44
1767,umap,nmf_tfidf_linear_combined,0.95,0.86,0.43
1768,umap,nmf_tfidf_linear_combined,0.96,0.86,0.45
1769,umap,nmf_tfidf_linear_combined,0.98,0.82,0.47
1770,umap,nmf_tfidf_linear_combined,0.96,0.86,0.44
1771,umap,nmf_tfidf_linear_combined,0.95,0.85,0.43
1772,umap,nmf_tfidf_linear_combined,0.96,0.85,0.43
1773,umap,nmf_tfidf_linear_combined,0.97,0.81,0.45
5536,umap,nmf_tfidf_linear_combined,0.97,0.9,0.47
5537,umap,nmf_tfidf_linear_combined,0.97,0.91,0.47
5538,umap,nmf_tfidf_linear_combined,0.98,0.88,0.46
5539,umap,nmf_tfidf_linear_combined,0.97,0.9,0.44
5540,umap,nmf_tfidf_linear_combined,0.97,0.91,0.48
5541,umap,nmf_tfidf_linear_combined,0.98,0.89,0.44
5542,umap,nmf_tfidf_linear_combined,0.95,0.91,0.47
5543,umap,nmf_tfidf_linear_combined,0.95,0.91,0.43
5544,umap,nmf_tfidf_linear_combined,0.95,0.91,0.43
5545,umap,nmf_tfidf_linear_combined,0.97,0.91,0.43
5546,umap,nmf_tfidf_linear_combined,0.8,0.64,0.41
5547,umap,nmf_tfidf_linear_combined,0.95,0.91,0.43
5548,umap,nmf_tfidf_linear_combined,0.95,0.91,0.43
5549,umap,nmf_tfidf_linear_combined,0.96,0.91,0.43
5550,umap,nmf_tfidf_linear_combined,0.98,0.89,0.47
5551,umap,nmf_tfidf_linear_combined,0.97,0.89,0.46
5552,umap,nmf_tfidf_linear_combined,0.94,0.91,0.47
5553,umap,nmf_tfidf_linear_combined,0.96,0.91,0.47
5554,umap,nmf_tfidf_linear_combined,0.98,0.85,0.47
5555,umap,nmf_tfidf_linear_combined,0.94,0.9,0.44
5556,umap,nmf_tfidf_linear_combined,0.81,0.65,0.42
5557,umap,nmf_tfidf_linear_combined,0.76,0.61,0.41
5558,umap,nmf_tfidf_linear_combined,0.96,0.9,0.43
5559,umap,nmf_tfidf_linear_combined,0.98,0.87,0.44
5560,umap,nmf_tfidf_linear_combined,0.97,0.91,0.44
5561,umap,nmf_tfidf_linear_combined,0.98,0.9,0.48
5562,umap,nmf_tfidf_linear_combined,0.96,0.91,0.43
5563,umap,nmf_tfidf_linear_combined,0.96,0.91,0.43
5564,umap,nmf_tfidf_linear_combined,0.95,0.91,0.43
5565,umap,nmf_tfidf_linear_combined,0.97,0.91,0.48
5566,umap,nmf_tfidf_linear_combined,0.95,0.91,0.47
5567,umap,nmf_tfidf_linear_combined,0.98,0.89,0.45
5568,umap,nmf_tfidf_linear_combined,0.98,0.89,0.45
5569,umap,nmf_tfidf_linear_combined,0.96,0.91,0.44
5570,umap,nmf_tfidf_linear_combined,0.94,0.91,0.47
5571,umap,nmf_tfidf_linear_combined,0.81,0.66,0.42
5572,umap,nmf_tfidf_linear_combined,0.98,0.89,0.45
5573,umap,nmf_tfidf_linear_combined,0.75,0.61,0.41
5574,umap,nmf_tfidf_linear_combined,0.98,0.9,0.44
5575,umap,nmf_tfidf_linear_combined,0.94,0.91,0.47
5576,umap,nmf_tfidf_linear_combined,0.95,0.91,0.44
5577,umap,nmf_tfidf_linear_combined,0.78,0.62,0.4
9153,umap,nmf_tfidf_linear_combined,0.96,0.88,0.72
9154,umap,nmf_tfidf_linear_combined,0.97,0.87,0.74
9155,umap,nmf_tfidf_linear_combined,0.96,0.87,0.73
