,embedding,DR,layout_quality_measure,embedding_quality_measure,value
0,lda,mds,acc_loc,c_v,-0.03
1,lda,mds,acc_glo,c_v,0.26
2,lda,mds,per,c_v,-0.28
3,lda,mds,acc_loc,u_mass,0.22
4,lda,mds,acc_glo,u_mass,0.06
5,lda,mds,per,u_mass,0.32
6,lda,mds,acc_loc,c_uci,0.2
7,lda,mds,acc_glo,c_uci,0.41
8,lda,mds,per,c_uci,-0.03
9,lda,mds,acc_loc,c_npmi,0.04
10,lda,mds,acc_glo,c_npmi,0.63
11,lda,mds,per,c_npmi,-0.39
12,lda,som,acc_loc,c_v,0.02
13,lda,som,acc_glo,c_v,0.02
14,lda,som,per,c_v,-0.35
15,lda,som,acc_loc,u_mass,0.02
16,lda,som,acc_glo,u_mass,0.1
17,lda,som,per,u_mass,0.02
18,lda,som,acc_loc,c_uci,0.06
19,lda,som,acc_glo,c_uci,0.22
20,lda,som,per,c_uci,-0.23
21,lda,som,acc_loc,c_npmi,0.03
22,lda,som,acc_glo,c_npmi,0.17
23,lda,som,per,c_npmi,-0.53
24,lda,tsne,acc_loc,c_v,0.01
25,lda,tsne,acc_glo,c_v,0.04
26,lda,tsne,per,c_v,-0.28
27,lda,tsne,acc_loc,u_mass,-0.06
28,lda,tsne,acc_glo,u_mass,-0.18
29,lda,tsne,per,u_mass,-0.12
30,lda,tsne,acc_loc,c_uci,-0.04
31,lda,tsne,acc_glo,c_uci,-0.18
32,lda,tsne,per,c_uci,-0.38
33,lda,tsne,acc_loc,c_npmi,-0.0
34,lda,tsne,acc_glo,c_npmi,-0.05
35,lda,tsne,per,c_npmi,-0.64
36,lda,umap,acc_loc,c_v,-0.05
37,lda,umap,acc_glo,c_v,-0.04
38,lda,umap,per,c_v,-0.32
39,lda,umap,acc_loc,u_mass,-0.0
40,lda,umap,acc_glo,u_mass,-0.02
41,lda,umap,per,u_mass,-0.05
42,lda,umap,acc_loc,c_uci,-0.03
43,lda,umap,acc_glo,c_uci,-0.05
44,lda,umap,per,c_uci,-0.31
45,lda,umap,acc_loc,c_npmi,-0.07
46,lda,umap,acc_glo,c_npmi,-0.02
47,lda,umap,per,c_npmi,-0.61
48,lsi,mds,acc_loc,c_v,0.29
49,lsi,mds,acc_glo,c_v,0.12
50,lsi,mds,per,c_v,0.13
51,lsi,mds,acc_loc,u_mass,0.15
52,lsi,mds,acc_glo,u_mass,0.19
53,lsi,mds,per,u_mass,0.03
54,lsi,mds,acc_loc,c_uci,0.37
55,lsi,mds,acc_glo,c_uci,0.38
56,lsi,mds,per,c_uci,-0.06
57,lsi,mds,acc_loc,c_npmi,0.29
58,lsi,mds,acc_glo,c_npmi,0.21
59,lsi,mds,per,c_npmi,0.12
60,lsi,som,acc_loc,c_v,-0.08
61,lsi,som,acc_glo,c_v,0.07
62,lsi,som,per,c_v,-0.03
63,lsi,som,acc_loc,u_mass,-0.15
64,lsi,som,acc_glo,u_mass,0.06
65,lsi,som,per,u_mass,0.06
66,lsi,som,acc_loc,c_uci,-0.17
67,lsi,som,acc_glo,c_uci,0.03
68,lsi,som,per,c_uci,-0.16
69,lsi,som,acc_loc,c_npmi,-0.19
70,lsi,som,acc_glo,c_npmi,0.05
71,lsi,som,per,c_npmi,-0.05
72,lsi,tsne,acc_loc,c_v,0.1
73,lsi,tsne,acc_glo,c_v,0.32
74,lsi,tsne,per,c_v,0.03
75,lsi,tsne,acc_loc,u_mass,0.15
76,lsi,tsne,acc_glo,u_mass,0.29
77,lsi,tsne,per,u_mass,-0.03
78,lsi,tsne,acc_loc,c_uci,0.14
79,lsi,tsne,acc_glo,c_uci,0.24
80,lsi,tsne,per,c_uci,-0.28
81,lsi,tsne,acc_loc,c_npmi,0.1
82,lsi,tsne,acc_glo,c_npmi,0.35
83,lsi,tsne,per,c_npmi,-0.09
84,lsi,umap,acc_loc,c_v,-0.11
85,lsi,umap,acc_glo,c_v,-0.03
86,lsi,umap,per,c_v,-0.07
87,lsi,umap,acc_loc,u_mass,-0.18
88,lsi,umap,acc_glo,u_mass,-0.06
89,lsi,umap,per,u_mass,0.04
90,lsi,umap,acc_loc,c_uci,-0.18
91,lsi,umap,acc_glo,c_uci,-0.07
92,lsi,umap,per,c_uci,-0.17
93,lsi,umap,acc_loc,c_npmi,-0.21
94,lsi,umap,acc_glo,c_npmi,-0.06
95,lsi,umap,per,c_npmi,-0.08
96,lsi_tfidf,mds,acc_loc,c_v,0.21
97,lsi_tfidf,mds,acc_glo,c_v,-0.1
98,lsi_tfidf,mds,per,c_v,0.15
99,lsi_tfidf,mds,acc_loc,u_mass,0.28
100,lsi_tfidf,mds,acc_glo,u_mass,0.24
101,lsi_tfidf,mds,per,u_mass,0.3
102,lsi_tfidf,mds,acc_loc,c_uci,0.29
103,lsi_tfidf,mds,acc_glo,c_uci,0.4
104,lsi_tfidf,mds,per,c_uci,0.04
105,lsi_tfidf,mds,acc_loc,c_npmi,0.44
106,lsi_tfidf,mds,acc_glo,c_npmi,0.51
107,lsi_tfidf,mds,per,c_npmi,-0.12
108,lsi_tfidf,som,acc_loc,c_v,0.28
109,lsi_tfidf,som,acc_glo,c_v,0.26
110,lsi_tfidf,som,per,c_v,0.33
111,lsi_tfidf,som,acc_loc,u_mass,-0.47
112,lsi_tfidf,som,acc_glo,u_mass,0.22
113,lsi_tfidf,som,per,u_mass,-0.11
114,lsi_tfidf,som,acc_loc,c_uci,-0.43
115,lsi_tfidf,som,acc_glo,c_uci,0.21
116,lsi_tfidf,som,per,c_uci,-0.27
117,lsi_tfidf,som,acc_loc,c_npmi,-0.22
118,lsi_tfidf,som,acc_glo,c_npmi,0.33
119,lsi_tfidf,som,per,c_npmi,-0.17
120,lsi_tfidf,tsne,acc_loc,c_v,0.42
121,lsi_tfidf,tsne,acc_glo,c_v,0.11
122,lsi_tfidf,tsne,per,c_v,0.23
123,lsi_tfidf,tsne,acc_loc,u_mass,-0.0
124,lsi_tfidf,tsne,acc_glo,u_mass,0.54
125,lsi_tfidf,tsne,per,u_mass,-0.27
126,lsi_tfidf,tsne,acc_loc,c_uci,-0.01
