,embedding,DR,layout-quality-measure,embedding-quality-measure,value
0,lda,mds,accloc,c-v,-0.03
1,lda,mds,accglo,c-v,0.26
2,lda,mds,per,c-v,-0.28
3,lda,mds,accloc,u-mass,0.22
4,lda,mds,accglo,u-mass,0.06
5,lda,mds,per,u-mass,0.32
6,lda,mds,accloc,c-uci,0.2
7,lda,mds,accglo,c-uci,0.41
8,lda,mds,per,c-uci,-0.03
9,lda,mds,accloc,c-npmi,0.04
10,lda,mds,accglo,c-npmi,0.63
11,lda,mds,per,c-npmi,-0.39
12,lda,som,accloc,c-v,0.02
13,lda,som,accglo,c-v,0.02
14,lda,som,per,c-v,-0.35
15,lda,som,accloc,u-mass,0.02
16,lda,som,accglo,u-mass,0.1
17,lda,som,per,u-mass,0.02
18,lda,som,accloc,c-uci,0.06
19,lda,som,accglo,c-uci,0.22
20,lda,som,per,c-uci,-0.23
21,lda,som,accloc,c-npmi,0.03
22,lda,som,accglo,c-npmi,0.17
23,lda,som,per,c-npmi,-0.53
24,lda,tsne,accloc,c-v,0.01
25,lda,tsne,accglo,c-v,0.04
26,lda,tsne,per,c-v,-0.28
27,lda,tsne,accloc,u-mass,-0.06
28,lda,tsne,accglo,u-mass,-0.18
29,lda,tsne,per,u-mass,-0.12
30,lda,tsne,accloc,c-uci,-0.04
31,lda,tsne,accglo,c-uci,-0.18
32,lda,tsne,per,c-uci,-0.38
33,lda,tsne,accloc,c-npmi,-0.0
34,lda,tsne,accglo,c-npmi,-0.05
35,lda,tsne,per,c-npmi,-0.64
36,lda,umap,accloc,c-v,-0.05
37,lda,umap,accglo,c-v,-0.04
38,lda,umap,per,c-v,-0.32
39,lda,umap,accloc,u-mass,-0.0
40,lda,umap,accglo,u-mass,-0.02
41,lda,umap,per,u-mass,-0.05
42,lda,umap,accloc,c-uci,-0.03
43,lda,umap,accglo,c-uci,-0.05
44,lda,umap,per,c-uci,-0.31
45,lda,umap,accloc,c-npmi,-0.07
46,lda,umap,accglo,c-npmi,-0.02
47,lda,umap,per,c-npmi,-0.61
48,lsi,mds,accloc,c-v,0.29
49,lsi,mds,accglo,c-v,0.12
50,lsi,mds,per,c-v,0.13
51,lsi,mds,accloc,u-mass,0.15
52,lsi,mds,accglo,u-mass,0.19
53,lsi,mds,per,u-mass,0.03
54,lsi,mds,accloc,c-uci,0.37
55,lsi,mds,accglo,c-uci,0.38
56,lsi,mds,per,c-uci,-0.06
57,lsi,mds,accloc,c-npmi,0.29
58,lsi,mds,accglo,c-npmi,0.21
59,lsi,mds,per,c-npmi,0.12
60,lsi,som,accloc,c-v,-0.08
61,lsi,som,accglo,c-v,0.07
62,lsi,som,per,c-v,-0.03
63,lsi,som,accloc,u-mass,-0.15
64,lsi,som,accglo,u-mass,0.06
65,lsi,som,per,u-mass,0.06
66,lsi,som,accloc,c-uci,-0.17
67,lsi,som,accglo,c-uci,0.03
68,lsi,som,per,c-uci,-0.16
69,lsi,som,accloc,c-npmi,-0.19
70,lsi,som,accglo,c-npmi,0.05
71,lsi,som,per,c-npmi,-0.05
72,lsi,tsne,accloc,c-v,0.1
73,lsi,tsne,accglo,c-v,0.32
74,lsi,tsne,per,c-v,0.03
75,lsi,tsne,accloc,u-mass,0.15
76,lsi,tsne,accglo,u-mass,0.29
77,lsi,tsne,per,u-mass,-0.03
78,lsi,tsne,accloc,c-uci,0.14
79,lsi,tsne,accglo,c-uci,0.24
80,lsi,tsne,per,c-uci,-0.28
81,lsi,tsne,accloc,c-npmi,0.1
82,lsi,tsne,accglo,c-npmi,0.35
83,lsi,tsne,per,c-npmi,-0.09
84,lsi,umap,accloc,c-v,-0.11
85,lsi,umap,accglo,c-v,-0.03
86,lsi,umap,per,c-v,-0.07
87,lsi,umap,accloc,u-mass,-0.18
88,lsi,umap,accglo,u-mass,-0.06
89,lsi,umap,per,u-mass,0.04
90,lsi,umap,accloc,c-uci,-0.18
91,lsi,umap,accglo,c-uci,-0.07
92,lsi,umap,per,c-uci,-0.17
93,lsi,umap,accloc,c-npmi,-0.21
94,lsi,umap,accglo,c-npmi,-0.06
95,lsi,umap,per,c-npmi,-0.08
96,lsi-tfidf,mds,accloc,c-v,0.21
97,lsi-tfidf,mds,accglo,c-v,-0.1
98,lsi-tfidf,mds,per,c-v,0.15
99,lsi-tfidf,mds,accloc,u-mass,0.28
100,lsi-tfidf,mds,accglo,u-mass,0.24
101,lsi-tfidf,mds,per,u-mass,0.3
102,lsi-tfidf,mds,accloc,c-uci,0.29
103,lsi-tfidf,mds,accglo,c-uci,0.4
104,lsi-tfidf,mds,per,c-uci,0.04
105,lsi-tfidf,mds,accloc,c-npmi,0.44
106,lsi-tfidf,mds,accglo,c-npmi,0.51
107,lsi-tfidf,mds,per,c-npmi,-0.12
108,lsi-tfidf,som,accloc,c-v,0.28
109,lsi-tfidf,som,accglo,c-v,0.26
110,lsi-tfidf,som,per,c-v,0.33
111,lsi-tfidf,som,accloc,u-mass,-0.47
112,lsi-tfidf,som,accglo,u-mass,0.22
113,lsi-tfidf,som,per,u-mass,-0.11
114,lsi-tfidf,som,accloc,c-uci,-0.43
115,lsi-tfidf,som,accglo,c-uci,0.21
116,lsi-tfidf,som,per,c-uci,-0.27
117,lsi-tfidf,som,accloc,c-npmi,-0.22
118,lsi-tfidf,som,accglo,c-npmi,0.33
119,lsi-tfidf,som,per,c-npmi,-0.17
120,lsi-tfidf,tsne,accloc,c-v,0.42
121,lsi-tfidf,tsne,accglo,c-v,0.11
122,lsi-tfidf,tsne,per,c-v,0.23
123,lsi-tfidf,tsne,accloc,u-mass,-0.0
124,lsi-tfidf,tsne,accglo,u-mass,0.54
125,lsi-tfidf,tsne,per,u-mass,-0.27
126,lsi-tfidf,tsne,accloc,c-uci,-0.01
127,lsi-tfidf,tsne,accglo,c-uci,0.46
128,lsi-tfidf,tsne,per,c-uci,-0.4
129,lsi-tfidf,tsne,accloc,c-npmi,0.19
130,lsi-tfidf,tsne,accglo,c-npmi,0.48
131,lsi-tfidf,tsne,per,c-npmi,-0.34
132,lsi-tfidf,umap,accloc,c-v,0.18
