,embedding,DR,layout-quality-measure,embedding-quality-measure,value
0,lda,mds,accloc,c-v,-0.17
1,lda,mds,accglo,c-v,0.19
2,lda,mds,per,c-v,-0.33
3,lda,mds,accloc,u-mass,0.01
4,lda,mds,accglo,u-mass,-0.18
5,lda,mds,per,u-mass,0.4
6,lda,mds,accloc,c-uci,-0.13
7,lda,mds,accglo,c-uci,0.25
8,lda,mds,per,c-uci,-0.07
9,lda,mds,accloc,c-npmi,-0.22
10,lda,mds,accglo,c-npmi,0.52
11,lda,mds,per,c-npmi,-0.42
12,lda,som,accloc,c-v,0.03
13,lda,som,accglo,c-v,-0.02
14,lda,som,per,c-v,-0.31
15,lda,som,accloc,u-mass,-0.04
16,lda,som,accglo,u-mass,-0.01
17,lda,som,per,u-mass,0.06
18,lda,som,accloc,c-uci,0.02
19,lda,som,accglo,c-uci,0.14
20,lda,som,per,c-uci,-0.25
21,lda,som,accloc,c-npmi,0.05
22,lda,som,accglo,c-npmi,0.14
23,lda,som,per,c-npmi,-0.5
24,lda,tsne,accloc,c-v,0.12
25,lda,tsne,accglo,c-v,0.11
26,lda,tsne,per,c-v,-0.23
27,lda,tsne,accloc,u-mass,-0.08
28,lda,tsne,accglo,u-mass,-0.05
29,lda,tsne,per,u-mass,0.0
30,lda,tsne,accloc,c-uci,-0.02
31,lda,tsne,accglo,c-uci,0.01
32,lda,tsne,per,c-uci,-0.33
33,lda,tsne,accloc,c-npmi,0.06
34,lda,tsne,accglo,c-npmi,0.08
35,lda,tsne,per,c-npmi,-0.58
36,lda,umap,accloc,c-v,0.01
37,lda,umap,accglo,c-v,0.0
38,lda,umap,per,c-v,-0.29
39,lda,umap,accloc,u-mass,-0.04
40,lda,umap,accglo,u-mass,0.03
41,lda,umap,per,u-mass,0.06
42,lda,umap,accloc,c-uci,-0.05
43,lda,umap,accglo,c-uci,0.04
44,lda,umap,per,c-uci,-0.28
45,lda,umap,accloc,c-npmi,-0.05
46,lda,umap,accglo,c-npmi,0.04
47,lda,umap,per,c-npmi,-0.55
48,lsi,mds,accloc,c-v,0.37
