,corpus,embedding,DR,layout-quality-measure,value
0,20Newsgroups,bow,mds,accloc,0
1,20Newsgroups,bow,mds,accglo,0
2,20Newsgroups,bow,mds,perception,0
3,20Newsgroups,bow,som,accloc,0.8
4,20Newsgroups,bow,som,accglo,0.57
5,20Newsgroups,bow,som,perception,0.25
6,20Newsgroups,bow,tsne,accloc,0.93
7,20Newsgroups,bow,tsne,accglo,0.62
8,20Newsgroups,bow,tsne,perception,0.57
9,20Newsgroups,bow,umap,accloc,0.74
10,20Newsgroups,bow,umap,accglo,0.57
11,20Newsgroups,bow,umap,perception,0.29
12,20Newsgroups,tfidf,mds,accloc,0
13,20Newsgroups,tfidf,mds,accglo,0
14,20Newsgroups,tfidf,mds,perception,0
15,20Newsgroups,tfidf,som,accloc,0.87
16,20Newsgroups,tfidf,som,accglo,0.52
17,20Newsgroups,tfidf,som,perception,0.4
18,20Newsgroups,tfidf,tsne,accloc,0.93
19,20Newsgroups,tfidf,tsne,accglo,0.57
20,20Newsgroups,tfidf,tsne,perception,0.65
21,20Newsgroups,tfidf,umap,accloc,0.9
22,20Newsgroups,tfidf,umap,accglo,0.56
23,20Newsgroups,tfidf,umap,perception,0.61
24,20Newsgroups,lda,mds,accloc,0
25,20Newsgroups,lda,mds,accglo,0
26,20Newsgroups,lda,mds,perception,0
27,20Newsgroups,lda,som,accloc,0.97
28,20Newsgroups,lda,som,accglo,0.68
29,20Newsgroups,lda,som,perception,0.28
30,20Newsgroups,lda,tsne,accloc,0.98
31,20Newsgroups,lda,tsne,accglo,0.73
32,20Newsgroups,lda,tsne,perception,0.34
33,20Newsgroups,lda,umap,accloc,0.98
34,20Newsgroups,lda,umap,accglo,0.75
35,20Newsgroups,lda,umap,perception,0.32
36,20Newsgroups,lda-SC,mds,accloc,0
37,20Newsgroups,lda-SC,mds,accglo,0
38,20Newsgroups,lda-SC,mds,perception,0
39,20Newsgroups,lda-SC,som,accloc,0.97
40,20Newsgroups,lda-SC,som,accglo,0.76
41,20Newsgroups,lda-SC,som,perception,0.29
42,20Newsgroups,lda-SC,tsne,accloc,0.98
43,20Newsgroups,lda-SC,tsne,accglo,0.81
44,20Newsgroups,lda-SC,tsne,perception,0.36
45,20Newsgroups,lda-SC,umap,accloc,0.98
46,20Newsgroups,lda-SC,umap,accglo,0.85
47,20Newsgroups,lda-SC,umap,perception,0.33
48,20Newsgroups,lsi,mds,accloc,0
49,20Newsgroups,lsi,mds,accglo,0
50,20Newsgroups,lsi,mds,perception,0
51,20Newsgroups,lsi,som,accloc,0.88
52,20Newsgroups,lsi,som,accglo,0.73
53,20Newsgroups,lsi,som,perception,0.25
54,20Newsgroups,lsi,tsne,accloc,0.97
55,20Newsgroups,lsi,tsne,accglo,0.81
56,20Newsgroups,lsi,tsne,perception,0.36
57,20Newsgroups,lsi,umap,accloc,0.87
58,20Newsgroups,lsi,umap,accglo,0.75
59,20Newsgroups,lsi,umap,perception,0.28
60,20Newsgroups,lsi-SC,mds,accloc,0
61,20Newsgroups,lsi-SC,mds,accglo,0
62,20Newsgroups,lsi-SC,mds,perception,0
63,20Newsgroups,lsi-SC,som,accloc,0.89
64,20Newsgroups,lsi-SC,som,accglo,0.74
65,20Newsgroups,lsi-SC,som,perception,0.25
66,20Newsgroups,lsi-SC,tsne,accloc,0.97
67,20Newsgroups,lsi-SC,tsne,accglo,0.81
68,20Newsgroups,lsi-SC,tsne,perception,0.36
69,20Newsgroups,lsi-SC,umap,accloc,0.86
70,20Newsgroups,lsi-SC,umap,accglo,0.75
71,20Newsgroups,lsi-SC,umap,perception,0.28
72,20Newsgroups,lsi-tfidf,mds,accloc,0
73,20Newsgroups,lsi-tfidf,mds,accglo,0
