model_type,n_topics,alpha_lda,coherence_u_mass,coherence_c_v,coherence_c_uci,coherence_c_npmi,perplexity
lda,10,auto,-1.6477709676253611,0.4317687909307116,-0.4037138899552934,0.0003106162472341,254.6126581435616
lda,15,auto,-1.691588945438223,0.4253242111419681,-0.3295116628196001,0.0053108153949375,285.1023878096248
lda,20,auto,-2.0842962048562543,0.4506468057610445,-0.6002765010040516,0.0092069254388689,302.91261877039386
lda,25,auto,-1.9800098227267968,0.4252053017303652,-0.4664753524924977,0.0037676442961932,329.1992609273178
lda,30,auto,-2.3584494169730434,0.4395878896402776,-0.6789737991829627,0.005376307704363,357.2737272817046
lsi,10,,-2.4569076853636505,0.3990683292584047,-0.921959086180378,-0.0064944121505686,-1.0
lsi,15,,-2.3029252401000964,0.404466582355243,-0.7964438056551832,-0.0054013675812612,-1.0
lsi,20,,-2.5323891397041645,0.4498829513727521,-0.8675056272034734,0.0066361544227608,-1.0
lsi,25,,-2.575372862951458,0.388208314683561,-1.101581628660146,-0.018556381164046,-1.0
lsi,30,,-2.551561738233635,0.3912399848304776,-1.0254853025590325,-0.0127348785397952,-1.0
lsi_tfidf,10,,-3.163692865759484,0.4021369951120747,-1.7939638193326908,-0.026479377489725,-1.0
lsi_tfidf,15,,-3.531283673841751,0.4040660974978755,-2.0695563237107817,-0.0342257189547452,-1.0
lsi_tfidf,20,,-3.636602656052142,0.3446261307351007,-2.6713444315154646,-0.0703233350125448,-1.0
lsi_tfidf,25,,-3.7541475220778056,0.3661912991666995,-2.606794332295505,-0.0639674151568047,-1.0
lsi_tfidf,30,,-4.083538486275796,0.3619997432862595,-3.096827836893551,-0.0834334809743935,-1.0
nmf,10,,-1.9950920701218169,0.4732526149659921,-0.248177231760997,0.021431435452069,-1.0
nmf,15,,-2.2190852603399307,0.4785558942292794,-0.1077754596340166,0.035077858596028,-1.0
nmf,20,,-2.107282769314728,0.4837704570027767,0.0977055198788692,0.044855235973501,-1.0
nmf,25,,-2.202225748869182,0.5276589413118753,0.0363802751420804,0.0474313839158517,-1.0
nmf,30,,-2.199158860320375,0.5110540012104409,-0.0788013531652763,0.0395363476275115,-1.0
nmf_tfidf,10,,-2.471032252731776,0.5114987771065738,-0.616860316514873,0.0294152782087796,-1.0
nmf_tfidf,15,,-2.739077803199116,0.5095073349608791,-0.9340401947777642,0.0214758134745037,-1.0
nmf_tfidf,20,,-3.1960379113009902,0.4627402688036517,-1.5654003067753377,-0.0075002890655007,-1.0
nmf_tfidf,25,,-3.143437871341384,0.4579203335279784,-1.4963478860460395,-0.008227302371864,-1.0
nmf_tfidf,30,,-3.3850961894822333,0.4152454791899214,-2.1314555604260854,-0.03334922809148631,-1.0
