model_type,n_topics,alpha_lda,coherence_u_mass,coherence_c_v,coherence_c_uci,coherence_c_npmi,perplexity
lda,5,auto,-1.3464397427231125,0.3256371706940344,-0.2611350174077064,-0.0047695177712771,244.3779369127534
lda,10,auto,-1.7721307438801273,0.3358105629582255,-0.5858594642151636,-0.0142741054357137,254.8740407988641
lda,15,auto,-1.7409275642230255,0.3622309571882349,-0.4795641968577839,-0.0060142608144156,262.8701491011371
lda,20,auto,-2.0537869894486125,0.3587238448444638,-0.930560725649125,-0.0150643634302906,271.85836228083565
lda,25,auto,-2.2838967324796693,0.3446256581465407,-1.1742406927330444,-0.0287667328874612,282.77963440752404
lsi,5,,-1.5677071951176962,0.4951535234540546,-0.213144977745355,0.0308623572434938,-1.0
lsi,10,,-1.8512622051207803,0.4271477897327161,-0.5484627859196853,0.0122741261811762,-1.0
lsi,15,,-2.261004615947314,0.3567338388227497,-1.1975246180723522,-0.0204794762943666,-1.0
lsi,20,,-2.339774023313108,0.2902123355411081,-1.483745848144968,-0.0399397681109054,-1.0
lsi,25,,-2.406385259136348,0.3102574779851011,-1.4930563431225516,-0.0390084902963889,-1.0
lsi_tfidf,5,,-2.0758541816513207,0.5489962186620927,-0.7180758667053443,0.0316456560216741,-1.0
lsi_tfidf,10,,-3.44090637343985,0.4329736487062998,-2.5390566866050728,-0.0400766271863312,-1.0
lsi_tfidf,15,,-3.6235859957280656,0.4066212481214465,-3.160395587561331,-0.0693790488324531,-1.0
lsi_tfidf,20,,-4.480406563534222,0.3863870809832906,-3.940925634742638,-0.1021005942966445,-1.0
lsi_tfidf,25,,-4.987784183685842,0.3724820270510939,-4.634297976117723,-0.1354758488254061,-1.0
nmf,5,,-1.21925297089233,0.3417124175331124,0.0360820510431968,0.0095574058023891,-1.0
nmf,10,,-1.5714007086475987,0.2959660296290698,-0.4685315678442833,-0.0117256684096279,-1.0
nmf,15,,-1.6852475123017012,0.329850489022513,-0.3875539998940869,-0.005660812879182,-1.0
nmf,20,,-1.9440791142832428,0.3295943037807012,-0.6535760758805577,-0.009170213325485,-1.0
nmf,25,,-1.717726600082728,0.3361071904297049,-0.4645606268849949,-0.0046512020917024,-1.0
nmf_tfidf,5,,-2.884269396759932,0.3063972498977969,-2.5396340507147293,-0.082842741131583,-1.0
nmf_tfidf,10,,-3.933645164568129,0.3841814543594141,-3.1941005337361945,-0.0878557608599227,-1.0
nmf_tfidf,15,,-3.899251405238663,0.3619061390133213,-3.4538147229915848,-0.0989829326436682,-1.0
nmf_tfidf,20,,-4.247229919741622,0.394312622723921,-3.6563302284662766,-0.1003974991248628,-1.0
nmf_tfidf,25,,-4.65734244827895,0.4094344579930891,-3.9564239542483937,-0.10843667015124199,-1.0
