model_type,n_topics,alpha_lda,coherence_u_mass,coherence_c_v,coherence_c_uci,coherence_c_npmi,perplexity
lda,4,auto,-1.1660422142704625,0.4091349588793831,-0.0155983469015217,0.0021809250628559,237.5033447659003
lda,8,auto,-1.369958804905981,0.3491074919609457,-0.2763452444271825,-0.0116676727992596,247.74925081835616
lda,12,auto,-1.7168484665225192,0.3629866106634009,-0.938175283211003,-0.0308551823890838,293.33640863384664
lda,16,auto,-1.72662346441509,0.37450192105517,-0.504173504924975,-0.0103855652674967,324.3739999452147
lda,20,auto,-2.249487860173644,0.3457229789401151,-1.266641260779359,-0.0381419460526938,345.3336316814322
lsi,4,,-2.0224030126970534,0.5093427443118858,-0.3358478051848378,0.0303031355579453,-1.0
lsi,8,,-2.3310361200794274,0.4257569082188047,-0.7912446951976619,0.0033230499458767,-1.0
lsi,12,,-2.178242084517396,0.4031092035331398,-0.6595023968875281,0.0012586977518132,-1.0
lsi,16,,-2.500616938039971,0.3693433449096005,-1.1451369128156144,-0.0171376016737323,-1.0
lsi,20,,-2.554082050644527,0.3476491943936288,-1.2999001360957816,-0.0255174097251172,-1.0
lsi_tfidf,4,,-1.7225102940113004,0.5175675425959194,-0.3787590028133387,0.024559128689254,-1.0
lsi_tfidf,8,,-2.606539282436945,0.487618418073083,-1.423267707632708,-0.0031979300881063,-1.0
lsi_tfidf,12,,-2.31948916433481,0.4374978140860635,-1.4277715734353524,-0.0085852734152323,-1.0
lsi_tfidf,16,,-3.742099575952138,0.4031416329197027,-3.4061604886395145,-0.0842250569607994,-1.0
lsi_tfidf,20,,-3.316279748297673,0.3651244593934579,-2.9303376146541864,-0.061073275645656,-1.0
nmf,4,,-1.6124527371355857,0.5135071406540728,0.1781248681632928,0.0411128932243963,-1.0
nmf,8,,-2.143521209800495,0.5527771611919661,0.0166389183437115,0.0504466262491538,-1.0
nmf,12,,-2.0787651322608816,0.5226372998902197,-0.0676487657894048,0.0400001348939771,-1.0
nmf,16,,-2.08157445706807,0.5096051019847243,-0.1410003292508661,0.036882224690226,-1.0
nmf,20,,-2.309793248056151,0.5126796731217161,-0.1989263086193601,0.0382853881475564,-1.0
nmf_tfidf,4,,-1.5611058192848626,0.5354116969558956,0.1925818794822717,0.0502366874152915,-1.0
nmf_tfidf,8,,-2.2056243954053176,0.4162105553283519,-1.2331592409336465,-0.0053064275652093,-1.0
nmf_tfidf,12,,-2.724442949256719,0.4902845305656527,-1.4561537740012038,-0.0004696456256539,-1.0
nmf_tfidf,16,,-2.73270489201058,0.3728036454805596,-2.1527247257837336,-0.038151520628901,-1.0
nmf_tfidf,20,,-3.032404491378927,0.4089051137893951,-2.280919121634902,-0.037094947779398105,-1.0
