model_type,n_topics,alpha_lda,coherence_u_mass,coherence_c_v,coherence_c_uci,coherence_c_npmi,perplexity
lda,4,auto,-1.012994203319118,0.3122282761870247,-0.0570121164819771,-0.0015601243720272,124.91047135500408
lda,8,auto,-1.0680923453741085,0.3075372599247112,-0.1023678187746098,-0.0046713347736863,124.280696463286
lda,12,auto,-5.5871819023527145,0.3080807368814244,-5.131694928168952,-0.1872120678148545,974.2036555521732
lda,16,auto,-1.487551653351251,0.3102909340967013,-0.4049554689951616,-0.0135912223686094,135.10162706099598
lda,20,auto,-1.490320136193724,0.2971801356328677,-0.3200379771209879,-0.0127766551811921,140.57776592431978
lsi,4,,-1.075518769947594,0.3060121927828494,-0.0892368264141703,-0.0058113160946585,-1.0
lsi,8,,-1.28637696105967,0.3918685013586022,0.133042595935992,0.0177090852576345,-1.0
lsi,12,,-5.608446990913062,0.3180512860987474,-4.933241466758781,-0.1794583232852094,-1.0
lsi,16,,-1.6069989933923048,0.3202328414219027,-0.2507983255774185,-0.0046462362409465,-1.0
lsi,20,,-1.594813261722736,0.319390390404024,-0.1967060122275761,-0.0034247235712559,-1.0
lsi_tfidf,4,,-1.4467801750304856,0.3835301260435553,0.1841045603274954,0.0255296421000751,-1.0
lsi_tfidf,8,,-1.8485193885425808,0.334771557374714,0.0719656785206326,0.0173524667207247,-1.0
lsi_tfidf,12,,-1.877115937323314,0.3292657531428978,0.0247941060541069,0.0117961128736655,-1.0
lsi_tfidf,16,,-1.6811798258381807,0.3267010385630298,0.0645787677932478,0.0123583838401956,-1.0
lsi_tfidf,20,,-1.7667085188856664,0.3330370889300128,0.0608600044132178,0.01338532462747,-1.0
nmf,4,,-1.0304497832720294,0.331595452747938,0.0024885531110674,0.0014493297803598,-1.0
nmf,8,,-1.032157550511669,0.3226670375557111,-0.0177147547128977,0.0015318167192962,-1.0
nmf,12,,-4.021483913713316,0.2670034061356484,-3.931407142529604,-0.1419710212745205,-1.0
nmf,16,,-1.403184850067275,0.3094627413875205,-0.1895597826171484,-0.0062005785246295,-1.0
nmf,20,,-1.502968772116121,0.3181025922437331,-0.1762658313725301,-0.0061649614035992,-1.0
nmf_tfidf,4,,-1.163841984966407,0.3701014562604579,0.1029457491489787,0.0157214152442767,-1.0
nmf_tfidf,8,,-1.455782163778113,0.3733535945859789,0.1417720746948998,0.0203291440324486,-1.0
nmf_tfidf,12,,-6.583698226326255,0.336702029835543,-5.629805954762685,-0.2030104682274317,-1.0
nmf_tfidf,16,,-1.6352903705319406,0.3378174149594206,0.0140469803780556,0.0072252622077444,-1.0
nmf_tfidf,20,,-1.7075389249633257,0.33335906108389,-0.017075838621596357,0.007526866136233362,-1.0
