Experiment,Trustworthiness,Continuity,Shephard Diagram Correlation,Normalized Stress,7-Neighborhood Hit,Calinski-Harabasz-Index,Silhouette coefficient,Davies-Bouldin-Index,SDBW validity index,Distance consistency,Complete List of Hyperparameters,DR,TM
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9599650601946996,0.8933239147205222,0.2715874316638877,259.7558324975101,0.5528801232354352,1057.8002313763204,-0.0919613374655865,9.399059264269766,0.6113668035590701,0.3460314654410465,"{'som': {'n': 10, 'm': 30}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9345795208841592,0.874772081714338,0.2366182628867266,163.71370718821507,0.4955554433192758,1012.4141546890976,-0.1336823328251378,10.122155944446284,0.8579981564758241,0.2711684638500972,"{'som': {'n': 5, 'm': 25}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9595013419242138,0.8987564558801784,0.3052965460301129,152.10183895269807,0.5365792065456197,1090.922791414499,-0.0430547057713247,5.129582868526335,0.6838379064045398,0.413028106770373,"{'som': {'n': 15, 'm': 20}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9632011872306612,0.8892833606118359,0.2988756755743793,214.08136945375705,0.566100154044294,816.2650407595673,-0.0864622592098019,11.14103736774537,0.6945129884991965,0.3533675092805374,"{'som': {'n': 15, 'm': 25}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.968020365635906,0.8997620346843602,0.2794208083377008,284.17495610202803,0.580014646834516,1125.8868470026075,-0.0481396393289411,8.635170656456761,0.7630477141779493,0.4353013964999116,"{'som': {'n': 15, 'm': 30}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9730506290259489,0.9112667807608577,0.3638563711186605,402.079910123146,0.6115179676254451,1094.6216080961826,-0.0458451636131018,7.12686422160957,0.6101085762899792,0.4310588651228566,"{'som': {'n': 30, 'm': 25}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9670310752670556,0.8991926923731741,0.2773739126662924,291.8943280844381,0.5794717038309048,1192.8826424714553,-0.053723943638596,7.8913087261355965,0.6105054473419742,0.3922573802368747,"{'som': {'n': 30, 'm': 15}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9720554995753156,0.8923991513998881,0.3009227174840084,333.5675636702792,0.5981969241647516,708.8819178762878,-0.0619202209495457,11.030473079982032,0.7365576015944373,0.4050733604383949,"{'som': {'n': 30, 'm': 20}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9737842029130676,0.9068644929105336,0.2907412959594079,410.3476714657209,0.6012020505568323,1149.4261314462265,-0.0348281021412364,7.166103456753767,0.6203328465316862,0.4589004772847799,"{'som': {'n': 25, 'm': 30}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.9633069877731638,0.9115295617830896,0.3227648589184666,199.90872691220997,0.5665042046516325,1243.3290378219986,-0.0371918360921174,5.57872112772492,0.6569209490658375,0.4383065228919922,"{'som': {'n': 20, 'm': 20}}",som,bert
20_newsgroups_bert_all-MiniLM-L6-v2_n_categories_20_som__10_0_0_0_0_0,0.8555445551241571,0.832603116704129,0.2044376848619662,6.916319281663194,0.4447081997020127,324.1483996962152,-0.0578106214331052,8.500681700853438,0.8157224084133726,0.3773201343468269,"{'som': {'n': 5, 'm': 5}}",som,bert
