Experiment,Trustworthiness,Continuity,Shephard Diagram Correlation,Normalized Stress,7-Neighborhood Hit,Calinski-Harabasz-Index,Silhouette coefficient,Davies-Bouldin-Index,SDBW validity index,Distance consistency,Complete List of Hyperparameters,DR,TM
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_mds__10_0_0_0_0_0,0.494626548405666,0.4782445288337313,-0.2435852325965599,0.4459375260384991,0.3095987158908507,0.258361732088765,-0.0901350223612174,141.32722281009416,1.7434838755047657,0.1937078651685393,"{'mds': {'max_iter': 250, 'dissimilarity_metric': 'cosine'}}",mds,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_mds__10_0_0_0_0_0,0.494626548405666,0.4782445288337313,-0.2435852325965607,0.4459375260384988,0.3095987158908507,0.2583617320887849,-0.0901350223612174,141.3272228100892,1.7434838755047646,0.1937078651685393,"{'mds': {'max_iter': 300, 'dissimilarity_metric': 'cosine'}}",mds,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_mds__10_0_0_0_0_0,0.494626548405666,0.4782445288337313,-0.2435852325965607,0.4459375260384988,0.3095987158908507,0.2583617320887849,-0.0901350223612174,141.3272228100892,1.7434838755047646,0.1937078651685393,"{'mds': {'max_iter': 150, 'dissimilarity_metric': 'cosine'}}",mds,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_mds__10_0_0_0_0_0,0.4986471614314859,0.480988601646316,-0.2435727448022655,0.4459433657595061,0.3090850722311395,0.1983141979238595,-0.0900480603896787,146.9225656936192,1.935714364226467,0.1887640449438202,"{'mds': {'max_iter': 100, 'dissimilarity_metric': 'cosine'}}",mds,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_som__10_0_0_0_0_0,0.9716949631775612,0.9210073354880152,0.2486434670399485,329.781790558147,0.916083467094703,579.7812928696712,0.2010090146918968,2.1116797952409168,0.6743008842782386,0.7847191011235956,"{'som': {'n': 15, 'm': 30}}",som,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_som__10_0_0_0_0_0,0.9715724682126436,0.9154085557977036,0.2033863060035231,186.6441822282397,0.9117174959871588,522.8061249673019,0.1068906017118617,2.7180828783961792,1.043252265792987,0.5231460674157303,"{'som': {'n': 10, 'm': 25}}",som,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_som__10_0_0_0_0_0,0.9692376109421876,0.9311901934428656,0.2742790362192105,271.1607110250552,0.9115890850722312,943.1179080450888,0.2100143065833148,1.779652067322311,0.5194691275306206,0.7123595505617978,"{'som': {'n': 10, 'm': 30}}",som,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_som__10_0_0_0_0_0,0.9634575247839156,0.938686456099446,0.4064129875443479,48.12352512167501,0.8849438202247191,1436.3651909469972,0.3144422278644899,1.085444830952736,0.5080772609338813,0.8467415730337079,"{'som': {'n': 10, 'm': 10}}",som,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_som__10_0_0_0_0_0,0.9726386732032114,0.9236961927671712,0.39058287244049,271.15813561348943,0.9176243980738362,797.2502849576757,0.1781263300792553,6.350162139489358,0.5655931028944761,0.5712359550561797,"{'som': {'n': 30, 'm': 10}}",som,bert
bbc_news_bert_all-MiniLM-L6-v2_n_categories_5_som__10_0_0_0_0_0,0.9738350580937593,0.9437171595900016,0.4443246648148501,371.250739714247,0.9180096308186196,1450.626107992579,0.3263018066334399,1.1077477724343026,0.4691642330471311,0.8804494382022472,"{'som': {'n': 25, 'm': 25}}",som,bert
