,embedding,DR,layout_quality_measure,embedding_quality_measure,value
0,lda,mds,acc,c_v,0.14940823003844933
1,lda,mds,per,c_v,-0.2769171472087833
2,lda,mds,acc,u_mass,0.08747799542012216
3,lda,mds,per,u_mass,0.32474394292705333
4,lda,mds,acc,c_uci,0.38420138593735564
5,lda,mds,per,c_uci,-0.03276135506701495
6,lda,mds,acc,c_npmi,0.4549963857495587
7,lda,mds,per,c_npmi,-0.38966881811460485
8,lda,som,acc,c_v,0.036030707980964166
9,lda,som,per,c_v,-0.35015754950258526
10,lda,som,acc,u_mass,0.08513222707176428
11,lda,som,per,u_mass,0.016872545530597877
12,lda,som,acc,c_uci,0.19675267637650712
13,lda,som,per,c_uci,-0.23207957635564538
14,lda,som,acc,c_npmi,0.15605385359795446
15,lda,som,per,c_npmi,-0.5332872773823533
16,lda,tsne,acc,c_v,0.05515770163052632
17,lda,tsne,per,c_v,-0.27709976737587794
18,lda,tsne,acc,u_mass,-0.19034109903441945
19,lda,tsne,per,u_mass,-0.11723661391333627
20,lda,tsne,acc,c_uci,-0.18563261912311482
21,lda,tsne,per,c_uci,-0.3806624944092539
22,lda,tsne,acc,c_npmi,-0.042745201461164464
23,lda,tsne,per,c_npmi,-0.641788952022099
24,lda,umap,acc,c_v,-0.02805312587530919
25,lda,umap,per,c_v,-0.32484146296562644
26,lda,umap,acc,u_mass,-0.025531251606207558
27,lda,umap,per,u_mass,-0.04600506120111119
28,lda,umap,acc,c_uci,-0.048814817526409426
29,lda,umap,per,c_uci,-0.3110926807386384
30,lda,umap,acc,c_npmi,-0.02670596799354387
31,lda,umap,per,c_npmi,-0.6115331872791809
32,lsi,mds,acc,c_v,0.2387558650947326
33,lsi,mds,per,c_v,0.13198217932411907
34,lsi,mds,acc,u_mass,0.17380915587485352
35,lsi,mds,per,u_mass,0.028558265884465035
36,lsi,mds,acc,c_uci,0.4085378136065424
37,lsi,mds,per,c_uci,-0.06049439117461949
38,lsi,mds,acc,c_npmi,0.2799228736947347
39,lsi,mds,per,c_npmi,0.11699676668796966
40,lsi,som,acc,c_v,-0.01015960548941503
41,lsi,som,per,c_v,-0.03227190419123348
42,lsi,som,acc,u_mass,-0.03657018263546226
43,lsi,som,per,u_mass,0.05860618095169349
44,lsi,som,acc,c_uci,-0.06854447077690526
45,lsi,som,per,c_uci,-0.16367996289875406
46,lsi,som,acc,c_npmi,-0.07605907011165432
47,lsi,som,per,c_npmi,-0.054030686519586174
48,lsi,tsne,acc,c_v,0.306253982601534
49,lsi,tsne,per,c_v,0.027186108680933643
50,lsi,tsne,acc,u_mass,0.26609390114515646
51,lsi,tsne,per,u_mass,-0.03288012776541805
52,lsi,tsne,acc,c_uci,0.20863271026245536
53,lsi,tsne,per,c_uci,-0.28398317639937115
