model_type,n_topics,alpha_lda,coherence_u_mass,coherence_c_v,coherence_c_uci,coherence_c_npmi,perplexity
lda,7,auto,-2.5260590795239684,0.3139845162654917,-1.4195531364995142,-0.0415018447569906,251.45665887658345
lda,14,auto,-2.1706827081378126,0.4188700943925554,-0.8099585911400805,-0.0007878029571623,338.08108400059416
lda,21,auto,-3.1242669257443145,0.3796756130558611,-2.0999675133324405,-0.0474424452641248,419.7808161041051
lda,28,auto,-3.1996937657125053,0.3337592238497005,-2.2931175587437265,-0.063925696316797,542.821854957243
lda,35,auto,-3.5506315251683045,0.3616785641102589,-2.831434813823738,-0.0792986549461518,669.2766520832163
lsi,7,,-2.3279578560478904,0.4658088548929033,-1.0294836772980998,0.0185718142511366,-1.0
lsi,14,,-3.0439090042356614,0.4283482945496777,-1.82551479254183,-0.0165034801788831,-1.0
lsi,21,,-2.926470657214397,0.3956850175275031,-2.0358692885986067,-0.0296072207673202,-1.0
lsi,28,,-3.1479721913167205,0.371399424760321,-2.416942464749191,-0.0548438978304187,-1.0
lsi,35,,-3.2864867753097444,0.348421950511234,-2.613704562364766,-0.0666381434614356,-1.0
lsi_tfidf,7,,-3.4554288969481384,0.6047244058659675,-1.8649396769749127,0.028603055887676,-1.0
lsi_tfidf,14,,-3.4637329176010567,0.6062390048182366,-1.440430672071834,0.0475572317554099,-1.0
lsi_tfidf,21,,-4.2259112373292425,0.538412850095557,-2.777095247310156,-0.0225490172851602,-1.0
lsi_tfidf,28,,-5.066441554038848,0.4635203022555292,-4.117004365620445,-0.082026708733559,-1.0
lsi_tfidf,35,,-5.589719771631497,0.4471993588984445,-4.310916436571484,-0.0912439735689556,-1.0
nmf,7,,-1.7020657501929022,0.452856416251703,-0.494054936832282,0.0160593062045052,-1.0
nmf,14,,-1.903840887015097,0.4608118743850369,-0.6673668570004869,0.0072645174888378,-1.0
nmf,21,,-2.178779916601223,0.4482669078437569,-0.9662595137605487,0.0032821088113918,-1.0
nmf,28,,-2.4291294887327632,0.3997677510297803,-1.389440238571512,-0.0191140810731441,-1.0
nmf,35,,-2.716832560909815,0.4136475703419497,-1.5513902585910746,-0.0237054615699828,-1.0
nmf_tfidf,7,,-3.118463365685483,0.4852218604283255,-2.2307791071022574,-0.0284176035935924,-1.0
nmf_tfidf,14,,-4.340701040297622,0.4246130271227221,-3.781667423221315,-0.0967838284721686,-1.0
nmf_tfidf,21,,-5.047935765753563,0.4091195130819438,-4.294781386627788,-0.1158970961337536,-1.0
nmf_tfidf,28,,-4.976189333229013,0.474924304771639,-3.992668670990899,-0.0939542149590004,-1.0
nmf_tfidf,35,,-5.388879701839437,0.4378567431179498,-4.461804181226169,-0.11416133523027831,-1.0
